,mass_A,,,,mass_C,,,,mass_B,,mass_C,,,,
t,x,y,vx,vy,x,y,vx,vy,θ,ω,x,y,vx,vy,θ
0E+00,1.333937E-01,3.056211E-03,,,1.405229E-01,3.053981E-03,,,-6.844822E+00,,1.405229E-01,3.053981E-03,,,1.245011E+00
1E-03,1.333906E-01,3.051492E-03,3.761963E-05,5.289285E-04,1.405196E-01,3.051016E-03,1.448109E-04,7.913787E-04,-6.887121E+00,-1.229987E+02,1.405196E-01,3.051016E-03,1.448109E-04,7.913787E-04,1.243833E+00
2E-03,1.33392E-01,3.053923E-03,7.976097E-06,4.010734E-04,1.405214E-01,3.052218E-03,6.646649E-04,-1.06672E-03,-7.090819E+00,-4.575622E+01,1.405214E-01,3.052218E-03,6.646649E-04,-1.06672E-03,1.244307E+00
3E-03,1.333919E-01,3.053185E-03,-6.02206E-03,-3.284358E-04,1.405222E-01,3.049774E-03,-6.625339E-03,9.793247E-05,-6.978634E+00,3.881115E+01,1.405222E-01,3.049774E-03,-6.625339E-03,9.793247E-05,1.243304E+00
4E-03,1.333799E-01,3.053266E-03,-7.728266E-04,3.047969E-03,1.405081E-01,3.052414E-03,-1.622703E-03,4.128584E-03,-7.013197E+00,1.024318E+02,1.405081E-01,3.052414E-03,-1.622703E-03,4.128584E-03,1.244504E+00
5E-03,1.333903E-01,3.059281E-03,6.029118E-03,5.225608E-03,1.405189E-01,3.058031E-03,4.709332E-03,4.413037E-03,-6.77377E+00,3.44054E+00,1.405189E-01,3.058031E-03,4.709332E-03,4.413037E-03,1.246698E+00
6E-03,1.33392E-01,3.063717E-03,-1.524382E-03,3.253059E-04,1.405175E-01,3.06124E-03,-1.456233E-03,8.032662E-05,-7.006316E+00,-5.005236E+00,1.405175E-01,3.06124E-03,-1.456233E-03,8.032662E-05,1.248018E+00
7E-03,1.33388E-01,3.058945E-03,-6.056874E-03,3.600259E-04,1.405167E-01,3.057205E-03,-3.344291E-03,-2.128504E-04,-6.783781E+00,3.670915E+02,1.405167E-01,3.057205E-03,-3.344291E-03,-2.128504E-04,1.246381E+00
8E-03,1.333799E-01,3.064437E-03,-8.514848E-03,-1.068103E-04,1.405081E-01,3.062052E-03,-1.196107E-02,-2.303854E-04,-6.272133E+00,5.881655E+02,1.405081E-01,3.062052E-03,-1.196107E-02,-2.303854E-04,1.248433E+00
9E-03,1.333709E-01,3.058731E-03,-4.062654E-03,-2.694741E-03,1.404903E-01,3.055197E-03,-8.542883E-03,-4.408455E-03,-5.60745E+00,6.793369E+02,1.404903E-01,3.055197E-03,-8.542883E-03,-4.408455E-03,1.245796E+00
