,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,1.333654E-01,2.856492E-03,,,1.398276E-01,2.950147E-03,,,-1.015346E+02,,8.303155E-01
1E-03,1.333409E-01,2.857149E-03,-4.340765E-03,7.497381E-03,1.398743E-01,3.01051E-03,3.181899E-02,3.557557E-02,-1.010563E+02,2.903386E+02,1.344668E+00
2E-03,1.333567E-01,2.871487E-03,-5.91235E-04,1.151327E-02,1.398913E-01,3.021299E-03,9.437533E-04,1.329677E-02,-1.009539E+02,-4.855854E+01,1.31334E+00
3E-03,1.333397E-01,2.880175E-03,-3.968058E-03,-3.371907E-03,1.398762E-01,3.037103E-03,-7.231544E-03,-4.522896E-03,-1.011535E+02,-5.734487E+01,1.375285E+00
4E-03,1.333488E-01,2.864743E-03,1.009056E-02,-4.821578E-03,1.398768E-01,3.012253E-03,-2.356541E-02,-4.636701E-02,-1.010686E+02,1.988548E+01,1.294459E+00
5E-03,1.333599E-01,2.870532E-03,-4.670563E-03,2.344287E-03,1.398291E-01,2.944369E-03,-1.541924E-03,4.62838E-03,-1.011137E+02,-1.059126E+01,6.539254E-01
6E-03,1.333394E-01,2.869431E-03,-8.3895E-03,-2.148498E-04,1.398737E-01,3.021509E-03,2.502028E-02,3.860496E-02,-1.010898E+02,2.121901E+01,1.333255E+00
7E-03,1.333431E-01,2.870102E-03,5.246654E-03,-1.254028E-03,1.398791E-01,3.021579E-03,6.426228E-03,1.798984E-03,-1.010713E+02,-2.884539E+01,1.327629E+00
8E-03,1.333499E-01,2.866923E-03,4.955572E-04,-2.611429E-03,1.398866E-01,3.025107E-03,2.643859E-04,1.435043E-03,-1.011475E+02,-1.392105E+01,1.386265E+00
9E-03,1.333441E-01,2.864879E-03,-9.703771E-03,-3.918707E-03,1.398796E-01,3.024449E-03,-1.062184E-02,-3.312854E-03,-1.010991E+02,6.647391E+01,1.398632E+00
1E-02,1.333305E-01,2.859086E-03,1.964548E-03,2.21937E-03,1.398653E-01,3.018482E-03,2.416449E-03,7.515607E-04,-1.010146E+02,9.747624E+01,1.397272E+00
1.1E-02,1.33348E-01,2.869318E-03,1.257652E-02,1.815036E-03,1.398845E-01,3.025953E-03,1.079009E-02,2.268769E-03,-1.009041E+02,-7.171291E+00,1.372721E+00
1.2E-02,1.333557E-01,2.862716E-03,-6.79491E-03,-1.915622E-03,1.398869E-01,3.023019E-03,-5.347065E-03,-2.57367E-04,-1.010289E+02,-8.287836E+01,1.405992E+00
1.3E-02,1.333344E-01,2.865487E-03,-4.927952E-03,2.166701E-03,1.398738E-01,3.025438E-03,-4.446027E-03,3.148963E-03,-1.010699E+02,-1.505452E+02,1.401155E+00
1.4E-02,1.333458E-01,2.867049E-03,3.490649E-03,-2.699458E-03,1.39878E-01,3.029317E-03,-4.679237E-04,8.663127E-04,-1.0133E+02,-1.504414E+02,1.423006E+00
1.5E-02,1.333414E-01,2.860088E-03,3.967664E-03,-5.755836E-03,1.39877E-01,3.023595E-03,3.427483E-03,-5.131195E-03,-1.013708E+02,3.100112E+01,1.433109E+00
1.6E-02,1.333538E-01,2.855538E-03,5.991802E-03,1.092917E-03,1.398849E-01,3.019055E-03,2.972784E-03,1.336823E-06,-1.01268E+02,-8.829629E+00,1.434194E+00
1.7E-02,1.333534E-01,2.862274E-03,-5.251739E-05,5.850891E-03,1.39883E-01,3.023597E-03,-1.235105E-03,6.859116E-04,-1.013884E+02,3.907616E+01,1.415289E+00
1.8E-02,1.333536E-01,2.86724E-03,5.578195E-03,4.069124E-03,1.398824E-01,3.020427E-03,4.306859E-03,2.991344E-03,-1.011898E+02,1.652969E+02,1.344112E+00
1.9E-02,1.333645E-01,2.870412E-03,-4.183254E-03,-1.30291E-04,1.398916E-01,3.02958E-03,-6.527601E-03,-5.796847E-03,-1.010578E+02,-1.115888E+02,1.39693E+00
2E-02,1.333453E-01,2.866979E-03,-5.999666E-03,-1.928167E-03,1.398693E-01,3.008833E-03,-6.581802E-03,-2.077499E-03,-1.01413E+02,-5.812249E+01,1.245598E+00
2.1E-02,1.333525E-01,2.866556E-03,8.184543E-03,1.478084E-03,1.398784E-01,3.025425E-03,9.617855E-03,1.024082E-02,-1.011741E+02,1.882401E+01,1.394558E+00
2.2E-02,1.333616E-01,2.869935E-03,0E+00,0E+00,1.398886E-01,3.029315E-03,3.03207E-04,-2.409248E-03,-1.013754E+02,-6.637496E+00,1.398815E+00
2.3E-02,1.333509E-01,2.865786E-03,-8.014222E-04,-3.050554E-03,1.398774E-01,3.019837E-03,8.536242E-04,-7.55823E-03,-1.011874E+02,-1.213584E+02,1.352152E+00
2.4E-02,1.3336E-01,2.863834E-03,3.493849E-04,2.998212E-03,1.398903E-01,3.014198E-03,8.811989E-05,6.254453E-05,-1.016181E+02,-1.620382E+02,1.31905E+00
2.5E-02,1.333516E-01,2.871783E-03,3.011211E-03,1.148489E-03,1.398776E-01,3.019962E-03,-5.969367E-04,2.748837E-03,-1.015114E+02,-5.452394E+01,1.300739E+00
2.6E-02,1.333661E-01,2.866131E-03,1.545903E-02,-2.303568E-03,1.398891E-01,3.019696E-03,1.076541E-02,-2.613224E-03,-1.017271E+02,-3.6028E+02,1.348607E+00
2.7E-02,1.333825E-01,2.867175E-03,6.373697E-03,-1.714397E-03,1.398991E-01,3.014735E-03,2.962929E-03,-4.235843E-03,-1.02232E+02,-5.851964E+02,1.29717E+00
2.8E-02,1.333788E-01,2.862702E-03,-3.60403E-03,-1.335957E-02,1.39895E-01,3.011224E-03,2.1126E-03,-6.676533E-03,-1.028975E+02,-1.512129E+03,1.305701E+00
2.9E-02,1.333753E-01,2.840456E-03,-1.797298E-03,-1.594466E-02,1.399033E-01,3.001382E-03,7.308582E-03,-9.948503E-03,-1.052563E+02,-2.932713E+03,1.412146E+00
3E-02,1.333752E-01,2.830813E-03,2.578663E-03,4.007942E-03,1.399096E-01,2.991327E-03,3.392078E-03,2.231305E-03,-1.08763E+02,-5.037028E+03,1.407157E+00
3.1E-02,1.333805E-01,2.848472E-03,1.072414E-02,1.354632E-02,1.399101E-01,3.005845E-03,2.049113E-02,3.928411E-03,-1.153303E+02,-4.047714E+03,1.380634E+00
3.2E-02,1.333967E-01,2.857906E-03,1.332163E-02,2.206943E-03,1.399506E-01,2.999184E-03,5.1254E-02,-1.211519E-02,-1.168584E+02,-4.074655E+03,1.234891E+00
3.3E-02,1.334071E-01,2.852886E-03,8.214751E-03,1.175008E-03,1.400126E-01,2.981615E-03,5.370046E-02,-1.730279E-02,-1.234796E+02,-3.288166E+03,1.116442E+00
3.4E-02,1.334131E-01,2.860256E-03,1.17218E-05,4.551429E-03,1.40058E-01,2.964578E-03,2.835976E-02,-1.240423E-02,-1.234347E+02,2.966148E+01,8.994498E-01
3.5E-02,1.334071E-01,2.861989E-03,3.731371E-03,2.097678E-03,1.400693E-01,2.956806E-03,1.229914E-02,-1.174519E-02,-1.234203E+02,2.255443E+02,8.153844E-01
