,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,1.320898E-01,3.484782E-03,,,1.386169E-01,3.59541E-03,,,1.216075E+02,,9.710219E-01
5E-04,1.32089E-01,3.497355E-03,-6.217169E-03,1.146075E-02,1.386642E-01,3.689644E-03,3.808412E-02,9.384907E-02,1.218995E+02,3.499506E+02,1.675109E+00
1E-03,1.320836E-01,3.496243E-03,1.200858E-02,2.821854E-03,1.38655E-01,3.689259E-03,5.457237E-03,-9.682471E-05,1.219575E+02,8.64324E+01,1.68243E+00
1.5E-03,1.32101E-01,3.500177E-03,-1.070335E-02,-1.319813E-03,1.386696E-01,3.689547E-03,-1.029422E-02,7.398632E-04,1.219859E+02,-3.651517E+01,1.651342E+00
2E-03,1.320729E-01,3.494923E-03,-1.965221E-02,-1.062018E-03,1.386447E-01,3.689999E-03,-2.040607E-02,1.893576E-03,1.219209E+02,-8.903908E+01,1.700267E+00
2.5E-03,1.320813E-01,3.499115E-03,1.867998E-02,4.271724E-03,1.386492E-01,3.69144E-03,1.363816E-02,1.420271E-03,1.218969E+02,7.504413E+01,1.677293E+00
3E-03,1.320916E-01,3.499194E-03,-1.031444E-02,1.155037E-04,1.386583E-01,3.691419E-03,-4.420186E-03,1.749678E-03,1.21996E+02,-3.28252E+01,1.676714E+00
3.5E-03,1.32071E-01,3.499231E-03,5.030779E-14,0E+00,1.386448E-01,3.69319E-03,-5.679936E-03,2.03267E-03,1.218641E+02,-1.438283E+00,1.690021E+00
4E-03,1.320889E-01,3.501411E-03,2.184717E-02,1.217583E-03,1.386526E-01,3.693452E-03,1.831707E-02,-8.856258E-04,1.219945E+02,3.506525E+01,1.675864E+00
4.5E-03,1.320929E-01,3.500448E-03,-1.933755E-02,6.30862E-05,1.386631E-01,3.692304E-03,-1.464228E-02,-1.611567E-03,1.218991E+02,-4.199455E+01,1.672603E+00
5E-03,1.320695E-01,3.501474E-03,0E+00,0E+00,1.38638E-01,3.69184E-03,-5.943195E-03,-1.962395E-03,1.219525E+02,3.028044E+01,1.660071E+00
