freq_hz,morphology,trial_1,trial_2,trial_3,trial_4,trial_5,ave,std,success_rate_pct
10,leg,44.37,42.07,42.48,n/a,42.76,42.92,1.01,80
10,2-leg,65.66,71.43,65.66,68.42,56.77,65.59,5.48,100
10,4-leg,87.25,75.58,94.2,82.8,88.44,85.65,6.95,100
10,wheel,n/a,n/a,n/a,81.25,n/a,81.25,n/a,20
30,leg,86.09,76.47,71.04,92.86,n/a,81.62,9.74,80
30,2-leg,129.13,128.97,128.91,128.49,n/a,128.88,0.27,80
30,4-leg,144.44,178.08,166.67,94.89,n/a,146.02,36.84,80
30,wheel,n/a,n/a,n/a,178.08,160.49,154.12,27.69,40
50,leg,n/a,n/a,56.52,n/a,n/a,56.52,n/a,20
50,2-leg,n/a,70.65,134.02,n/a,114.04,106.24,32.4,60
50,4-leg,n/a,n/a,n/a,n/a,101.56,101.56,n/a,20
50,wheel,n/a,n/a,n/a,n/a,180.56,180.56,n/a,20
