freq_hz,morphology,time_1,time_2,time_3,time_4,time_5,time_ave,time_std,vel_1,vel_2,vel_3,vel_4,vel_5,vel_ave,vel_std,success_rate_pct
10,leg,2.87,2.84,3.05,x,3.05,2.95,0.11,45.3,45.77,42.62,x,42.62,44.08,1.69,80
10,2-leg,1.98,1.82,2.04,1.89,2.04,1.95,0.1,65.66,71.43,63.73,68.78,63.73,66.67,3.37,100
10,4-leg,1.58,1.72,1.38,1.53,1.45,1.53,0.13,82.28,75.58,94.2,84.97,89.66,85.34,7.1,100
10,wheel,x,x,x,1.57,x,1.57,x,x,x,x,82.8,x,82.8,x,20
30,leg,1.53,1.70,1.81,1.39,x,1.61,0.19,84.97,76.47,71.82,93.53,x,81.7,9.58,80
30,2-leg,0.86,1.03,1.08,1.47,x,1.11,0.26,151.16,126.21,120.37,88.44,x,121.55,25.79,80
30,4-leg,0.89,0.71,0.78,0.77,x,0.79,0.08,146.07,183.1,166.67,168.83,x,166.17,15.25,80
30,wheel,x,x,x,0.74,0.80,0.77,0.04,x,x,x,175.68,162.50,169.09,9.32,40
50,leg,x,x,2.25,x,x,2.25,x,x,x,57.78,x,x,57.78,x,20
50,2-leg,x,1.20,0.96,x,1.14,1.1,0.12,x,108.33,135.42,x,114.04,119.26,14.28,60
50,4-leg,x,x,x,x,1.27,1.27,x,x,x,x,x,102.36,102.36,x,20
50,wheel,x,x,x,x,0.69,0.69,x,x,x,x,x,188.41,188.41,x,20
