,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,6.042665E-02,2.820705E-03,,,6.7538E-02,2.741248E-03,,,9.391909E-01,,-6.401497E-01
1E-03,6.035592E-02,2.867568E-03,-3.702502E-02,2.220318E-02,6.753712E-02,2.747512E-03,4.76014E-03,4.027246E-02,1.056166E+00,4.683396E+01,-9.577936E-01
2E-03,6.03526E-02,2.865111E-03,6.078582E-05,7.793499E-04,6.754752E-02,2.821793E-03,6.586711E-03,3.858804E-02,1.032859E+00,-2.000864E+01,-3.44952E-01
3E-03,6.035738E-02,2.869182E-03,9.420579E-04,-6.345692E-04,6.75503E-02,2.824688E-03,-3.69505E-04,1.839557E-05,1.016148E+00,1.289663E+01,-3.544209E-01
4E-03,6.035275E-02,2.865343E-03,-9.185672E-05,-6.302058E-04,6.754505E-02,2.823331E-03,-3.024247E-03,1.26229E-03,1.058652E+00,5.454473E+01,-3.346748E-01
5E-03,6.035719E-02,2.867922E-03,-8.125615E-04,2.056758E-05,6.754425E-02,2.827212E-03,-3.643632E-03,-3.225701E-04,1.125238E+00,2.033559E+00,-3.245369E-01
6E-03,6.035186E-02,2.863534E-03,-2.047171E-03,-4.33245E-03,6.75385E-02,2.820835E-03,-8.687858E-03,-3.111788E-03,1.062719E+00,3.479601E+01,-3.404096E-01
7E-03,6.03531E-02,2.859257E-03,-1.371801E-03,-2.099115E-03,6.752687E-02,2.820989E-03,-2.159753E-02,1.392668E-04,1.19483E+00,8.622104E+01,-3.056399E-01
8E-03,6.034912E-02,2.859335E-03,-4.771565E-03,2.24617E-03,6.749531E-02,2.821114E-03,-2.562326E-02,8.306264E-04,1.235161E+00,3.263283E+01,-3.064444E-01
9E-03,6.034356E-02,2.863749E-03,-1.91596E-02,4.341636E-03,6.747466E-02,2.820695E-03,-1.627435E-02,1.375842E-03,1.260095E+00,1.561589E+02,-3.459233E-01
1E-02,6.03108E-02,2.868019E-03,-4.581594E-02,5.506035E-03,6.746276E-02,2.823866E-03,-2.076986E-02,-4.093404E-04,1.547479E+00,4.172293E+03,-3.537148E-01
1.1E-02,6.025192E-02,2.874761E-03,-5.17484E-02,-8.791951E-04,6.743312E-02,2.819876E-03,-3.530749E-02,-2.091212E-04,9.604682E+00,3.246367E+03,-4.378986E-01
1.2E-02,6.02073E-02,2.86626E-03,-2.886782E-02,-1.55399E-02,6.739214E-02,2.823447E-03,-6.07876E-02,3.230646E-03,8.040212E+00,4.210237E+03,-3.414093E-01
1.3E-02,6.019254E-02,2.845211E-03,-5.861903E-03,-1.813598E-02,6.73099E-02,2.827867E-03,-4.8619E-02,1.03935E-02,1.802515E+01,1.006014E+04,-1.396233E-01
1.4E-02,6.019558E-02,2.829988E-03,1.131661E-03,-1.796136E-02,6.729491E-02,2.844234E-03,-4.560175E-02,-6.51231E-03,2.816048E+01,1.406191E+04,1.149738E-01
1.5E-02,6.019439E-02,2.808585E-03,8.922355E-03,-4.195622E-02,6.721869E-02,2.814843E-03,-8.869138E-02,-6.510192E-03,4.614897E+01,1.856448E+04,5.104307E-02
1.6E-02,6.021342E-02,2.746076E-03,-2.616963E-02,4.400277E-02,6.711752E-02,2.831214E-03,-1.214618E-01,2.036275E-02,6.528944E+01,1.201634E+04,7.065087E-01
1.7E-02,6.014205E-02,2.89659E-03,-1.038155E-02,1.548644E-01,6.697577E-02,2.855568E-03,-1.477491E-01,1.048545E-02,7.018164E+01,4.92126E+03,-3.439377E-01
1.8E-02,6.019401E-02,3.056231E-03,5.910507E-02,8.352384E-02,6.682337E-02,2.852611E-03,-1.539724E-01,-1.345949E-02,7.513197E+01,6.107261E+03,-1.759278E+00
1.9E-02,6.026208E-02,3.064652E-03,2.609868E-02,9.796965E-03,6.666783E-02,2.828649E-03,-1.584699E-01,9.801421E-03,8.239616E+01,6.634559E+03,-2.109961E+00
2E-02,6.024558E-02,3.076642E-03,-6.122718E-02,1.447017E-03,6.65058E-02,2.873031E-03,-1.50172E-01,7.537836E-02,8.840108E+01,6.050592E+03,-1.862862E+00
2.1E-02,6.013962E-02,3.067546E-03,-1.241073E-01,-1.03029E-02,6.636748E-02,2.979406E-03,-7.99313E-02,5.551057E-02,9.449735E+01,7.260876E+03,-8.108322E-01
2.2E-02,5.999736E-02,3.056037E-03,-1.362797E-01,-1.202166E-02,6.634594E-02,2.984052E-03,-1.207766E-02,1.253281E-02,1.029228E+02,8.576217E+03,-6.496267E-01
2.3E-02,5.986706E-02,3.043503E-03,-1.370555E-01,-1.661294E-02,6.634333E-02,3.004471E-03,-5.519484E-02,1.925155E-02,1.116498E+02,8.505011E+03,-3.453108E-01
2.4E-02,5.972285E-02,3.023562E-03,-1.199805E-01,-8.093862E-03,6.623555E-02,3.022556E-03,-7.740666E-02,1.646072E-02,1.199329E+02,9.632472E+03,-8.857378E-03
2.5E-02,5.962868E-02,3.026101E-03,-8.769263E-02,-4.252565E-02,6.618851E-02,3.037393E-03,-7.506499E-02,1.018243E-02,1.309147E+02,8.83972E+03,9.862826E-02
2.6E-02,5.954747E-02,2.938511E-03,-1.036715E-01,-5.792524E-02,6.608542E-02,3.04292E-03,-1.00916E-01,5.157762E-03,1.376123E+02,7.882777E+03,9.149207E-01
2.7E-02,5.942134E-02,2.91025E-03,-1.176737E-01,-2.480769E-02,6.598668E-02,3.047708E-03,-1.136793E-01,1.163624E-02,1.466803E+02,1.112286E+04,1.199421E+00
2.8E-02,5.931212E-02,2.888896E-03,-9.638929E-02,-5.75071E-02,6.585806E-02,3.066193E-03,-1.039207E-01,-3.457142E-02,1.59858E+02,9.240433E+03,1.551481E+00
2.9E-02,5.922856E-02,2.795236E-03,-8.136207E-02,-6.924306E-02,6.577884E-02,2.978566E-03,-7.702372E-02,-4.85591E-02,1.651611E+02,5.957256E+03,1.603177E+00
3E-02,5.91494E-02,2.75041E-03,-8.814812E-02,-1.628251E-02,6.570401E-02,2.969075E-03,-6.382605E-02,-5.640617E-02,1.717725E+02,3.33024E+03,1.910706E+00
3.1E-02,5.905226E-02,2.762671E-03,-1.179821E-01,4.110533E-02,6.565119E-02,2.865753E-03,-1.59745E-02,-7.663744E-02,1.718216E+02,7.134758E+02,8.949469E-01
3.2E-02,5.89121E-02,2.831405E-03,-1.448611E-01,5.79887E-02,6.567074E-02,2.814585E-03,-3.621774E-02,-5.394834E-02,1.731995E+02,2.16666E+03,-1.425934E-01
3.3E-02,5.876254E-02,2.878649E-03,-1.085959E-01,-1.706721E-02,6.557875E-02,2.757857E-03,-6.287952E-02,-7.588642E-02,1.761549E+02,5.615936E+03,-1.015248E+00
3.4E-02,5.869376E-02,2.796771E-03,-9.042838E-02,-3.437167E-02,6.554382E-02,2.662312E-03,-2.313689E-02,-8.264605E-02,1.844314E+02,4.273602E+03,-1.124505E+00
3.5E-02,5.858168E-02,2.809905E-03,-1.293024E-01,2.788529E-02,6.553248E-02,2.592564E-03,-2.515618E-02,-3.429343E-02,1.847022E+02,5.086373E+03,-1.790968E+00
3.6E-02,5.843515E-02,2.852541E-03,-1.460951E-01,2.290373E-02,6.549351E-02,2.593725E-03,-7.597881E-02,6.703639E-02,1.946041E+02,9.615289E+03,-2.099984E+00
3.7E-02,5.828949E-02,2.855713E-03,-1.014729E-01,-3.270782E-03,6.538052E-02,2.726637E-03,-1.360472E-01,7.30889E-02,2.039327E+02,1.093423E+04,-1.042819E+00
3.8E-02,5.82322E-02,2.846E-03,-8.642951E-02,-3.352511E-02,6.522141E-02,2.739903E-03,-1.652903E-01,2.096049E-03,2.164726E+02,1.384438E+04,-8.696889E-01
3.9E-02,5.811663E-02,2.788662E-03,-7.98331E-02,-4.598792E-02,6.504994E-02,2.730829E-03,-1.706297E-01,-3.289459E-02,2.316215E+02,1.531765E+04,-4.77913E-01
4E-02,5.807254E-02,2.754024E-03,-9.439844E-02,5.290796E-02,6.488015E-02,2.674114E-03,-1.468647E-01,-3.830963E-02,2.471079E+02,1.400758E+04,-6.725275E-01
4.1E-02,5.792784E-02,2.894478E-03,-9.781901E-02,8.727788E-02,6.475621E-02,2.65421E-03,-1.347999E-01,-1.345366E-02,2.596366E+02,7.412147E+03,-2.015221E+00
4.2E-02,5.78769E-02,2.92858E-03,-5.596883E-02,4.960449E-02,6.461055E-02,2.647207E-03,-1.476023E-01,2.517589E-02,2.619322E+02,3.768615E+03,-2.392777E+00
4.3E-02,5.78159E-02,2.993687E-03,-4.580777E-02,4.7565E-02,6.446101E-02,2.704562E-03,-1.109951E-01,8.437457E-02,2.671739E+02,4.310643E+03,-2.491341E+00
4.4E-02,5.778528E-02,3.02371E-03,-7.367355E-02,-2.84198E-02,6.438982E-02,2.818486E-03,-8.422962E-02,6.154285E-02,2.705534E+02,4.573034E+03,-1.77979E+00
4.5E-02,5.766855E-02,2.936848E-03,-1.053523E-01,-5.80313E-02,6.429255E-02,2.827648E-03,-1.324585E-01,5.996626E-03,2.763199E+02,7.248292E+03,-9.444672E-01
4.6E-02,5.757458E-02,2.907647E-03,-1.134616E-01,-1.882049E-02,6.41249E-02,2.830479E-03,-1.167091E-01,1.54527E-02,2.8505E+02,1.089517E+04,-6.74959E-01
4.7E-02,5.744163E-02,2.899207E-03,-1.44028E-01,-4.344783E-02,6.405913E-02,2.858553E-03,-8.394909E-02,1.260813E-02,2.981103E+02,1.098168E+04,-3.519857E-01
4.8E-02,5.728626E-02,2.820462E-03,-1.504723E-01,-7.446781E-02,6.3957E-02,2.855695E-03,-1.212269E-01,2.407072E-02,3.070134E+02,6.569015E+03,3.026225E-01
4.9E-02,5.714068E-02,2.750271E-03,-1.344071E-01,-6.670587E-02,6.381668E-02,2.906694E-03,-1.484699E-01,3.273607E-03,3.112483E+02,6.290449E+03,1.342235E+00
5E-02,5.701745E-02,2.68705E-03,-1.43712E-01,-6.664249E-02,6.366006E-02,2.862243E-03,-1.518507E-01,-1.628373E-02,3.195943E+02,7.057644E+03,1.510771E+00
5.1E-02,5.685326E-02,2.616986E-03,-1.437955E-01,3.776851E-03,6.351297E-02,2.874127E-03,-9.704425E-02,-1.262855E-02,3.253636E+02,2.374297E+03,2.21117E+00
5.2E-02,5.672979E-02,2.696503E-03,-1.283297E-01,7.635787E-02,6.346591E-02,2.838884E-03,-9.114601E-02,-1.756202E-02,3.243429E+02,4.908464E+02,1.210884E+00
5.3E-02,5.65966E-02,2.769702E-03,-9.999576E-02,7.293089E-02,6.333068E-02,2.839003E-03,-1.218508E-01,-6.261545E-03,3.263453E+02,5.842594E+03,5.896142E-01
5.4E-02,5.65298E-02,2.842364E-03,-1.100355E-01,5.043915E-03,6.322221E-02,2.826361E-03,-8.198641E-02,-7.3336E-03,3.360281E+02,4.201796E+03,-1.370078E-01
5.5E-02,5.637653E-02,2.77979E-03,-1.443552E-01,-4.444611E-02,6.316671E-02,2.824336E-03,-6.245307E-02,-1.814371E-03,3.347489E+02,2.669246E+03,3.758744E-01
5.6E-02,5.624109E-02,2.753472E-03,-1.391946E-01,1.5592E-02,6.30973E-02,2.822732E-03,-8.061175E-02,-6.651397E-05,3.413666E+02,3.805991E+03,5.787729E-01
5.7E-02,5.609814E-02,2.810974E-03,-1.510142E-01,3.646012E-02,6.300549E-02,2.824203E-03,-5.211975E-02,-2.319398E-03,3.423609E+02,3.398768E+03,1.09732E-01
5.8E-02,5.593906E-02,2.826392E-03,-1.64341E-01,1.167223E-02,6.299306E-02,2.818094E-03,-7.636106E-02,-3.623135E-03,3.481641E+02,6.258179E+03,-6.740588E-02
5.9E-02,5.576946E-02,2.834318E-03,-1.780429E-01,3.263161E-02,6.285276E-02,2.816956E-03,-9.447721E-02,-3.559484E-04,3.548772E+02,6.489187E+03,-1.404373E-01
6E-02,5.558021E-02,2.891633E-03,-1.761074E-01,2.634811E-02,6.280411E-02,2.817382E-03,-7.662611E-02,-1.275226E-03,3.611425E+02,7.839317E+03,-5.888996E-01
6.1E-02,5.541724E-02,2.887014E-03,-1.584644E-01,-1.987375E-02,6.269951E-02,2.814406E-03,-1.051174E-01,-4.639101E-03,3.705559E+02,1.069656E+04,-5.712542E-01
6.2E-02,5.526328E-02,2.851886E-03,-1.497618E-01,-6.760627E-02,6.259387E-02,2.808104E-03,-1.463158E-01,-3.037992E-02,3.825356E+02,1.389575E+04,-3.421972E-01
6.3E-02,5.511772E-02,2.751802E-03,-1.185755E-01,-9.260701E-02,6.240688E-02,2.753646E-03,-1.89192E-01,-4.761553E-02,3.983474E+02,1.672666E+04,1.449576E-02
6.4E-02,5.50259E-02,2.667001E-03,-1.080689E-01,-4.055652E-03,6.221549E-02,2.712872E-03,-1.696424E-01,-4.788557E-02,4.159889E+02,1.115753E+04,3.655578E-01
6.5E-02,5.490158E-02,2.743691E-03,-1.305922E-01,1.14637E-01,6.206759E-02,2.657875E-03,-1.795593E-01,5.0983E-02,4.206624E+02,2.165754E+03,-6.861057E-01
6.6E-02,5.476471E-02,2.896275E-03,-1.093393E-01,1.19396E-01,6.185637E-02,2.814838E-03,-2.424394E-01,1.441311E-01,4.203204E+02,1.113874E+03,-6.579221E-01
6.7E-02,5.46829E-02,2.982483E-03,-4.999923E-02,8.121912E-02,6.158272E-02,2.946137E-03,-2.146504E-01,7.189645E-02,4.228902E+02,4.462791E+03,-3.018083E-01
6.8E-02,5.466471E-02,3.058713E-03,-2.907933E-02,7.423507E-02,6.142707E-02,2.958631E-03,-1.608544E-01,1.190515E-02,4.29246E+02,7.060131E+03,-8.479063E-01
6.9E-02,5.462475E-02,3.130953E-03,-5.902112E-02,8.377355E-02,6.126101E-02,2.969947E-03,-1.613052E-01,-3.772277E-03,4.370104E+02,8.490805E+03,-1.389806E+00
7E-02,5.454667E-02,3.22626E-03,-1.097275E-01,1.062353E-01,6.110446E-02,2.951087E-03,-1.61816E-01,2.498338E-03,4.462276E+02,9.986683E+03,-2.402797E+00
7.1E-02,5.440529E-02,3.343423E-03,-1.508227E-01,7.719829E-02,6.093737E-02,2.974944E-03,-1.675384E-01,9.890562E-03,4.569838E+02,1.142621E+04,-3.22867E+00
7.2E-02,5.424503E-02,3.380657E-03,-1.699509E-01,1.564469E-02,6.076938E-02,2.970868E-03,-1.669909E-01,1.020286E-02,4.6908E+02,1.043102E+04,-3.593974E+00
7.3E-02,5.406539E-02,3.374713E-03,-1.866831E-01,-2.646622E-02,6.060339E-02,2.99535E-03,-1.532271E-01,5.724012E-02,4.778458E+02,8.029631E+03,-3.320821E+00
7.4E-02,5.387166E-02,3.327724E-03,-1.838182E-01,-7.059372E-02,6.046293E-02,3.085348E-03,-1.854383E-01,7.626653E-02,4.851393E+02,7.965291E+03,-2.105949E+00
7.5E-02,5.369775E-02,3.233525E-03,-1.634983E-01,-9.00206E-02,6.023252E-02,3.147883E-03,-1.963752E-01,3.582372E-02,4.937764E+02,7.683527E+03,-7.50855E-01
7.6E-02,5.354466E-02,3.147683E-03,-1.514303E-01,-9.465124E-02,6.007018E-02,3.156996E-03,-1.368922E-01,1.978912E-02,5.005063E+02,7.151898E+03,8.176548E-02
7.7E-02,5.339489E-02,3.044223E-03,-1.681076E-01,-1.189916E-01,5.995873E-02,3.187461E-03,-1.241901E-01,3.124345E-02,5.080802E+02,3.969212E+03,1.25013E+00
7.8E-02,5.320845E-02,2.9097E-03,-1.742725E-01,-1.380331E-01,5.98218E-02,3.219483E-03,-1.414755E-01,-2.108318E-03,5.084448E+02,3.150065E+03,2.681888E+00
7.9E-02,5.304635E-02,2.768157E-03,-1.616216E-01,-1.303278E-01,5.967578E-02,3.183245E-03,-1.48338E-01,-3.583315E-02,5.143803E+02,7.243531E+03,3.582776E+00
8E-02,5.28852E-02,2.649044E-03,-1.612876E-01,-5.818268E-03,5.952512E-02,3.147816E-03,-1.410333E-01,-2.407444E-02,5.229318E+02,5.15273E+03,4.295829E+00
8.1E-02,5.272377E-02,2.75652E-03,-1.569217E-01,1.092749E-01,5.939371E-02,3.135096E-03,-1.097295E-01,-7.238877E-02,5.246858E+02,2.755554E+03,3.248533E+00
8.2E-02,5.257136E-02,2.867594E-03,-1.589138E-01,7.603858E-02,5.930566E-02,3.003039E-03,-1.001879E-01,-9.05989E-02,5.284429E+02,4.11043E+03,1.152214E+00
8.3E-02,5.240594E-02,2.908597E-03,-1.54864E-01,1.696614E-02,5.919334E-02,2.953898E-03,-1.065431E-01,-9.189083E-02,5.329067E+02,7.344235E+03,3.823993E-01
8.4E-02,5.226163E-02,2.901526E-03,-1.542531E-01,-2.783535E-02,5.909258E-02,2.819257E-03,-8.003784E-02,-1.069985E-01,5.431314E+02,9.052543E+03,-6.900158E-01
8.5E-02,5.209744E-02,2.852927E-03,-1.625235E-01,-6.492389E-02,5.903326E-02,2.739901E-03,-9.541571E-02,-7.350657E-02,5.510117E+02,1.362622E+04,-9.336059E-01
8.6E-02,5.193478E-02,2.771301E-03,-1.341682E-01,-5.437328E-02,5.890175E-02,2.672244E-03,-8.751678E-02,-4.170812E-02,5.703838E+02,1.664315E+04,-8.145813E-01
8.7E-02,5.18291E-02,2.74418E-03,-1.171634E-01,-7.120539E-02,5.885823E-02,2.656484E-03,-1.111213E-01,-4.517489E-03,5.84298E+02,1.333208E+04,-7.147856E-01
8.8E-02,5.170046E-02,2.62889E-03,-1.658133E-01,2.51748E-02,5.868216E-02,2.665191E-03,-1.948912E-01,4.906583E-02,5.97048E+02,9.019709E+03,2.979012E-01
8.9E-02,5.149747E-02,2.79453E-03,-1.676572E-01,1.372057E-01,5.846877E-02,2.753202E-03,-2.045407E-01,6.289136E-02,6.023375E+02,3.122047E+03,-3.396598E-01
9E-02,5.136514E-02,2.903301E-03,-1.256889E-01,8.100286E-02,5.827308E-02,2.790973E-03,-2.008456E-01,6.547846E-02,6.032921E+02,2.756992E+03,-9.315875E-01
9.1E-02,5.12461E-02,2.956535E-03,-1.286128E-01,6.653278E-02,5.806708E-02,2.884159E-03,-1.79393E-01,4.749387E-02,6.078514E+02,4.330059E+03,-6.07934E-01
9.2E-02,5.110792E-02,3.036367E-03,-1.004445E-01,6.037189E-02,5.791429E-02,2.885961E-03,-1.549537E-01,-2.352436E-03,6.119522E+02,6.704566E+03,-1.265903E+00
9.3E-02,5.104521E-02,3.077279E-03,-7.23245E-02,5.366265E-02,5.775717E-02,2.879454E-03,-1.415072E-01,-3.341324E-02,6.212606E+02,1.004418E+04,-1.688218E+00
9.4E-02,5.096327E-02,3.143692E-03,-1.120768E-01,1.751889E-02,5.763128E-02,2.819135E-03,-1.556199E-01,-8.208185E-04,6.320406E+02,1.029461E+04,-2.786605E+00
9.5E-02,5.082105E-02,3.112317E-03,-1.261141E-01,-2.747871E-02,5.744593E-02,2.877812E-03,-1.749168E-01,6.319559E-02,6.418498E+02,1.111562E+04,-2.027284E+00
9.6E-02,5.070983E-02,3.087533E-03,-1.321005E-01,-2.326427E-02,5.728144E-02,2.945526E-03,-1.668287E-01,4.523819E-02,6.542718E+02,9.004038E+03,-1.237923E+00
9.7E-02,5.055685E-02,3.065788E-03,-1.26976E-01,-1.595256E-02,5.711227E-02,2.968289E-03,-1.714713E-01,1.564867E-02,6.598579E+02,6.223023E+03,-8.521039E-01
9.8E-02,5.045588E-02,3.055628E-03,-1.243809E-01,-5.601894E-02,5.69385E-02,2.976823E-03,-1.543111E-01,2.758374E-02,6.667179E+02,7.412131E+03,-6.964711E-01
9.9E-02,5.030767E-02,2.952973E-03,-1.376204E-01,-7.979548E-02,5.680323E-02,3.022679E-03,-1.458393E-01,7.585408E-02,6.746821E+02,6.2684E+03,6.148348E-01
1E-01,5.018064E-02,2.896037E-03,-1.509761E-01,-9.032037E-02,5.664682E-02,3.128531E-03,-1.480645E-01,6.057758E-02,6.792547E+02,5.576879E+03,2.059205E+00
1.01E-01,5.000572E-02,2.772332E-03,-1.642429E-01,-7.990765E-02,5.65071E-02,3.143834E-03,-1.357712E-01,7.381291E-03,6.858359E+02,4.123916E+03,3.270436E+00
1.02E-01,4.985215E-02,2.736222E-03,-1.570317E-01,-3.593772E-02,5.637528E-02,3.143294E-03,-1.203307E-01,-2.786771E-03,6.875025E+02,5.328289E+03,3.57088E+00
1.03E-01,4.969165E-02,2.700457E-03,-1.754024E-01,5.844755E-03,5.626644E-02,3.138261E-03,-1.063449E-01,-8.231683E-03,6.964925E+02,4.073036E+03,3.809603E+00
1.04E-01,4.950135E-02,2.747911E-03,-1.665568E-01,3.838099E-02,5.616259E-02,3.126831E-03,-1.191812E-01,-6.483246E-02,6.956486E+02,1.077215E+02,3.255714E+00
1.05E-01,4.935854E-02,2.777219E-03,-1.512858E-01,5.080721E-03,5.602808E-02,3.008596E-03,-1.269346E-01,-7.262888E-02,6.967079E+02,3.033827E+03,1.986884E+00
1.06E-01,4.919877E-02,2.758073E-03,-1.508343E-01,7.80467E-04,5.590872E-02,2.981573E-03,-8.55733E-02,-5.882072E-02,7.017162E+02,3.123929E+03,1.907747E+00
1.07E-01,4.905687E-02,2.77878E-03,-1.484426E-01,3.006651E-02,5.585693E-02,2.890954E-03,-9.963393E-02,-7.884931E-02,7.029558E+02,2.52738E+03,9.450705E-01
1.08E-01,4.890189E-02,2.818206E-03,-1.59855E-01,3.941822E-02,5.570945E-02,2.823874E-03,-1.416205E-01,-5.740543E-03,7.06771E+02,3.99285E+03,4.770856E-02
1.09E-01,4.873716E-02,2.857616E-03,-1.657108E-01,3.567577E-02,5.557369E-02,2.879473E-03,-1.20603E-01,5.256991E-02,7.109415E+02,4.900451E+03,1.831779E-01
1.1E-01,4.857047E-02,2.889557E-03,-1.791043E-01,2.16088E-02,5.546825E-02,2.929014E-03,-1.074564E-01,1.026272E-02,7.165719E+02,8.973728E+03,3.277403E-01
1.11E-01,4.837895E-02,2.900834E-03,-1.93726E-01,1.270373E-03,5.535878E-02,2.899999E-03,-1.236556E-01,-2.516653E-02,7.288889E+02,9.09004E+03,-6.856938E-03
