,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,6.509055E-02,2.341387E-03,,,7.206789E-02,2.247731E-03,,,-2.017065E+01,,-7.690247E-01
1E-03,6.511201E-02,2.357104E-03,8.723116E-03,3.79913E-03,7.204989E-02,2.276491E-03,-8.7647E-03,1.046114E-02,-2.042714E+01,-2.580014E+01,-6.657002E-01
2E-03,6.5108E-02,2.348985E-03,3.162313E-04,-2.415608E-03,7.205036E-02,2.268654E-03,2.867547E-03,-2.08583E-03,-2.022225E+01,7.787348E+01,-6.629518E-01
3E-03,6.511265E-02,2.352272E-03,1.664744E-03,1.072167E-03,7.205562E-02,2.27232E-03,2.177336E-04,3.309611E-04,-2.027139E+01,-3.07621E+01,-6.597688E-01
4E-03,6.511133E-02,2.351129E-03,-1.749904E-03,1.465369E-04,7.205241E-02,2.269648E-03,-2.6777E-03,-7.18806E-04,-2.028378E+01,1.120188E+01,-6.725612E-01
5E-03,6.510915E-02,2.352566E-03,-3.915691E-04,2.096987E-03,7.204893E-02,2.268956E-03,-1.924166E-04,1.905603E-03,-2.024899E+01,6.955298E+01,-6.90255E-01
6E-03,6.511055E-02,2.355323E-03,-2.954133E-03,2.517201E-03,7.205203E-02,2.27346E-03,-4.215495E-03,6.31876E-03,-2.014467E+01,2.063934E+02,-6.756816E-01
7E-03,6.510324E-02,2.3576E-03,-1.289333E-02,-8.722599E-04,7.20405E-02,2.281594E-03,-1.740126E-02,1.585132E-03,-1.98362E+01,3.620373E+02,-6.277191E-01
8E-03,6.508476E-02,2.353579E-03,-1.682485E-02,7.066283E-04,7.201723E-02,2.27663E-03,-1.831725E-02,5.444428E-03,-1.94206E+01,5.503824E+02,-6.359457E-01
9E-03,6.506959E-02,2.359013E-03,-1.538146E-02,5.624038E-03,7.200387E-02,2.292483E-03,-1.073881E-02,9.487021E-03,-1.873544E+01,8.520647E+02,-5.497037E-01
1E-02,6.5054E-02,2.364827E-03,-1.992071E-02,7.623479E-03,7.199575E-02,2.295604E-03,-2.273644E-02,9.700688E-03,-1.771647E+01,1.453305E+03,-5.713336E-01
1.1E-02,6.502975E-02,2.37426E-03,-1.185129E-02,9.361941E-03,7.19584E-02,2.311884E-03,-4.027497E-02,3.60876E-03,-1.582883E+01,2.083112E+03,-5.157989E-01
1.2E-02,6.503029E-02,2.383551E-03,-4.900129E-03,8.293854E-03,7.19152E-02,2.302821E-03,-4.133873E-02,-1.748683E-02,-1.355024E+01,3.930771E+03,-6.717946E-01
1.3E-02,6.501995E-02,2.390848E-03,-1.853694E-02,-3.535203E-03,7.187572E-02,2.27691E-03,-4.350772E-02,-1.439032E-02,-7.967284E+00,6.980834E+03,-9.521224E-01
1.4E-02,6.499322E-02,2.37648E-03,-5.103302E-02,4.584569E-03,7.182818E-02,2.274041E-03,-4.097226E-02,-4.287977E-04,4.114249E-01,1.114232E+04,-8.586615E-01
1.5E-02,6.491788E-02,2.400017E-03,-7.613852E-02,1.713183E-02,7.179377E-02,2.276053E-03,-3.576284E-02,-4.084096E-03,1.431736E+01,1.322964E+04,-1.032863E+00
1.6E-02,6.484094E-02,2.410744E-03,-4.83009E-02,7.298988E-03,7.175666E-02,2.265873E-03,-5.853834E-02,-6.095689E-03,2.68707E+01,1.080608E+04,-1.200066E+00
1.7E-02,6.482128E-02,2.414615E-03,-1.898137E-02,-3.691034E-03,7.16767E-02,2.263861E-03,-6.474426E-02,-4.824185E-03,3.592951E+01,1.49792E+04,-1.259755E+00
1.8E-02,6.480298E-02,2.403362E-03,-3.497053E-02,-1.121058E-02,7.162717E-02,2.256224E-03,-3.696466E-02,-2.390734E-02,5.68291E+01,2.282179E+04,-1.235175E+00
1.9E-02,6.475134E-02,2.392194E-03,-5.706888E-02,-3.169782E-03,7.160277E-02,2.216047E-03,-5.994459E-02,-1.725798E-02,8.157309E+01,1.786619E+04,-1.472723E+00
2E-02,6.468884E-02,2.397022E-03,-8.619944E-02,2.981783E-02,7.150728E-02,2.221708E-03,-8.582917E-02,1.778621E-02,9.256147E+01,9.747172E+03,-1.472852E+00
2.1E-02,6.457894E-02,2.451829E-03,-1.077432E-01,5.238263E-02,7.143111E-02,2.251619E-03,-8.165942E-02,3.69351E-02,1.010674E+02,1.07356E+04,-1.673622E+00
2.2E-02,6.447336E-02,2.501788E-03,-9.378229E-02,1.334292E-02,7.134396E-02,2.295578E-03,-8.550964E-02,6.5018E-02,1.140327E+02,1.075848E+04,-1.719117E+00
2.3E-02,6.439138E-02,2.478515E-03,-9.022344E-02,-1.723168E-02,7.126009E-02,2.381655E-03,-6.824759E-02,8.321645E-02,1.225844E+02,1.360431E+04,-8.079108E-01
2.4E-02,6.429291E-02,2.467324E-03,-1.225385E-01,-3.006626E-02,7.120747E-02,2.462011E-03,-8.303621E-02,7.326597E-02,1.412413E+02,1.787667E+04,-4.402489E-02
2.5E-02,6.41463E-02,2.418383E-03,-1.058423E-01,-3.679008E-02,7.109402E-02,2.528187E-03,-8.070037E-02,4.062421E-02,1.583377E+02,1.658674E+04,9.054485E-01
2.6E-02,6.408122E-02,2.393744E-03,-9.144143E-02,-8.70236E-02,7.104606E-02,2.54326E-03,-3.777638E-02,3.918344E-03,1.744148E+02,1.825027E+04,1.229791E+00
2.7E-02,6.396342E-02,2.244336E-03,-8.87329E-02,-6.677463E-02,7.101846E-02,2.536024E-03,-4.283514E-02,-1.684183E-02,1.948383E+02,2.044003E+04,2.367523E+00
2.8E-02,6.390376E-02,2.260195E-03,-5.555337E-02,2.300837E-03,7.096039E-02,2.509576E-03,-5.223872E-02,-4.028788E-02,2.152948E+02,2.240607E+04,2.023988E+00
2.9E-02,6.385231E-02,2.248937E-03,-9.085202E-02,6.232929E-03,7.091399E-02,2.455448E-03,-6.695394E-02,-4.923611E-02,2.396504E+02,1.947412E+04,1.675073E+00
3E-02,6.372205E-02,2.272661E-03,-8.390376E-02,2.99813E-02,7.082649E-02,2.411104E-03,-9.918856E-02,-4.804698E-02,2.542431E+02,2.01888E+04,1.116374E+00
3.1E-02,6.36845E-02,2.3089E-03,-2.64403E-02,1.041588E-02,7.071561E-02,2.359354E-03,-1.200547E-01,-4.553089E-02,2.80028E+02,1.619696E+04,4.111393E-01
3.2E-02,6.366917E-02,2.293493E-03,-2.053107E-02,7.565588E-04,7.058638E-02,2.320042E-03,-1.589575E-01,-1.726265E-02,2.86637E+02,3.373762E+03,2.199111E-01
3.3E-02,6.364344E-02,2.310413E-03,-3.665075E-02,7.913659E-03,7.03977E-02,2.324829E-03,-1.939604E-01,2.613618E-02,2.867755E+02,6.611762E+02,1.222879E-01
