timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-28T20:20:13,1.5,16,2e2b9824,5.452837,0.0313,0.0234,0.0809,0.0710,0.0575,0.0824,0.1358,0.003354,0.006353,0.005148,0.002479,0.002625,0.002784,0.006956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.6,31.0,0.7,2.1,5.4,6.8,5.0,0.9894399306118493,7.249637150986824e-05,1.8411741817269435e-06,0.00086247714592245,4.04128782118854,0.33804615163102725,0.7113011557826316,7.753415311441731e-06,0.5318942499127359,5.198024646446898,1.0421614386849638,1.4810634373150713,6.637799676406054e-10,0.5056270570650541,1.6012492929454507e-06,1.867831714986404e-05,0.8088235589350602
2026-02-28T20:22:11,3.5,32,c15ce9a9,5.017733,0.0455,0.1025,0.0787,0.0604,0.1291,0.0741,0.1038,0.003779,0.007661,0.003009,0.002032,0.004635,0.000480,0.005987,0.001571,0.087026,0.013798,0.000000,0.000000,0.000000,0.000000,21.4,167.1,32.3,1.9,3.3,10.7,4.8,0.6368513224729573,6.512301984255606e-05,1.6291147089993625e-06,0.0013134733257293002,4.188904940525829,0.12806067513572952,0.18209936470429877,2.7009224380708527e-05,0.47222545016857276,5.728993603684977,1.3280667327385094,1.4113539280010352,1.3368727496846858e-09,0.400281371243301,2.2049067535861516e-06,4.533074033521345e-05,0.28682206231773794
2026-02-28T20:23:32,4.8,48,fb2b943f,2.919990,0.0353,0.0601,0.0603,0.0852,0.0703,0.0575,0.0922,0.003259,0.004441,0.003531,0.001672,0.004801,0.001837,0.004835,0.000000,0.078014,0.000000,0.000000,0.000000,0.000000,0.000000,2.0,28.4,3.8,2.8,10.5,3.6,8.5,0.7676961479317018,9.191566435343192e-05,1.416480613591924e-06,0.0008449196401220819,4.128578705403579,0.08341703847816614,0.451719155915692,0.00017464821426658894,0.5654019355686107,5.293188869737751,1.0362124045990861,1.0199390104269863,1.1026702544146827e-09,0.2338540525160911,1.956169935938379e-06,0.0001908185198359354,0.4974099482679225
2026-02-28T20:27:04,8.4,80,ddb15864,2.875166,0.0299,0.0362,0.0697,0.0931,0.0998,0.0731,0.1436,0.000833,0.001355,0.002521,0.006612,0.004977,0.000696,0.003024,0.000000,0.022484,0.000000,0.000000,0.067977,0.000000,0.000000,4.9,8.7,0.1,2.0,10.6,3.2,2.4,1.0438833304115018,6.357680998668759e-05,2.785557312169771e-06,0.0008092450509214571,3.7537526090059856,0.40583350784944106,0.377664436226544,0.000183822356173614,0.45307938199643083,4.626262289446279,1.2567229536043876,1.4338321635972737,7.083386743570615e-10,0.026748517445598034,1.2719588078360118e-06,0.00013607496221126018,0.6301912946885625
2026-02-28T20:28:16,9.6,96,ee0e2109,1.414099,0.0431,0.0997,0.0805,0.1262,0.1300,0.0747,0.1314,0.004627,0.004534,0.003036,0.003755,0.005328,0.002176,0.004462,0.000000,0.032608,0.000000,0.000000,0.061404,0.000000,0.000000,7.4,11.3,3.8,6.7,1.0,2.0,1.1,0.8298332171330439,7.321689859492149e-05,2.274957615287273e-06,0.000694586230912616,2.844140269038784,0.0055047948586041005,0.5686629231797959,0.0001707566470123941,0.5186850075270671,5.197237181253329,1.295243809351768,1.1840816138391974,1.339121020000638e-09,0.43701875692246006,2.1478530443529706e-06,5.503360268946433e-05,0.5709804790102831
2026-02-28T20:30:44,12.0,128,c8368bb3,0.911247,0.0368,0.0881,0.0621,0.0867,0.1014,0.0797,0.1222,0.003179,0.002764,0.000485,0.003055,0.003695,0.001004,0.003208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.4,8.9,6.2,5.9,4.4,3.8,8.3,0.7875388521118252,8.148253412960225e-05,3.7709208909446704e-06,0.0007505495861498415,3.5934955439349716,0.09852031822022142,0.41943109210140955,6.35025531428531e-05,0.6458721853200067,5.3454875308440455,0.9643116534812831,1.318736102038856,5.831662171051957e-10,0.4017324234235309,1.0751460165942194e-06,3.2759289206303954e-05,0.47658698254713494
2026-02-28T20:41:35,22.9,240,4a6b757b,0.784201,0.0372,0.0977,0.0760,0.1020,0.1047,0.0776,0.1386,0.003312,0.002753,0.003303,0.004220,0.004747,0.002271,0.005481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.8,7.9,4.0,5.5,1.1,5.6,4.7,0.7215122776373927,5.781502705433571e-05,1.7130378438070135e-06,0.00032213034343504956,2.7817797424178354,0.17887783334639018,0.4612123640756301,0.00010606209613048557,0.678661814519349,5.5078294928021565,1.096575602068823,1.2933338626504929,7.52916626816365e-10,0.3105702462464742,1.0050263206696326e-06,1.2330680245342001e-05,0.5575434077871975
2026-02-28T20:44:22,25.7,272,f7e80ec6,0.575029,0.0399,0.0897,0.0717,0.1112,0.0881,0.0784,0.1299,0.004011,0.003858,0.003576,0.003869,0.005923,0.002936,0.002795,0.000000,0.027729,0.000000,0.000000,0.000000,0.000000,0.000000,0.9,4.7,10.3,2.7,8.8,8.5,2.8,0.7771994248312533,7.294179182361926e-05,2.507196081784602e-06,0.0002926748471553907,3.8582201833341956,0.2207861407931752,0.3338869386504206,0.00010844952930230156,0.5987241841530498,5.417568278096717,1.0711486989006918,1.285775372265265,8.436063286800025e-10,0.4802733583791315,1.0125351291641612e-06,4.1444493417945016e-05,0.48092208210385673
2026-02-28T21:23:01,64.3,768,8a62bad0,0.513977,0.0430,0.0955,0.0744,0.1238,0.1033,0.0766,0.1429,0.004925,0.000775,0.002956,0.003178,0.001837,0.003289,0.002603,0.000000,0.030042,0.002172,0.000000,0.000000,0.000000,0.000000,2.5,26.7,1.8,4.1,11.5,1.2,5.9,0.8050614079092595,0.00012355023742052407,1.4405627815817537e-06,0.0003946508113801199,4.34724115830064,0.251577337736498,0.37669964776647247,8.303201685535609e-05,0.6305981588038803,5.6068025101995325,1.2389232041897653,1.3640068647143169,8.767241009561774e-10,0.3807680603707947,1.0687092999841233e-06,2.0999534357591206e-05,0.5334702210268281
2026-02-28T21:48:43,90.0,1120,d77f1390,0.479069,0.0379,0.0903,0.0737,0.1132,0.1101,0.0862,0.1356,0.003089,0.006091,0.005173,0.005852,0.003496,0.001457,0.003850,0.000000,0.029286,0.000000,0.000000,0.000000,0.000000,0.000000,1.5,9.7,20.6,3.0,14.6,5.2,4.7,0.7047846018093974,0.00012756736031639503,1.3561484919181543e-06,0.00038781497927466434,5.3240670205464,0.17335775425609115,0.3537454038989213,8.845983287003389e-05,0.4805681941729288,5.623050635021239,1.2186665196378044,1.4366334584693157,7.660497955739198e-10,0.461598884321,1.0152238280816985e-06,9.185558515583094e-06,0.46574327481629163
