terrain,morphology,scene,freq_hz,speed_m_s,weight,notes
flat,2-legged,scene1,10,0.0512,1.0,
flat,2-legged,scene1,20,0.1264,1.0,
flat,2-legged,scene1,30,0.1187,1.0,
flat,2-legged,scene1,50,0.1483,1.0,
flat,4-legged,scene2,10,0.0832,1.0,
flat,4-legged,scene2,20,0.1131,1.0,
flat,4-legged,scene2,30,0.1796,1.0,
flat,4-legged,scene2,50,0.2633,1.0,
flat,leg-only,scene4,10,0.1121,1.0,
flat,leg-only,scene4,20,0.1841,1.0,
flat,leg-only,scene4,30,0.2747,1.0,
flat,leg-only,scene4,50,0.3274,1.0,
flat,wheel,scene_wheel,10,0.1432,1.0,
flat,wheel,scene_wheel,20,0.3058,1.0,
flat,wheel,scene_wheel,30,0.4493,1.0,
step,2-legged,scene1,10,0.0199,1.0,
step,2-legged,scene1,20,0.0473,1.0,
step,2-legged,scene1,30,0.0331,1.0,
step,4-legged,scene2,10,0.0542,1.0,
step,4-legged,scene2,20,0.0894,1.0,
step,4-legged,scene2,30,0.1335,1.0,
step,leg-only,scene4,10,0.0716,1.0,
step,leg-only,scene4,20,0.1038,1.0,
step,leg-only,scene4,30,0.0898,1.0,
step,wheel,scene_wheel,10,0.0000,1.0,FAILURE - no locomotion
step,wheel,scene_wheel,20,0.0000,1.0,FAILURE - no locomotion
step,wheel,scene_wheel,30,0.0938,1.0,
