timestamp,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping
2026-02-14T19:47:22,8,a8c14814,5.204078,0.0687,0.1218,0.0681,0.1098,0.1514,0.3208,0.0921,0.3359,0.6227,0.1618,0.4823,0.016867314,0.0067921562,0.00047950975,0.0029744201,1.5942757,0.82431313,0.95686212,0.00061544815,0.35484474,5.0202592,0.42632412,1.0866783,1.0796384e-09
2026-02-14T19:48:05,16,c913407b,2.806073,0.0718,0.1409,0.1344,0.1313,0.1739,0.2859,0.0962,0.2960,0.4670,0.1630,0.4803,0.014199176,0.017047139,0.00064993059,0.00153112,1.6287679,0.83399707,0.97378087,0.00036072314,0.49991239,5.1861567,0.5825701,1.2287757,7.4744454e-10
2026-02-14T19:48:43,24,f6f99e8f,2.175900,0.0220,0.1192,0.1228,0.0915,0.1869,0.3035,0.0865,0.3040,0.4646,0.1613,0.4825,0.015947996,0.01222561,0.0026384116,0.0021492587,1.8085132,0.81556333,0.99620878,0.00066603804,0.16486759,5.3220229,0.40014035,1.4502151,4.3407129e-10
2026-02-14T19:50:03,40,1fec7c24,1.449139,0.0499,0.1419,0.1292,0.1221,0.1921,0.2698,0.1283,0.3038,0.4506,0.1594,0.4776,0.010020644,0.0078653058,0.0010024086,0.0011613356,1.9589581,0.81140856,0.99221576,0.00099991921,0.69016802,5.1399496,0.6809079,1.2360678,7.2664734e-10
2026-02-14T19:50:43,48,4a705159,1.307682,0.0690,0.1301,0.1434,0.1107,0.1648,0.2910,0.0976,0.2801,0.4415,0.1637,0.4814,0.012989597,0.0095229072,0.0067731462,0.0015528592,1.8488614,0.80612299,0.98929934,0.00097327295,0.57089735,4.720947,0.43222165,1.3277364,5.3389181e-10
2026-02-14T20:02:51,208,13814c78,1.225022,0.0505,0.1051,0.0983,0.1133,0.1753,0.2025,0.1012,0.2403,0.4168,0.1522,0.4744,0.017665822,0.013650864,0.004325029,0.0015507277,1.6332045,0.81917473,0.99709682,0.00033029215,0.49920195,4.7155744,0.63357996,0.73130555,2.6498255e-10
2026-02-14T20:08:49,288,422fe3c1,1.018302,0.0430,0.1042,0.1063,0.1098,0.1715,0.2428,0.0943,0.2504,0.4341,0.1545,0.4766,0.039098919,0.01027144,0.0053568229,0.0018749494,1.4687937,0.85904022,0.99105243,0.00015073408,0.57872678,4.7743995,0.62822564,0.79987325,3.742102e-10
2026-02-14T20:11:12,320,652979ec,0.888843,0.0589,0.1219,0.1158,0.1066,0.1600,0.2171,0.0984,0.2608,0.4358,0.1649,0.4744,0.029472504,0.018759314,0.0053768373,0.0014747179,1.7459974,0.86160195,0.98980726,0.00014408774,0.62764805,4.4866085,0.49979383,1.0705933,4.0778397e-10
2026-02-14T20:17:10,400,e6de58df,0.862913,0.0559,0.1129,0.1132,0.1114,0.1592,0.2265,0.1021,0.2445,0.4134,0.1632,0.4711,0.018557926,0.010049043,0.0065817357,0.0013001381,1.6228387,0.83073759,0.99831642,0.00026224235,0.59564452,4.6210357,0.55603229,0.95464556,3.6344019e-10
2026-02-14T20:17:46,408,a2f37622,0.820181,0.0558,0.1098,0.1131,0.1088,0.1626,0.2259,0.0989,0.2464,0.4166,0.1630,0.4746,0.017729281,0.011067597,0.006364403,0.0013569848,1.7286827,0.82607184,0.99855261,0.00024954185,0.51920669,4.7029853,0.55753125,0.92824538,3.4910099e-10
