terrain,scene,morphology,freq_hz,target_speed,flat_all_sim_vel,flat_all_err_pct,flat_all_best_seed,flat_10_30_50_sim_vel,flat_10_30_50_err_pct,flat_10_30_50_best_seed,step_16dim_sim_vel,step_16dim_err_pct,step_16dim_best_seed
flat,scene1,2-leg,10,0.0512,0.049135,-4.03,59058,0.055394,8.19,115577,0.056643,10.63,74336
flat,scene1,2-leg,20,0.1264,-0.020623,-116.32,45019,0.103318,-18.26,59357,0.086569,-31.51,141069
flat,scene1,2-leg,30,0.1187,-0.027489,-123.16,49801,0.117315,-1.17,84942,0.097534,-17.83,111002
flat,scene1,2-leg,50,0.1483,0.001312,-99.12,59358,0.150133,1.24,67301,0.070956,-52.15,103358
flat,scene2,4-leg,10,0.0832,0.252191,203.11,50368,0.083745,0.65,89736,0.083687,0.58,92091
flat,scene2,4-leg,20,0.1131,0.100360,-11.26,69169,0.138960,22.86,82805,0.106547,-5.79,80813
flat,scene2,4-leg,30,0.1796,0.042897,-76.12,105605,0.178932,-0.37,137112,0.132378,-26.29,53239
flat,scene2,4-leg,50,0.2633,0.019874,-92.45,59912,0.251727,-4.40,112254,0.153042,-41.88,135566
flat,scene4,leg,10,0.1121,0.122460,9.24,97489,0.112247,0.13,79471,0.091388,-18.48,125193
flat,scene4,leg,20,0.1841,-0.009063,-104.92,58904,0.191794,4.18,122065,0.149830,-18.61,72607
flat,scene4,leg,30,0.2747,-0.007154,-102.60,110934,0.301734,9.84,128906,0.235559,-14.25,60143
flat,scene4,leg,50,0.3274,-0.000840,-100.26,47370,0.333170,1.76,50857,0.334616,2.20,59716
flat,scene_wheel,wheel,10,0.1432,0.238213,66.35,134033,0.157764,10.17,69206,0.121844,-14.91,45677
flat,scene_wheel,wheel,20,0.3058,0.066863,-78.14,114708,0.303552,-0.74,126737,0.304688,-0.36,92421
flat,scene_wheel,wheel,30,0.4493,0.030682,-93.17,136659,0.443847,-1.21,70225,0.484748,7.89,116431
step,scene1,2-leg,10,0.0199,0.002287,-88.51,55460,0.002284,-88.52,135383,0.022320,12.16,85223
step,scene1,2-leg,20,0.0473,0.000000,-100.00,57481,0.063822,34.93,78169,0.048529,2.60,139530
step,scene1,2-leg,30,0.0331,0.000000,-100.00,134490,0.091191,175.50,82057,0.022262,-32.74,135315
step,scene2,4-leg,10,0.0542,0.253482,367.68,122542,0.062007,14.40,76472,0.055656,2.69,68601
step,scene2,4-leg,20,0.0894,0.000000,-100.00,78908,0.118609,32.67,124900,0.087702,-1.90,105707
step,scene2,4-leg,30,0.1335,0.000000,-100.00,131156,0.143092,7.19,80782,0.120904,-9.44,57285
step,scene4,leg,10,0.0716,0.028542,-60.14,127859,0.080086,11.85,69504,0.070248,-1.89,139987
step,scene4,leg,20,0.1038,0.000000,-100.00,44601,0.167569,61.43,92652,0.108018,4.06,61970
step,scene4,leg,30,0.0898,0.000000,-100.00,132653,0.228140,154.05,49018,0.104082,15.90,114702
step,scene_wheel,wheel,10,0.0,0.243521,,71818,-0.000274,,136586,-0.000214,,100663
step,scene_wheel,wheel,20,0.0,0.000000,,46098,-0.000130,,126883,-0.000194,,62078
step,scene_wheel,wheel,30,0.0938,0.000000,-100.00,100405,-0.000197,-100.21,136030,0.005537,-94.10,50098
