timestamp,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping
2026-02-15T00:31:22,8,7f4d1481,2.382441,0.0518,0.0755,0.0671,0.1116,0.1407,0.1917,0.1054,0.2452,0.3910,0.1635,0.4643,0.034616617,0.0068145408,0.0050752597,0.001103744,1.2896215,0.84137303,0.99894328,0.00025042488,0.45665012,4.2783594,0.50174232,0.82542668,2.0114848e-10
2026-02-15T00:32:43,24,3c203bee,1.888262,0.0662,0.1168,0.0856,0.1142,0.1529,0.2104,0.1055,0.2515,0.4196,0.1627,0.4695,0.015371174,0.0072606116,0.0067999129,0.0011758269,1.5892796,0.85616028,0.99733034,0.00017965212,0.34281054,3.9593539,0.58045458,0.90346218,4.047704e-10
2026-02-15T00:36:34,72,d03ec9dc,1.865248,0.0556,0.1187,0.0787,0.1202,0.1949,0.2449,0.0960,0.2484,0.3932,0.1566,0.4954,0.014599875,0.02471892,0.0064106294,0.0020319921,1.9967443,0.98611326,0.99759778,0.00022789731,0.10121277,3.7501284,0.73956658,0.70877384,3.8189117e-10
2026-02-15T00:45:33,192,8519e87d,1.535741,0.0397,0.1119,0.0935,0.1146,0.1786,0.2438,0.0977,0.2452,0.4235,0.1621,0.4751,0.013050078,0.016174597,0.035434126,0.00173255,1.7192003,0.97167942,0.99427095,0.00036122766,0.55081234,3.6042662,0.65229019,0.81122032,3.6496238e-10
2026-02-15T00:46:08,200,448b00c4,1.257145,0.0528,0.1065,0.0927,0.1132,0.1571,0.2301,0.1014,0.2470,0.3985,0.1621,0.4688,0.0084767534,0.013416423,0.026702352,0.0013631802,1.7017881,0.95849812,0.99402698,0.00029762073,0.69374948,3.6918816,0.59362173,0.90327892,3.5031339e-10
2026-02-15T00:53:58,304,36a9a110,1.210427,0.0681,0.1195,0.1040,0.1038,0.1489,0.2184,0.1044,0.2555,0.4269,0.1634,0.4672,0.0093129278,0.010061526,0.028328536,0.0012415957,1.5181198,0.96373789,0.98406598,0.00024638905,0.73590118,3.4456441,0.50045912,0.95857639,5.3500589e-10
2026-02-15T00:54:36,312,5ad8eded,1.040215,0.0530,0.1019,0.1040,0.1111,0.1404,0.2117,0.1054,0.2473,0.3815,0.1628,0.4673,0.0057356084,0.011683611,0.025546059,0.0010201977,1.4997306,0.96422693,0.98705947,0.00030072386,0.80911563,3.7200591,0.51950122,1.0675979,3.7897709e-10
2026-02-15T00:57:19,344,062e088d,0.915819,0.0416,0.1065,0.1150,0.1077,0.1481,0.2552,0.0982,0.2490,0.4299,0.1636,0.4681,0.0055922409,0.0098941937,0.020917689,0.0015608929,1.5050522,0.97226868,0.98151636,0.00023755572,0.71604525,3.69938,0.51069836,1.1161435,4.1558658e-10
2026-02-15T00:58:30,360,b28a5672,0.893060,0.0517,0.1125,0.1190,0.1108,0.1574,0.2261,0.0980,0.2575,0.4216,0.1643,0.4690,0.0084420534,0.01288112,0.023740785,0.0016942099,1.4954678,0.98546435,0.97891551,0.00037039198,0.73431551,3.7382537,0.55602476,0.99381841,4.4788297e-10
2026-02-15T01:00:53,392,a74e3b35,0.721809,0.0486,0.1096,0.1112,0.1048,0.1577,0.2694,0.0964,0.2502,0.4205,0.1642,0.4740,0.0094030359,0.0078661903,0.025151601,0.0017717842,1.4075726,0.96518592,0.97644873,0.00044859661,0.66598766,3.9224643,0.50099823,1.0879945,4.400001e-10
2026-02-15T01:02:41,416,263dadc0,0.683599,0.0528,0.1106,0.1196,0.1073,0.1553,0.2609,0.0932,0.2618,0.4127,0.1636,0.4723,0.009745281,0.0092397671,0.032493754,0.0019338977,1.4035585,0.98290485,0.97452177,0.00072452684,0.67394141,3.8005651,0.51042814,1.1300786,5.1697343e-10
