timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping
2026-02-15T15:49:20,0.6,8,25849683,12.069484,-0.0190,0.0785,0.0859,0.0756,0.2116,0.3917,0.0930,0.2746,0.5204,0.1532,0.4385,0.003096,0.016218,0.058602,0.000764,0.002183,0.030144,0.016748,0.012787,0.075677,0.022914,0.101451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.24,4.77,4.16,3.40,2.25,3.52,1.35,1.81,1.79,0.13,0.17,0.0007543292,0.00030375446,0.0006781292,0.0049676062,1.1442757,0.83827408,0.95686212,0.0027523678,0.43979299,3.5202592,0.5725591,0.83667827,2.3898814e-10
2026-02-15T15:49:57,1.2,16,82cdc4df,5.433476,0.0725,0.0954,0.0879,0.1085,0.2180,0.3868,0.0924,0.2898,0.6090,0.1747,0.4734,0.000893,0.007914,0.040156,0.001219,0.005650,0.020555,0.007863,0.014358,0.012130,0.007259,0.023537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.19,9.29,5.72,2.77,4.05,3.66,1.22,1.93,1.12,0.12,0.17,0.0021707675,0.00028955843,0.001941032,0.0044068624,0.93739319,0.8229923,0.95922889,0.0026290675,0.5503141,3.679392,0.65454893,0.74712763,6.5979046e-10
2026-02-15T15:50:34,1.8,24,d4251631,4.573632,0.0440,0.0547,0.0405,0.1129,0.1779,0.1822,0.0868,0.2312,0.3617,0.1705,0.4716,0.003078,0.000724,0.011544,0.004210,0.033279,0.123039,0.011833,0.039693,0.097144,0.005344,0.004773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.29,7.48,7.61,2.61,5.07,4.96,1.10,1.92,2.19,0.09,0.13,0.0031400141,0.00039889469,0.0014369847,0.0038051654,0.6717598,0.80426986,0.95797119,0.0036364841,0.56717552,3.5629078,0.91643667,0.5556777,6.3989461e-10
2026-02-15T15:51:10,2.5,32,de8e71ae,3.786992,0.0580,0.0787,0.0541,0.1063,0.2116,0.3106,0.0972,0.2522,0.5208,0.1638,0.4095,0.002952,0.020382,0.023104,0.003464,0.012539,0.068819,0.024511,0.113142,0.079241,0.014047,0.063881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.93,5.58,4.04,2.93,3.76,3.43,1.58,1.97,1.56,0.40,0.47,0.0030421522,0.0010427037,0.0042598285,0.0066982666,1.0027169,0.82042057,0.95705638,0.0044925343,0.55187358,3.7451448,0.82900987,0.55421455,5.5114347e-10
2026-02-15T15:56:38,7.9,104,542099d9,2.756784,0.0659,0.0839,0.0630,0.1143,0.1474,0.1929,0.1297,0.2509,0.4072,0.1463,0.4773,0.001376,0.003827,0.019339,0.000409,0.001669,0.006365,0.002690,0.020473,0.068548,0.000390,0.003779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.38,7.38,7.41,1.62,2.92,5.83,0.68,1.82,2.88,0.02,0.09,0.0010979937,0.00084796226,0.0048023719,0.0013736101,0.88427176,0.81719165,0.95415641,0.0094907109,0.65442201,3.7667321,0.78715197,0.80856232,7.3100546e-10
2026-02-15T15:57:16,8.5,112,caa85b5d,2.366121,0.0648,0.1071,0.0737,0.1138,0.1341,0.1759,0.1171,0.2548,0.3901,0.1610,0.4661,0.000779,0.001584,0.014757,0.002091,0.005577,0.010920,0.006544,0.027754,0.045336,0.006289,0.002721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.56,5.33,5.10,1.98,3.57,4.76,0.48,1.41,2.63,0.02,0.11,0.0013287394,0.0017698908,0.0030272562,0.0010200926,1.0897119,0.87395335,0.95226607,0.0065613221,0.73547121,4.2294823,0.66540672,0.75034793,6.0978731e-10
2026-02-15T15:57:53,9.2,120,85fdcfc2,1.574588,0.0690,0.1092,0.0926,0.1019,0.1440,0.1950,0.1090,0.2669,0.4277,0.1630,0.4682,0.000819,0.002226,0.025296,0.000288,0.003232,0.015043,0.010762,0.047393,0.038742,0.004415,0.014097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.94,5.53,4.65,1.95,2.31,3.20,0.31,1.33,2.48,0.02,0.14,0.0017656357,0.0016247943,0.0042704074,0.0010594122,1.2560213,0.82903701,0.95254139,0.0099547153,0.75379257,4.0660857,0.50065029,0.91437059,7.6764654e-10
2026-02-15T16:02:10,13.4,176,eedc3a49,1.265769,0.0543,0.1182,0.1044,0.1173,0.1650,0.2180,0.1293,0.2836,0.3788,0.1620,0.4716,0.002607,0.006255,0.012017,0.003527,0.002467,0.024340,0.002617,0.004530,0.021241,0.000178,0.005621,0.000000,0.000000,0.046768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.73,8.57,11.06,2.31,3.42,6.75,0.82,2.37,3.35,0.02,0.11,0.0014589129,0.0020447163,0.0021781897,0.0010337553,1.2484848,0.84096721,0.95140155,0.0099999053,0.85482651,4.2750142,0.72804881,1.1109827,7.4966361e-10
2026-02-15T16:04:14,15.5,200,40763740,1.245293,0.0554,0.1029,0.0982,0.1098,0.1346,0.1940,0.1052,0.2628,0.3852,0.1631,0.4642,0.002545,0.003020,0.022578,0.002606,0.002681,0.030984,0.001762,0.001190,0.074284,0.003108,0.007311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.65,5.75,5.75,2.14,1.79,4.57,0.73,1.39,2.77,0.02,0.13,0.0018869246,0.0027998746,0.0014798469,0.0010357977,1.2764414,0.85124235,0.95513897,0.0037135274,0.89740571,4.4820013,0.50012693,1.1117167,4.1203506e-10
2026-02-15T16:04:49,16.1,208,05b87991,1.240755,0.0601,0.1063,0.1003,0.1099,0.1343,0.1991,0.1051,0.2605,0.3935,0.1632,0.4635,0.001210,0.002089,0.024310,0.001338,0.001613,0.018805,0.002476,0.021781,0.022577,0.003319,0.019648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.40,5.37,5.99,2.51,1.68,5.07,0.71,1.20,2.71,0.02,0.13,0.0027403161,0.0017303941,0.0035693111,0.0010719804,1.1394016,0.80629532,0.95421806,0.0057553175,0.86469412,4.6369652,0.50712094,1.0733096,4.6043948e-10
