timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f30,vel_scene2_f30,vel_scene4_f30,vel_scene_wheel_f30,lateral_scene1_f30,lateral_scene2_f30,lateral_scene4_f30,lateral_scene_wheel_f30,tumble_scene1_f30,tumble_scene2_f30,tumble_scene4_f30,tumble_scene_wheel_f30,yaw_scene1_f30,yaw_scene2_f30,yaw_scene4_f30,yaw_scene_wheel_f30,pitch_rms_scene1_f30,pitch_rms_scene2_f30,pitch_rms_scene4_f30,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-17T13:43:19,0.4,8,f311564e,6.448667,0.0629,0.0152,0.1103,0.4714,0.280014,0.026725,0.008327,0.002057,0.076417,0.066812,0.000000,0.000000,50.4,114.3,35.6,1.2,34.79,21.69,6.04,0.04,0.00026149798,0.0054323287,0.00030114763,0.0037728856,0.2205237,0.49083696,0.10992053,0.00016129413,0.48480944,5.6471277,0.50296534,1.1127861,5.3721658e-11,0.54679344
2026-02-17T13:43:35,0.6,16,2b1c75b1,6.173212,0.0018,0.1037,0.2358,0.4683,0.019794,0.010814,0.016880,0.017512,0.055960,0.000000,0.000000,0.000000,165.5,6.2,3.8,0.9,13.20,3.67,1.98,0.09,0.00034478877,0.0014494646,0.00078229064,0.0012991148,0.71775584,0.77742283,0.37592849,6.403815e-05,0.33822141,5.1797975,0.51444218,1.0905207,8.1215623e-11,0.86105833
2026-02-17T13:44:53,1.9,48,ae1c6a13,2.959637,0.0199,0.1375,0.2549,0.4765,0.013891,0.008234,0.006071,0.018022,0.000000,0.000000,0.000000,0.000000,13.0,5.8,2.2,1.0,5.55,2.52,1.66,0.11,0.0016016355,0.0078926228,0.00026492232,0.0031947374,0.72873716,0.45004608,0.025598083,8.4191412e-05,0.22516953,5.1998413,0.50105361,1.1675782,1.6871119e-12,0.46412129
2026-02-17T13:45:10,2.2,56,f8e8467d,2.234499,0.0430,0.1087,0.2415,0.4649,0.027695,0.030005,0.015611,0.021617,0.068263,0.000000,0.000000,0.000000,101.6,11.3,3.3,0.5,18.12,3.92,1.92,0.08,0.0014533451,0.002696326,0.00072408732,0.002406506,0.57774667,0.71581051,0.083281132,9.1853581e-05,0.60205822,4.5329016,0.50418286,1.1725718,8.7527963e-13,0.73946981
2026-02-17T13:45:31,2.6,64,3f81f5d1,0.610802,0.0671,0.1767,0.2656,0.4327,0.014425,0.011046,0.016592,0.031685,0.000000,0.000000,0.000000,0.000000,14.8,5.8,3.2,2.2,6.24,3.48,1.47,0.27,0.0014570977,0.0032613968,0.00078286974,0.0004862832,1.5244683,0.53907712,0.57214473,0.00026444278,0.84046214,5.315201,0.51596918,1.151272,9.2619982e-13,0.8027345
2026-02-17T13:46:27,3.5,88,27e1ba9f,0.158578,0.0872,0.1760,0.2646,0.4743,0.006893,0.022087,0.010135,0.003048,0.000000,0.000000,0.000000,0.000000,11.9,1.9,2.6,0.7,4.77,2.29,1.78,0.09,0.00054714299,0.00046885311,0.00040445602,0.0022803628,1.4868477,0.47224724,0.27747106,0.0002204799,0.31676653,5.6941946,0.5435914,1.0421962,7.40657e-12,0.61865561
2026-02-17T13:46:44,3.8,96,1676b497,0.024201,0.1256,0.1961,0.2749,0.4574,0.016973,0.007743,0.052720,0.034790,0.000000,0.000000,0.000000,0.000000,6.3,2.4,9.7,1.0,5.91,2.86,1.55,0.18,0.00066115158,0.00042281102,0.0018004194,0.0011904536,1.8104416,0.1957998,0.50720311,0.0017417414,0.52578595,5.8816161,0.60322477,0.91609479,2.3274148e-11,0.60364192
2026-02-17T13:47:02,4.1,104,5c52f569,0.020444,0.1242,0.1963,0.2623,0.4634,0.020988,0.012562,0.014594,0.047857,0.000000,0.000000,0.000000,0.000000,7.0,1.8,4.0,0.3,5.20,2.35,1.57,0.09,0.00063642821,0.0010545315,0.00053863935,0.0028956136,1.4621919,0.19329795,0.13947648,0.0004097921,0.21339059,5.9719285,0.50255565,1.0278092,2.279761e-11,0.30579996
2026-02-17T13:47:20,4.4,112,3b8ae0c2,0.014520,0.1210,0.1774,0.2563,0.4709,0.019599,0.011045,0.036293,0.013999,0.000000,0.000000,0.000000,0.000000,6.1,2.2,7.3,0.7,5.55,2.85,1.44,0.10,0.0010041753,0.0025977861,0.0006938744,0.0023377834,1.6079919,0.28307976,0.10085953,0.00097274943,0.56417105,5.9369024,0.51699652,0.96406632,1.0883758e-11,0.35537792
2026-02-17T13:49:36,6.6,168,6d1ecd60,0.012445,0.1076,0.1797,0.2623,0.4774,0.007783,0.003082,0.019903,0.014668,0.000000,0.000000,0.000000,0.000000,21.7,5.6,4.2,2.3,5.42,2.71,1.47,0.14,0.0014267732,0.00011657922,0.00027018336,0.0019736204,2.1229227,0.50985315,0.010476841,0.0018716643,0.79925659,5.913549,0.50238053,1.1629133,1.3397e-11,0.51498729
