timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f50,vel_scene2_f50,vel_scene4_f50,lateral_scene1_f50,lateral_scene2_f50,lateral_scene4_f50,tumble_scene1_f50,tumble_scene2_f50,tumble_scene4_f50,yaw_scene1_f50,yaw_scene2_f50,yaw_scene4_f50,pitch_rms_scene1_f50,pitch_rms_scene2_f50,pitch_rms_scene4_f50,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-17T14:08:47,0.3,8,ae4e2e93,6.865791,0.0484,0.0746,0.1508,0.050725,0.060561,0.091752,0.065211,0.067583,0.000000,27.1,166.4,39.9,33.63,28.70,6.52,0.00026149798,0.0054323287,0.00030114763,0.0037728856,0.2205237,0.49083696,0.10992053,0.00016129413,0.48480944,5.6471277,0.50296534,1.1127861,5.3721658e-11,0.54679344
2026-02-17T14:08:58,0.4,16,c8bf8999,0.494444,0.1239,0.2706,0.4320,0.070269,0.051271,0.054671,0.000000,0.000000,0.000000,27.8,95.6,5.3,6.03,5.01,2.40,0.00064937496,0.021218985,0.0029590944,0.0034155895,1.1616532,0.17589897,0.55635309,0.00021746585,0.38757339,5.1548288,0.50842538,1.1777131,1.3127443e-11,0.63433449
2026-02-17T14:10:08,1.6,56,1b9dca96,0.064056,0.1315,0.2379,0.3974,0.015655,0.011993,0.009708,0.000000,0.000000,0.000000,17.1,31.8,2.1,7.71,5.37,3.02,0.00035489302,0.074964065,0.0010603543,0.0019893539,0.95304824,0.38551449,0.098407881,0.00040391345,0.3012382,6.0104775,0.73741062,1.0240323,4.3691153e-10,0.44597487
2026-02-17T14:10:53,2.4,80,849dd40e,0.059455,0.1338,0.2620,0.3966,0.015094,0.022382,0.041248,0.000000,0.000000,0.000000,18.4,9.7,22.0,11.26,7.43,3.35,8.1608705e-05,0.097910015,0.0094284219,0.0011589406,2.8676107,0.83714593,0.35891619,0.00033268043,0.32500356,6.049641,0.95034377,0.92113745,8.5076936e-10,0.895561
2026-02-17T14:12:52,4.3,144,94f1b970,0.045704,0.1396,0.2519,0.3848,0.010438,0.019627,0.047972,0.000000,0.000000,0.000000,19.2,9.3,2.9,8.16,6.00,3.20,2.6619845e-05,0.046626026,0.0038337468,0.00082968924,3.0122252,0.83749568,0.36147772,0.00027844012,0.85176333,6.7162463,0.73198406,1.1079955,6.7676779e-10,0.89620122
2026-02-17T14:13:07,4.6,152,7759c8ac,0.036762,0.1342,0.2535,0.3859,0.006019,0.008749,0.015912,0.000000,0.000000,0.000000,4.2,5.9,3.8,7.87,6.34,2.97,4.5125221e-05,0.014691851,0.0022301554,0.00084852691,2.0273355,0.86756386,0.42937361,0.00011895807,0.72209735,6.3433552,0.75713577,1.0994472,5.8555347e-10,0.92438551
2026-02-17T14:13:37,5.1,168,da278a9b,0.035763,0.1322,0.2712,0.3700,0.013772,0.004619,0.026799,0.000000,0.000000,0.000000,1.6,9.8,3.1,10.26,7.75,3.36,2.5484281e-05,0.048087618,0.0028196855,0.00099853291,3.9622548,0.95313216,0.012389195,0.00024215886,0.51762423,6.3964914,0.93953838,1.0639546,7.4083549e-10,0.95371157
2026-02-17T14:15:08,6.6,216,883e3c7d,0.018157,0.1326,0.2714,0.3451,0.024015,0.022571,0.015967,0.000000,0.000000,0.000000,13.7,4.9,19.7,8.98,7.74,3.08,3.9141833e-05,0.039564316,0.0029134729,0.0010089651,6.0760123,0.99450837,0.085658264,0.00017329553,0.67781037,6.101145,0.9857575,1.0343028,6.1761611e-10,0.9949702
2026-02-17T14:19:52,11.3,368,90f792db,0.017821,0.1326,0.2486,0.3457,0.018628,0.014701,0.015387,0.000000,0.000000,0.000000,11.1,12.6,3.1,7.45,6.58,2.66,0.00013312574,0.029802625,0.0077523509,0.00023530479,8.8517706,0.9633434,0.39512371,0.00037824518,0.5257948,5.7748631,1.0693852,0.8522128,6.8611437e-10,0.97778778
2026-02-17T14:20:37,12.1,392,39710b77,0.004087,0.1352,0.2451,0.3226,0.001713,0.020290,0.003700,0.000000,0.000000,0.000000,13.5,2.1,12.5,12.87,6.77,2.47,0.0003359532,0.032425445,0.0061569193,0.0002167649,9.5291295,0.83828277,0.5278994,0.00045420614,0.64456232,5.7531826,1.2148548,0.84772361,8.2340474e-10,0.92360041
