timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-18T22:39:15,0.5,8,600cb1b6,1.082151,0.0669,0.1088,0.1167,0.0833,0.1487,0.2003,0.0946,0.2321,0.2963,0.1188,0.3291,0.001021,0.000591,0.014895,0.002248,0.001304,0.027345,0.005046,0.019028,0.043611,0.001623,0.010366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.2,14.1,11.9,2.6,4.2,12.3,4.9,8.5,33.2,0.2,9.2,2.56,9.20,9.56,3.73,4.72,6.47,1.18,2.40,2.86,0.16,0.50,0.38883219,0.00016007044,5.4683101e-06,0.0016634712,5.7535005,0.0030397752,0.78340931,2.0966688e-05,0.21635006,5.8633136,0.78993927,0.89795978,4.1748896e-10,0.78398935
2026-02-18T22:40:47,2.0,32,7bee4198,0.999440,0.0557,0.1008,0.1067,0.0788,0.1402,0.1874,0.0866,0.2159,0.2183,0.1207,0.4088,0.001293,0.005253,0.005096,0.001204,0.012002,0.003699,0.002720,0.003505,0.027114,0.001861,0.006453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.8,6.4,2.3,1.5,5.0,9.8,6.8,18.8,15.0,0.6,2.8,2.31,11.34,10.70,3.91,5.72,7.11,1.90,2.60,3.62,0.13,0.84,0.31628396,0.0001240118,5.3368132e-06,0.0001292744,9.3795208,0.021344555,0.92256412,5.5190045e-06,0.42726672,4.9726778,0.83390494,0.88214342,6.4193693e-10,0.9241247
2026-02-18T22:45:37,6.9,104,fddb1503,0.704819,0.0427,0.1081,0.1385,0.1102,0.2034,0.2582,0.1072,0.3077,0.3265,0.1216,0.4397,0.001848,0.001796,0.007346,0.001956,0.004678,0.016917,0.003858,0.008718,0.003082,0.002841,0.006230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.6,2.5,14.3,1.8,1.0,8.2,1.5,5.0,22.5,0.2,0.2,4.13,10.49,9.19,2.99,3.81,7.62,1.10,2.37,2.84,0.03,0.20,0.662997,3.8626716e-05,3.0108706e-06,0.0017632008,3.024948,0.011056647,0.9887452,1.1129993e-05,0.62736256,4.7119918,0.87863808,0.92685791,5.6859571e-10,0.98877076
2026-02-18T22:47:13,8.5,128,2afd7ef2,0.540737,0.0488,0.0810,0.1043,0.0924,0.1572,0.2273,0.1022,0.2627,0.3376,0.1368,0.4629,0.000178,0.000890,0.001557,0.000328,0.002266,0.008303,0.001743,0.012974,0.015653,0.001833,0.005494,0.000000,0.000000,0.018584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.9,2.2,5.1,1.7,1.7,5.8,1.7,4.6,1.2,0.9,12.8,2.27,15.35,16.62,3.24,4.18,7.72,1.72,2.81,2.78,0.05,0.24,0.4419427,0.00018522795,1.9536069e-06,0.0017039969,1.6166879,0.34319619,0.84343322,1.0079968e-05,0.65458119,4.9996956,0.79767166,0.97937963,8.2704219e-10,0.897082
2026-02-18T22:49:21,10.6,160,ceac548e,0.470601,0.0610,0.1101,0.1306,0.1038,0.1660,0.2534,0.0999,0.2751,0.3082,0.1354,0.4289,0.001330,0.005779,0.015956,0.000432,0.001315,0.009145,0.001810,0.012304,0.013609,0.002400,0.009128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.7,1.7,4.3,4.6,1.4,24.7,1.1,13.7,44.3,1.1,10.1,2.40,12.09,15.43,2.45,4.65,9.16,1.95,2.89,3.35,0.17,0.39,0.47017545,0.00020010264,2.8481554e-06,0.0017610914,2.4442717,0.1228607,0.92507039,4.066875e-05,0.65257199,4.7400077,0.78472387,1.0858735,6.9688391e-10,0.93418379
2026-02-18T22:50:57,12.2,184,777a58ab,0.383579,0.0635,0.1136,0.1326,0.0958,0.1688,0.2438,0.1030,0.2818,0.3536,0.1402,0.4137,0.000114,0.006353,0.018701,0.001568,0.003522,0.012791,0.000971,0.012328,0.022236,0.001093,0.008936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.1,3.1,12.9,1.5,3.6,3.6,2.3,9.9,19.3,1.0,4.2,2.70,11.50,13.73,3.40,5.43,9.06,2.07,3.12,3.09,0.19,0.41,0.41047631,9.0083385e-05,1.3171727e-06,0.0020535536,4.5015693,0.1552055,0.79498914,2.2287888e-05,0.47104206,4.9304353,0.76431739,1.061455,6.1836814e-10,0.82672846
2026-02-18T22:52:01,13.3,200,6eb8bf8b,0.219102,0.0516,0.1052,0.1354,0.0858,0.1542,0.2154,0.0974,0.2537,0.3820,0.1408,0.4477,0.000180,0.002869,0.018205,0.001514,0.003466,0.005137,0.003583,0.008797,0.000484,0.001931,0.005249,0.000000,0.000000,0.088163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.9,2.4,4.8,1.3,1.9,4.2,1.5,12.8,2.2,0.3,2.7,3.00,19.24,25.28,3.19,5.38,8.42,1.77,3.33,3.55,0.25,0.44,0.36172095,5.8669252e-05,2.5777214e-06,0.0015048832,3.6695967,0.078777685,0.85434756,1.4340556e-05,0.51975467,4.9701143,0.76133596,1.1563658,8.2179611e-10,0.86573628
2026-02-18T22:54:40,15.9,240,cc34e1b3,0.124823,0.0522,0.1031,0.1253,0.0868,0.1529,0.2309,0.1010,0.2428,0.3306,0.1446,0.4250,0.000899,0.007761,0.008422,0.001526,0.004738,0.005472,0.001628,0.016385,0.014018,0.001558,0.002439,0.000000,0.000000,0.046037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.7,1.0,10.8,2.3,2.5,12.0,1.9,4.4,7.9,1.8,2.9,2.62,15.18,23.33,3.43,4.89,8.04,1.70,3.21,2.91,0.14,0.48,0.35786519,0.00018043806,2.6502678e-06,0.0013274436,4.6633991,0.52049815,0.97697483,5.7247774e-05,0.96395022,5.3059181,0.75000229,1.0920657,7.2988256e-10,0.98886169
2026-02-18T22:58:25,19.7,296,c2df74e1,0.112639,0.0470,0.1283,0.1287,0.0892,0.1834,0.2904,0.1039,0.2876,0.3065,0.1358,0.4128,0.001001,0.008124,0.004322,0.001280,0.001409,0.010139,0.003015,0.004666,0.017487,0.002789,0.008702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.8,7.7,42.6,2.7,5.5,2.7,0.8,4.0,25.6,1.3,1.9,3.16,11.21,13.58,4.23,5.74,5.66,1.96,2.61,3.01,0.35,0.41,0.53589585,0.00041581912,3.380799e-06,0.0027348884,3.1228537,0.27880449,0.84740691,3.2311042e-05,0.86713159,5.1396256,0.75492373,0.99579626,6.2577913e-10,0.88986581
2026-02-18T23:03:17,24.5,368,4961d23f,0.110961,0.0520,0.1155,0.1228,0.0820,0.1717,0.2798,0.0977,0.2665,0.3177,0.1308,0.4698,0.000212,0.003215,0.004466,0.000018,0.003365,0.008594,0.002659,0.011838,0.036585,0.003434,0.008250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.8,2.6,14.3,1.0,5.7,2.9,2.2,0.5,14.5,1.1,1.4,3.25,13.60,11.20,4.11,4.08,5.76,2.23,2.60,2.77,0.37,0.41,0.4215222,0.00097934215,1.1325021e-06,0.002601856,7.3041891,0.6741915,0.83956433,0.0001731855,0.98433139,5.1276338,0.75000438,0.87016811,6.0440271e-10,0.94764474
