timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-19T06:42:18,0.6,8,5a5865e8,2.677171,0.0528,0.0786,0.0744,0.0772,0.1185,0.1560,0.0863,0.1715,0.2363,0.1393,0.4118,0.000843,0.004182,0.008933,0.002872,0.003427,0.013724,0.000430,0.020679,0.040750,0.001105,0.016531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.2,13.6,18.8,0.8,6.2,10.6,3.0,11.5,30.5,0.5,2.2,2.24,8.39,12.66,3.23,6.08,7.54,1.55,3.38,5.62,0.31,1.30,0.36773034,0.0011775543,2.9287791e-06,0.001110111,2.2413865,0.4656914,0.33459815,0.00018141339,0.72107051,4.8425815,0.78187345,0.92793886,5.427257e-10,0.64443661
2026-02-19T06:42:42,1.0,16,6730fca1,1.976437,0.0655,0.1430,0.1323,0.1128,0.2066,0.3543,0.1069,0.3088,0.4986,0.1539,0.5052,0.001255,0.006607,0.011520,0.000655,0.004701,0.015477,0.002805,0.009013,0.009440,0.004230,0.008270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0,4.4,1.0,1.4,3.3,7.7,5.1,0.8,10.0,0.9,2.1,2.69,10.49,8.42,2.69,5.02,6.45,1.43,2.33,2.52,0.57,0.55,0.77146406,0.0020218336,1.450751e-06,0.0034012455,3.6368293,0.191429,0.76812099,5.9581378e-05,0.74844263,5.5415588,0.78835278,0.87637176,7.381487e-10,0.81243255
2026-02-19T06:43:14,1.5,24,9c57fd0c,1.175317,0.0699,0.1047,0.1055,0.0991,0.1434,0.1911,0.1051,0.2360,0.3114,0.1508,0.4618,0.000833,0.006685,0.006720,0.000543,0.002136,0.017703,0.006992,0.008036,0.030533,0.002671,0.009355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.6,3.7,3.5,5.2,2.8,1.2,5.1,2.1,9.5,0.2,2.3,2.27,10.48,10.21,2.77,4.78,6.30,1.03,2.30,3.14,0.06,0.22,0.51466846,0.0012997052,1.0822615e-06,0.00067087587,4.8620079,0.77426249,0.34182673,6.1324194e-05,0.70336173,5.4430393,0.78040435,0.95117337,7.0350727e-10,0.85139142
2026-02-19T06:44:51,3.1,48,860c3842,0.839407,0.0510,0.1014,0.0938,0.0809,0.1482,0.2146,0.0889,0.2276,0.4027,0.1264,0.5241,0.000316,0.004658,0.003672,0.001488,0.003261,0.013576,0.002839,0.004075,0.010610,0.002863,0.005100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.1,2.4,12.1,1.0,0.5,7.9,2.4,1.5,6.1,2.2,1.9,3.26,15.02,11.16,3.83,5.96,6.25,2.20,2.86,2.51,0.17,0.22,0.34630149,0.0023804542,1.0172595e-06,0.0021883802,5.7467986,0.53661745,0.65043193,0.00011209936,0.41320918,4.6184312,0.77703189,0.80750395,7.994998e-10,0.83795121
2026-02-19T06:47:41,6.0,88,d0eaf76b,0.569771,0.0609,0.1028,0.1118,0.0843,0.1359,0.1897,0.1022,0.2387,0.2592,0.1396,0.4389,0.000303,0.001959,0.009861,0.000858,0.003961,0.018652,0.000420,0.006997,0.015558,0.001339,0.007619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0,2.0,4.3,1.2,1.4,5.5,1.1,6.1,11.3,1.2,1.9,2.55,9.99,9.46,3.82,5.45,5.72,1.08,2.39,2.83,0.04,0.29,0.41498456,0.00057241644,1.0003251e-06,0.00018362845,5.8866365,0.99845323,0.37927177,9.699971e-05,0.15326094,5.2294195,0.76215212,0.87929077,6.3318427e-10,0.99900195
2026-02-19T06:54:28,12.8,184,1d2b75fe,0.551938,0.0572,0.0915,0.1110,0.0894,0.1445,0.1889,0.1003,0.2331,0.3266,0.1414,0.4540,0.000036,0.001907,0.015002,0.001828,0.002984,0.014235,0.004967,0.014058,0.030910,0.001634,0.004220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0,4.1,26.8,0.6,2.2,11.8,6.3,14.6,22.3,1.0,1.1,2.47,13.00,12.29,3.50,5.34,6.94,1.01,2.29,3.16,0.04,0.26,0.39078502,0.00033726246,1.6535953e-06,0.00014894308,8.3758459,0.94811673,0.67426489,6.7075342e-05,0.20016931,6.388975,0.76564258,0.9327012,7.5165032e-10,0.98303237
2026-02-19T06:55:33,13.8,200,c78fa55e,0.331345,0.0580,0.1011,0.1257,0.0821,0.1398,0.1978,0.0978,0.2402,0.2930,0.1368,0.4192,0.000229,0.006635,0.009182,0.001925,0.004186,0.021185,0.001527,0.013188,0.028241,0.001538,0.002580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0,4.0,2.8,0.7,2.8,22.3,2.0,4.4,38.4,1.3,7.2,2.24,12.22,11.29,3.72,5.75,7.15,1.61,2.60,3.28,0.16,0.77,0.32482519,0.00028021842,2.904068e-06,0.00018026354,9.9976544,0.91672729,0.63154932,0.00014867695,0.34223756,6.4409159,0.75493785,1.0017351,5.8329319e-10,0.96925496
2026-02-19T06:57:14,15.5,224,6318b8d1,0.317920,0.0565,0.0985,0.1214,0.0842,0.1425,0.2015,0.1023,0.2259,0.2949,0.1419,0.4408,0.000933,0.001329,0.009023,0.002400,0.005732,0.014453,0.005387,0.003713,0.030918,0.000879,0.020314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.2,2.8,7.4,1.6,2.1,6.6,1.4,11.2,11.3,1.9,16.4,2.36,13.21,15.19,3.46,5.19,8.79,1.46,2.76,3.47,0.11,0.60,0.34373932,0.00032878848,4.5517072e-06,0.0001513697,9.9103101,0.98830167,0.66573339,0.00022629137,0.024978577,6.4569554,0.76018278,1.017732,6.7512046e-10,0.99602306
2026-02-19T07:05:45,24.0,352,10a5eeee,0.312519,0.0579,0.1031,0.1191,0.0868,0.1477,0.1962,0.1017,0.2439,0.2760,0.1419,0.4440,0.000483,0.002208,0.008452,0.001208,0.003423,0.008143,0.003506,0.015253,0.011444,0.000670,0.002635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.3,3.2,21.1,4.9,3.7,5.6,0.5,5.0,40.6,1.5,5.9,2.21,11.16,13.89,3.62,4.57,7.38,1.46,2.68,3.46,0.13,0.75,0.34625304,0.00040813127,8.7396974e-06,0.0002203527,6.4609008,0.75995021,0.77359115,0.00017554603,0.13366174,6.2882037,0.75091694,1.0358987,6.5257569e-10,0.94557324
2026-02-19T07:06:16,24.6,360,414ba315,0.201772,0.0574,0.1011,0.1267,0.0899,0.1464,0.2119,0.1031,0.2376,0.3014,0.1424,0.4323,0.001000,0.005599,0.009450,0.000372,0.003561,0.000165,0.006168,0.022422,0.003795,0.001849,0.005013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.7,4.0,6.4,0.6,2.9,4.5,1.7,4.1,4.4,1.7,4.3,2.30,11.47,16.21,3.18,4.69,6.94,1.41,2.58,3.25,0.23,0.57,0.36346066,0.00038104576,9.4153163e-06,0.00016039741,8.0686924,0.75421863,0.76630761,0.00017885657,0.09837958,6.3116631,0.75051136,1.055589,6.8758896e-10,0.94248613
