timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f20,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f20,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f20,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f20,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f20,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-22T13:20:23,0.7,8,b07ed648,2.154630,0.0560,0.0858,0.1212,0.0830,0.1037,0.1300,0.1700,0.2452,0.0783,0.2106,0.2652,0.4150,0.1488,0.3097,0.4587,0.000833,0.002507,0.006888,0.020988,0.002554,0.002831,0.001759,0.032811,0.022284,0.023448,0.016528,0.002522,0.000941,0.002944,0.008673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.4,3.2,12.8,75.8,2.7,1.6,1.5,9.8,11.0,5.5,0.6,13.0,1.0,1.1,4.6,1.80,8.10,6.07,6.07,1.86,3.78,2.49,5.85,0.97,1.81,1.86,2.53,0.02,0.02,0.13,np.float64(0.6801324002569846),np.float64(0.0001390173809908708),np.float64(7.287916527214268e-06),np.float64(0.0023216020988753028),np.float64(2.2784148968948865),np.float64(0.0057917293410480256),np.float64(0.8393109865954209),np.float64(1.7622016945774982e-05),np.float64(0.48150714072261896),np.float64(5.925755768925704),np.float64(0.5480370686821711),np.float64(1.0180836438500442),np.float64(3.778803123049095e-10),np.float64(0.8401577227704807)
2026-02-22T13:21:10,1.5,16,0dcdfba2,1.858472,0.0498,0.0842,0.0895,0.0851,0.0743,0.1178,0.1725,0.2374,0.0865,0.1699,0.2233,0.3424,0.1527,0.3134,0.4434,0.000301,0.000535,0.002614,0.031727,0.003391,0.003277,0.001778,0.068326,0.002861,0.015763,0.034478,0.023045,0.005284,0.001701,0.013102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,1.7,7.4,8.0,1.6,1.3,2.5,113.6,3.0,2.8,4.5,3.7,2.0,1.7,1.1,3.75,6.51,6.25,4.98,3.96,4.83,4.69,3.81,1.31,2.22,2.32,2.19,0.17,0.17,0.23,np.float64(0.4512728767228822),np.float64(9.655819545552588e-05),np.float64(8.913179613711902e-06),np.float64(0.004430668966251174),np.float64(4.076904432881266),np.float64(0.5234758133448203),np.float64(0.8127339596171942),np.float64(3.774225138201455e-05),np.float64(0.11145699666879749),np.float64(5.675310051764149),np.float64(0.54700964195545),np.float64(0.7863586379745127),np.float64(3.1632441532400543e-10),np.float64(0.9106819290224857)
2026-02-22T13:23:36,3.9,40,91bb6672,1.082663,0.0700,0.1098,0.1242,0.1288,0.1044,0.1385,0.1679,0.2554,0.0878,0.1944,0.2853,0.3367,0.1300,0.3047,0.4796,0.000597,0.000967,0.006086,0.014449,0.000167,0.002371,0.005378,0.004448,0.004783,0.005695,0.022443,0.041172,0.003638,0.007375,0.006665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.7,0.8,0.8,13.8,2.4,4.4,3.9,11.4,4.7,2.0,2.2,2.4,0.4,1.3,1.4,1.82,6.65,8.93,8.00,2.19,5.03,4.09,6.33,1.17,1.53,2.18,2.67,0.10,0.12,0.17,np.float64(0.6018377086868429),np.float64(8.851051117110973e-05),np.float64(6.776234906035624e-06),np.float64(0.0018739407691091233),np.float64(9.015964062228157),np.float64(0.12523730818435952),np.float64(0.9758263959099529),np.float64(7.24390270053417e-05),np.float64(0.15145668195393036),np.float64(5.244386299479033),np.float64(0.7107332716306793),np.float64(0.9158689239708826),np.float64(4.483803093821248e-10),np.float64(0.9787562503757138)
2026-02-22T13:27:32,7.8,80,2a1630db,0.626421,0.0578,0.0956,0.1075,0.1361,0.1022,0.1176,0.1502,0.2199,0.1046,0.1523,0.2579,0.3420,0.1569,0.3094,0.4432,0.000272,0.003413,0.003560,0.012999,0.001296,0.002829,0.002831,0.003086,0.001911,0.001010,0.008671,0.027153,0.001270,0.003760,0.010115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.2,7.7,4.0,9.2,0.6,2.7,2.7,9.3,1.0,7.2,12.0,20.9,0.3,1.6,1.5,2.14,8.54,11.62,11.65,2.17,5.66,5.16,8.91,1.44,1.19,2.64,2.81,0.14,0.11,0.28,np.float64(0.4058511582144066),np.float64(0.00011909892759317125),np.float64(5.9188771460740155e-06),np.float64(0.001321161747554182),np.float64(3.637163244035889),np.float64(0.618504049293733),np.float64(0.42603245767854975),np.float64(5.642995711405166e-05),np.float64(0.16669831306558444),np.float64(5.520158733111288),np.float64(0.650921776234276),np.float64(1.3075821718934255),np.float64(6.994216217549378e-10),np.float64(0.7809911035217709)
2026-02-22T13:29:49,10.1,104,6984dca3,0.491571,0.0579,0.0976,0.1257,0.1392,0.0880,0.1255,0.1488,0.2610,0.0972,0.1827,0.2722,0.4338,0.1587,0.3110,0.4581,0.000102,0.002723,0.001671,0.001467,0.001581,0.003054,0.001776,0.013999,0.000412,0.001618,0.008658,0.003772,0.000749,0.002779,0.006562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6,1.5,0.9,6.4,0.9,2.5,0.6,3.3,1.2,0.8,9.6,1.9,1.1,1.0,1.5,2.56,8.08,15.22,14.47,4.40,6.05,6.34,8.35,1.63,1.50,1.92,2.61,0.12,0.09,0.19,np.float64(0.4924860428021991),np.float64(0.00020478600005336377),np.float64(1.2936368814742967e-05),np.float64(0.0026078113476571724),np.float64(2.396496935376658),np.float64(0.4300173662395384),np.float64(0.5181739770795277),np.float64(5.7523870308578424e-05),np.float64(0.30635930262265487),np.float64(6.091905653063306),np.float64(0.5184627642114902),np.float64(1.4389486538563145),np.float64(7.698356327208812e-10),np.float64(0.7253157170437528)
2026-02-22T13:30:36,10.9,112,40675620,0.303722,0.0593,0.1009,0.1224,0.1265,0.0910,0.1283,0.1684,0.2513,0.1077,0.1636,0.2730,0.3670,0.1551,0.3065,0.4512,0.000747,0.001887,0.004939,0.010955,0.000351,0.004166,0.003857,0.029899,0.001880,0.002927,0.010026,0.007287,0.001447,0.002014,0.007254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,1.9,4.2,10.7,0.4,2.2,2.4,13.8,1.0,2.7,2.7,10.4,0.9,0.6,0.9,1.43,8.57,9.35,9.20,2.36,4.82,5.21,6.61,1.45,1.38,2.16,2.72,0.12,0.11,0.14,np.float64(0.584882199434065),np.float64(9.237702204782471e-05),np.float64(1.1438056507028768e-05),np.float64(0.001815487805878177),np.float64(2.3480766452359676),np.float64(0.31366835999483955),np.float64(0.7594961352961576),np.float64(6.449888967940997e-05),np.float64(0.21347238032532026),np.float64(5.9186510521626285),np.float64(0.5585671195856137),np.float64(1.3181284451210227),np.float64(5.529968803980921e-10),np.float64(0.8348586384967029)
2026-02-22T13:43:39,24.0,248,d6a50d5c,0.264290,0.0561,0.1033,0.1181,0.1340,0.0903,0.1262,0.1488,0.2395,0.1035,0.1597,0.2514,0.3837,0.1589,0.3128,0.4539,0.000450,0.000807,0.000603,0.007849,0.000377,0.001045,0.003137,0.004050,0.001829,0.001192,0.009899,0.025068,0.001493,0.002361,0.001727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.6,1.5,1.3,2.2,0.9,1.0,2.0,8.4,1.4,1.6,8.5,5.2,1.6,1.1,0.7,1.58,7.69,13.83,15.00,3.57,6.06,5.97,6.44,1.29,1.41,1.75,2.56,0.09,0.07,0.16,np.float64(0.46954492402835984),np.float64(0.00013684402795983248),np.float64(2.2498515776960767e-05),np.float64(0.0035624333305822845),np.float64(6.768381546204203),np.float64(0.3637841451289634),np.float64(0.01214046104152325),np.float64(7.148595863306854e-05),np.float64(0.7952689321967306),np.float64(6.404705782797716),np.float64(0.5050923439224385),np.float64(1.423469210613177),np.float64(7.869410348955912e-10),np.float64(0.3715068848829205)
2026-02-22T13:45:59,26.3,272,73ee19b5,0.261035,0.0581,0.1021,0.1222,0.1599,0.0896,0.1227,0.1612,0.2412,0.1069,0.1590,0.2460,0.3724,0.1571,0.3100,0.4440,0.000632,0.001343,0.003513,0.007235,0.000620,0.003742,0.002913,0.021212,0.000885,0.003300,0.003885,0.015114,0.000687,0.002282,0.006663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.7,4.8,3.3,6.4,1.5,4.3,4.1,9.7,1.1,1.7,5.8,6.2,1.5,1.0,1.0,1.54,9.03,10.33,11.16,2.67,6.19,6.41,6.92,1.27,1.06,2.13,3.11,0.14,0.13,0.19,np.float64(0.4177809671294405),np.float64(0.0001390918508196453),np.float64(1.1987678410411505e-05),np.float64(0.0027456499047238286),np.float64(9.634112160427945),np.float64(0.2937743690666676),np.float64(0.15940918734888573),np.float64(5.017034189851357e-05),np.float64(0.8474220134381709),np.float64(6.371089301284981),np.float64(0.5173955261478465),np.float64(1.4188609579111844),np.float64(5.239931975770363e-10),np.float64(0.40633728205996933)
2026-02-22T13:48:19,28.6,296,d17a4770,0.250882,0.0513,0.0956,0.1181,0.1549,0.0823,0.1292,0.1571,0.2419,0.1051,0.1703,0.2716,0.3648,0.1521,0.3005,0.4436,0.000664,0.001924,0.006932,0.000846,0.001013,0.002267,0.004304,0.014499,0.001424,0.005797,0.006490,0.016232,0.000873,0.002086,0.002304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.7,5.1,2.0,8.9,1.1,1.3,3.6,8.6,1.8,2.4,7.3,5.8,0.8,1.2,0.0,3.00,9.13,10.52,12.50,3.70,6.52,6.69,7.46,1.49,1.43,2.35,3.31,0.26,0.15,0.16,np.float64(0.3928043149081688),np.float64(0.00011723200016360812),np.float64(1.4776332578810066e-05),np.float64(0.002588856075612595),np.float64(5.8434092459802915),np.float64(0.2944315712825082),np.float64(0.44177084578930703),np.float64(6.212027994345228e-05),np.float64(0.7335235523171029),np.float64(6.332522328652898),np.float64(0.5074143274935627),np.float64(1.449656775533569),np.float64(5.188439654683549e-10),np.float64(0.606086955714688)
2026-02-22T13:50:40,31.0,320,990b631f,0.249853,0.0605,0.1045,0.1253,0.1609,0.0890,0.1329,0.1589,0.2744,0.1026,0.1815,0.2711,0.3926,0.1515,0.3057,0.4525,0.001069,0.002624,0.002638,0.005820,0.000327,0.002911,0.005706,0.009947,0.001707,0.000922,0.006102,0.012682,0.001140,0.002084,0.003522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.1,3.2,2.7,5.1,1.6,1.3,1.0,5.0,2.5,1.5,2.6,2.3,0.4,0.3,0.9,2.08,8.56,12.04,11.86,2.69,5.84,6.24,6.66,1.48,1.29,1.83,2.78,0.28,0.18,0.18,np.float64(0.4873025471080737),np.float64(0.00014594735024928303),np.float64(1.2471756880098292e-05),np.float64(0.003148712922039345),np.float64(7.539829974839357),np.float64(0.23076325424480637),np.float64(0.38632964855879454),np.float64(4.1510343082576645e-05),np.float64(0.7575025438432185),np.float64(6.256056870369537),np.float64(0.5000596188419388),np.float64(1.4101423469605856),np.float64(5.721745909217761e-10),np.float64(0.5279035829260652)
2026-02-22T13:51:29,31.8,328,3da41183,0.209137,0.0516,0.1012,0.1179,0.1542,0.0878,0.1257,0.1526,0.2558,0.1062,0.1623,0.2585,0.3587,0.1563,0.3097,0.4517,0.000747,0.003099,0.003021,0.006668,0.000649,0.000104,0.002874,0.005678,0.000329,0.001967,0.010230,0.009249,0.001024,0.000949,0.005987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0,2.3,3.1,13.4,2.0,2.6,2.2,4.8,0.6,1.5,6.9,2.5,1.1,1.4,2.0,1.99,8.09,12.99,11.21,2.82,6.43,6.42,7.00,1.37,1.35,1.92,3.11,0.13,0.12,0.19,np.float64(0.42512416529737346),np.float64(0.00015775213930193638),np.float64(1.2773367374429434e-05),np.float64(0.0028776678379499447),np.float64(7.301110578333871),np.float64(0.23309067554776775),np.float64(0.30881889729513246),np.float64(5.480583365654187e-05),np.float64(0.7291071537038986),np.float64(6.296916666941777),np.float64(0.5009394848209064),np.float64(1.4122329981057242),np.float64(5.752494768728734e-10),np.float64(0.4698958855607316)
2026-02-22T13:52:17,32.6,336,3f7eb83b,0.204476,0.0557,0.1005,0.1303,0.1599,0.0853,0.1313,0.1558,0.2685,0.1025,0.1820,0.2738,0.3938,0.1508,0.3021,0.4356,0.000047,0.001421,0.005445,0.011839,0.000629,0.003399,0.002724,0.015854,0.001158,0.004779,0.010589,0.003228,0.000445,0.000591,0.005400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.6,3.5,1.9,9.5,2.5,0.7,4.8,3.1,6.2,2.7,4.7,22.2,1.2,1.4,1.7,2.29,8.66,11.50,11.84,3.55,6.93,5.79,6.35,1.65,1.39,1.97,3.01,0.25,0.18,0.25,np.float64(0.4218845979736927),np.float64(0.00018768486492317006),np.float64(1.3314294696095948e-05),np.float64(0.0036876165078725664),np.float64(7.41366805579432),np.float64(0.1341105747646898),np.float64(0.3610149784437178),np.float64(5.625302359262095e-05),np.float64(0.7914966149980631),np.float64(6.219238743400287),np.float64(0.5008560407004577),np.float64(1.4154537127089233),np.float64(5.840407537445466e-10),np.float64(0.44667352545281414)
