timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f20,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f20,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f20,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f20,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f20,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-22T18:11:59,0.7,8,e823d569,3.395768,0.0560,0.0858,0.1212,0.0830,0.1037,0.1300,0.1700,0.2452,0.0783,0.2106,0.2652,0.4150,0.1488,0.3097,0.4587,0.000833,0.002507,0.006888,0.020988,0.002554,0.002831,0.001759,0.032811,0.022284,0.023448,0.016528,0.002522,0.000941,0.002944,0.008673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.4,3.2,12.8,75.8,2.7,1.6,1.5,9.8,11.0,5.5,0.6,13.0,1.0,1.1,4.6,1.80,8.10,6.07,6.07,1.86,3.78,2.49,5.85,0.97,1.81,1.86,2.53,0.02,0.02,0.13,np.float64(0.6801324002569846),np.float64(0.0001390173809908708),np.float64(7.287916527214268e-06),np.float64(0.0023216020988753028),np.float64(2.2784148968948865),np.float64(0.0057917293410480256),np.float64(0.8393109865954209),np.float64(1.7622016945774982e-05),np.float64(0.48150714072261896),np.float64(5.925755768925704),np.float64(0.5480370686821711),np.float64(1.0180836438500442),np.float64(3.778803123049095e-10),np.float64(0.8401577227704807)
2026-02-22T18:12:47,1.5,16,e0a74260,2.945803,0.0498,0.0842,0.0895,0.0851,0.0743,0.1178,0.1725,0.2374,0.0865,0.1699,0.2233,0.3424,0.1527,0.3134,0.4434,0.000301,0.000535,0.002614,0.031727,0.003391,0.003277,0.001778,0.068326,0.002861,0.015763,0.034478,0.023045,0.005284,0.001701,0.013102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,1.7,7.4,8.0,1.6,1.3,2.5,113.6,3.0,2.8,4.5,3.7,2.0,1.7,1.1,3.75,6.51,6.25,4.98,3.96,4.83,4.69,3.81,1.31,2.22,2.32,2.19,0.17,0.17,0.23,np.float64(0.4512728767228822),np.float64(9.655819545552588e-05),np.float64(8.913179613711902e-06),np.float64(0.004430668966251174),np.float64(4.076904432881266),np.float64(0.5234758133448203),np.float64(0.8127339596171942),np.float64(3.774225138201455e-05),np.float64(0.11145699666879749),np.float64(5.675310051764149),np.float64(0.54700964195545),np.float64(0.7863586379745127),np.float64(3.1632441532400543e-10),np.float64(0.9106819290224857)
2026-02-22T18:15:10,3.9,40,ddac76f1,1.856269,0.0700,0.1098,0.1242,0.1288,0.1044,0.1385,0.1679,0.2554,0.0878,0.1944,0.2853,0.3367,0.1300,0.3047,0.4796,0.000597,0.000967,0.006086,0.014449,0.000167,0.002371,0.005378,0.004448,0.004783,0.005695,0.022443,0.041172,0.003638,0.007375,0.006665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.7,0.8,0.8,13.8,2.4,4.4,3.9,11.4,4.7,2.0,2.2,2.4,0.4,1.3,1.4,1.82,6.65,8.93,8.00,2.19,5.03,4.09,6.33,1.17,1.53,2.18,2.67,0.10,0.12,0.17,np.float64(0.6018377086868429),np.float64(8.851051117110973e-05),np.float64(6.776234906035624e-06),np.float64(0.0018739407691091233),np.float64(9.015964062228157),np.float64(0.12523730818435952),np.float64(0.9758263959099529),np.float64(7.24390270053417e-05),np.float64(0.15145668195393036),np.float64(5.244386299479033),np.float64(0.7107332716306793),np.float64(0.9158689239708826),np.float64(4.483803093821248e-10),np.float64(0.9787562503757138)
2026-02-22T18:21:32,10.3,104,8020f41d,1.186398,0.0646,0.1076,0.1129,0.1395,0.0973,0.1268,0.1665,0.2594,0.1086,0.1651,0.2918,0.4017,0.1589,0.3114,0.4570,0.000233,0.000619,0.001704,0.002444,0.000675,0.000356,0.006637,0.007345,0.001936,0.004318,0.014063,0.016514,0.001131,0.000461,0.006085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.2,0.9,4.1,11.2,3.5,1.3,3.5,5.0,1.6,3.3,5.8,0.9,1.0,0.6,1.3,1.96,7.82,11.65,10.50,2.83,4.96,4.86,10.31,1.34,1.31,2.51,2.66,0.02,0.03,0.14,np.float64(0.5884295258290161),np.float64(0.0004558452211789235),np.float64(2.7425222369014224e-06),np.float64(0.0015018151127369885),np.float64(3.1383030235401725),np.float64(0.25815956186669264),np.float64(0.9203381897145054),np.float64(2.0277812087030108e-05),np.float64(0.2134633276257421),np.float64(5.774441606675266),np.float64(0.5455733894810437),np.float64(1.4845507406905547),np.float64(6.595521655172789e-10),np.float64(0.9408116139363448)
2026-02-22T18:22:19,11.0,112,ef7e30ff,0.875295,0.0524,0.0930,0.1154,0.1366,0.0778,0.1198,0.1514,0.2191,0.1023,0.1641,0.2704,0.3305,0.1569,0.3041,0.4359,0.000144,0.001812,0.001020,0.009877,0.001017,0.001796,0.003821,0.028378,0.000154,0.001087,0.010483,0.023429,0.002580,0.002415,0.006086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.8,1.1,8.7,6.5,1.0,2.8,4.1,12.4,2.7,1.7,4.6,43.4,0.9,0.8,1.2,1.66,8.30,9.25,10.98,2.64,5.37,6.08,6.84,1.41,1.54,2.34,3.25,0.13,0.07,0.28,np.float64(0.39392348027337354),np.float64(0.00033311841349605877),np.float64(4.869112626013618e-06),np.float64(0.0018795389498671995),np.float64(2.5988173169741535),np.float64(0.46645608679806655),np.float64(0.8448779633998279),np.float64(1.4798373254962187e-05),np.float64(0.37143878187812196),np.float64(5.4973995742953035),np.float64(0.5013278139330305),np.float64(1.3721394479007127),np.float64(4.3122045120488656e-10),np.float64(0.9171510937721508)
2026-02-22T18:23:06,11.8,120,0d49b74e,0.867917,0.0498,0.0970,0.1118,0.1329,0.0851,0.1256,0.1509,0.2502,0.1008,0.1731,0.2654,0.3840,0.1596,0.3117,0.4573,0.001010,0.001298,0.001772,0.010575,0.000506,0.002703,0.001089,0.003251,0.001188,0.002216,0.003478,0.026775,0.001490,0.000650,0.002690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.7,4.0,3.0,1.6,1.5,2.4,2.7,8.7,0.3,0.9,3.6,19.3,0.6,0.5,0.6,1.93,8.29,12.60,13.38,3.18,6.63,6.68,7.58,1.52,1.47,1.98,2.89,0.04,0.07,0.17,np.float64(0.45477907607744666),np.float64(0.0004416642526121442),np.float64(3.3186816266095716e-06),np.float64(0.0017506911460598126),np.float64(3.5542884416257126),np.float64(0.3758845708051493),np.float64(0.9756567743953619),np.float64(1.9059712880737373e-05),np.float64(0.2837762630129072),np.float64(5.741920395521916),np.float64(0.5048503407007773),np.float64(1.4103877603933568),np.float64(6.400398955196665e-10),np.float64(0.9847094516263348)
2026-02-22T18:24:43,13.4,136,8182d9b0,0.658254,0.0544,0.0956,0.1186,0.1452,0.0827,0.1224,0.1522,0.2467,0.1046,0.1666,0.2720,0.3535,0.1554,0.3029,0.4481,0.000065,0.003132,0.004992,0.005536,0.000623,0.000602,0.002864,0.015737,0.002566,0.002666,0.020632,0.026715,0.001763,0.001317,0.005802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.0,4.7,0.8,11.8,1.9,3.4,0.7,7.7,1.4,2.1,1.7,9.6,1.7,0.9,2.3,2.19,8.88,11.00,10.88,3.52,5.57,5.71,6.78,1.50,1.42,2.40,2.83,0.11,0.12,0.17,np.float64(0.4347614222986261),np.float64(0.00028422726675413025),np.float64(3.362845918259467e-06),np.float64(0.001691775206068048),np.float64(4.461150079449304),np.float64(0.32596909047355976),np.float64(0.9899375435715989),np.float64(1.6548676520033012e-05),np.float64(0.161545508014665),np.float64(5.56812560762895),np.float64(0.566754168293014),np.float64(1.2300269162030428),np.float64(5.532779531470697e-10),np.float64(0.9931185995871374)
2026-02-22T18:28:42,17.4,176,b24d5353,0.612383,0.0580,0.1032,0.1284,0.1427,0.0851,0.1278,0.1621,0.2621,0.1083,0.1779,0.2745,0.3784,0.1515,0.2969,0.4504,0.000514,0.001372,0.006977,0.012474,0.000933,0.001489,0.002796,0.019048,0.000239,0.003933,0.004839,0.028670,0.001087,0.001129,0.000340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.5,1.0,3.1,8.3,1.5,3.6,0.9,7.1,2.3,2.8,3.7,13.1,1.0,0.6,2.1,1.96,8.16,11.44,13.76,4.00,5.74,6.03,8.16,1.71,1.43,2.27,3.00,0.13,0.11,0.17,np.float64(0.4685059778441309),np.float64(0.0004644481697321038),np.float64(2.9870800444663897e-06),np.float64(0.002807286615423372),np.float64(5.491366712267793),np.float64(0.019142592401692884),np.float64(0.608953663986829),np.float64(7.712325067499694e-06),np.float64(0.43616984136582565),np.float64(5.573780102970673),np.float64(0.5719620219834702),np.float64(1.2619596410400533),np.float64(6.140919693497283e-10),np.float64(0.6163784092409059)
2026-02-22T18:30:21,19.1,192,1afe6a29,0.554677,0.0562,0.1026,0.1308,0.1476,0.0860,0.1300,0.1627,0.2628,0.1091,0.1806,0.2849,0.3630,0.1476,0.2909,0.4566,0.000522,0.003064,0.005317,0.008877,0.001442,0.001618,0.003708,0.018684,0.001672,0.002366,0.010431,0.025158,0.000877,0.002747,0.011554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.6,0.6,1.9,6.8,3.4,2.6,1.4,4.9,1.7,1.3,5.2,10.7,1.5,0.8,2.7,2.07,7.84,10.86,14.39,4.02,5.45,5.83,8.18,1.80,1.53,2.43,2.86,0.07,0.18,0.18,np.float64(0.49122880866559937),np.float64(0.0004267852562088962),np.float64(1.85364239182746e-06),np.float64(0.002449009749040679),np.float64(4.432110966823206),np.float64(0.15719162037719778),np.float64(0.6747116032276437),np.float64(1.641643115443071e-05),np.float64(0.3024325415829007),np.float64(5.478208745059157),np.float64(0.6137249359696199),np.float64(1.1917119659333795),np.float64(5.954994714536622e-10),np.float64(0.7257767422458684)
2026-02-22T18:44:07,32.9,328,aab3d47f,0.533732,0.0579,0.1078,0.1209,0.1452,0.0847,0.1305,0.1570,0.2778,0.1093,0.1822,0.2733,0.3634,0.1503,0.2958,0.4513,0.000502,0.003001,0.001334,0.005494,0.001456,0.001830,0.002297,0.025040,0.002872,0.002093,0.010066,0.016302,0.000879,0.002703,0.004098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.7,2.2,2.1,8.0,0.8,1.0,4.8,3.9,3.7,0.5,6.8,14.1,1.2,1.6,1.4,2.05,6.89,10.83,9.07,2.93,6.07,5.17,7.37,1.90,1.30,2.24,3.24,0.10,0.16,0.19,np.float64(0.48142329257360555),np.float64(0.0002981948839339599),np.float64(2.672424141055144e-06),np.float64(0.0022422916409322205),np.float64(4.5499631723217755),np.float64(0.19786889495081322),np.float64(0.7310780110440053),np.float64(1.8382796794340832e-05),np.float64(0.2665702291939617),np.float64(5.5412649518650765),np.float64(0.5892901552562952),np.float64(1.1656716533034701),np.float64(5.122118325004591e-10),np.float64(0.7842162000255983)
