timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10_flat,vel_scene1_f30_flat,vel_scene1_f50_flat,vel_scene2_f10_flat,vel_scene2_f30_flat,vel_scene2_f50_flat,vel_scene4_f10_flat,vel_scene4_f30_flat,vel_scene4_f50_flat,vel_scene_wheel_f10_flat,vel_scene_wheel_f30_flat,vel_scene1_f10_step,vel_scene1_f30_step,vel_scene2_f10_step,vel_scene2_f30_step,vel_scene4_f10_step,vel_scene4_f30_step,vel_scene_wheel_f20_step,vel_scene_wheel_f30_step,lateral_scene1_f10_flat,lateral_scene1_f30_flat,lateral_scene1_f50_flat,lateral_scene2_f10_flat,lateral_scene2_f30_flat,lateral_scene2_f50_flat,lateral_scene4_f10_flat,lateral_scene4_f30_flat,lateral_scene4_f50_flat,lateral_scene_wheel_f10_flat,lateral_scene_wheel_f30_flat,lateral_scene1_f10_step,lateral_scene1_f30_step,lateral_scene2_f10_step,lateral_scene2_f30_step,lateral_scene4_f10_step,lateral_scene4_f30_step,lateral_scene_wheel_f20_step,lateral_scene_wheel_f30_step,tumble_scene1_f10_flat,tumble_scene1_f30_flat,tumble_scene1_f50_flat,tumble_scene2_f10_flat,tumble_scene2_f30_flat,tumble_scene2_f50_flat,tumble_scene4_f10_flat,tumble_scene4_f30_flat,tumble_scene4_f50_flat,tumble_scene_wheel_f10_flat,tumble_scene_wheel_f30_flat,tumble_scene1_f10_step,tumble_scene1_f30_step,tumble_scene2_f10_step,tumble_scene2_f30_step,tumble_scene4_f10_step,tumble_scene4_f30_step,tumble_scene_wheel_f20_step,tumble_scene_wheel_f30_step,yaw_scene1_f10_flat,yaw_scene1_f30_flat,yaw_scene1_f50_flat,yaw_scene2_f10_flat,yaw_scene2_f30_flat,yaw_scene2_f50_flat,yaw_scene4_f10_flat,yaw_scene4_f30_flat,yaw_scene4_f50_flat,yaw_scene_wheel_f10_flat,yaw_scene_wheel_f30_flat,yaw_scene1_f10_step,yaw_scene1_f30_step,yaw_scene2_f10_step,yaw_scene2_f30_step,yaw_scene4_f10_step,yaw_scene4_f30_step,yaw_scene_wheel_f20_step,yaw_scene_wheel_f30_step,best_trial_scene1_f10_flat,best_trial_scene1_f30_flat,best_trial_scene1_f50_flat,best_trial_scene2_f10_flat,best_trial_scene2_f30_flat,best_trial_scene2_f50_flat,best_trial_scene4_f10_flat,best_trial_scene4_f30_flat,best_trial_scene4_f50_flat,best_trial_scene_wheel_f10_flat,best_trial_scene_wheel_f30_flat,best_trial_scene1_f10_step,best_trial_scene1_f30_step,best_trial_scene2_f10_step,best_trial_scene2_f30_step,best_trial_scene4_f10_step,best_trial_scene4_f30_step,best_trial_scene_wheel_f20_step,best_trial_scene_wheel_f30_step,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-24T15:50:14,0.5,16,c08d4849,3.393925,0.0373,0.1039,0.1106,0.1151,0.2177,0.2239,0.1108,0.2518,0.3114,0.1484,0.4573,0.0267,0.0269,0.1084,0.1899,0.1007,0.1102,0.0062,0.0038,0.010704,0.007975,0.010297,0.000412,0.031892,0.084066,0.025373,0.062767,0.174514,0.145651,0.269017,0.011255,0.009718,0.002682,0.001579,0.078841,0.078453,0.006993,0.010823,0.010737,0.011402,0.010007,0.007397,0.008648,0.011221,0.002461,0.003539,0.004896,0.000231,0.000437,0.021385,0.030383,0.268336,0.269699,0.273840,0.232420,0.022817,0.023282,178.8,163.3,173.8,176.0,176.8,173.4,173.4,167.7,166.2,158.4,159.4,174.4,89.0,0.9,9.6,9.1,177.6,178.8,178.5,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1.877023452278715,0.00010375843843742377,5.1026234871168866e-06,0.0014378208062237126,3.6051744565797414,0.48959011392618534,0.6726328261921704,1.0607639707207154e-05,0.3461197547671878,4.6334373004281755,0.832387551561573,0.6935742465882926,1.161704482941066e-10,0.8328412948298198
2026-02-24T15:51:54,2.2,64,14a31f13,2.205407,0.0528,0.0925,0.0629,0.1030,0.1617,0.1431,0.0961,0.2193,0.4003,0.1392,0.4832,0.0231,0.0448,0.0874,0.1434,0.0805,0.1393,0.2561,0.0584,0.004481,0.001609,0.058151,0.005893,0.013508,0.155207,0.017811,0.015959,0.083135,0.005514,0.029160,0.000079,0.001104,0.001436,0.003500,0.002808,0.014641,0.004624,0.008434,0.004319,0.013978,0.012907,0.003541,0.009521,0.009691,0.001566,0.003592,0.004438,0.000049,0.000140,0.020903,0.141612,0.251795,0.271451,0.239326,0.038107,0.016282,0.023233,168.7,175.8,146.3,179.0,178.8,164.6,175.5,179.6,160.4,179.3,178.3,172.3,5.6,1.3,6.2,0.4,176.5,179.4,178.2,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0.6699959938567304,0.0006596970642358658,1.180855849536562e-06,0.00228922981694938,1.4925463743672773,0.7638994196114662,0.4569685393551125,2.4518577829979385e-05,0.47095765098935843,4.525255508014903,0.6745082491599504,0.6252520460570046,2.6072629648719777e-10,0.8717442601185733
2026-02-24T16:07:39,18.0,512,0e2b0a3f,2.100157,0.0608,0.0843,0.0496,0.0924,0.1401,0.1072,0.0947,0.2111,0.3161,0.1458,0.4585,0.0309,0.0392,0.0685,0.1202,0.0833,0.1506,0.0031,0.1198,0.003514,0.008130,0.058250,0.007093,0.014574,0.010582,0.004512,0.009728,0.046113,0.002571,0.012971,0.000764,0.015063,0.003191,0.005729,0.003748,0.021672,0.001563,0.015126,0.004831,0.014798,0.012580,0.006959,0.008705,0.008613,0.002046,0.003518,0.004349,0.000048,0.000274,0.080318,0.132956,0.225554,0.246000,0.245165,0.239436,0.020821,0.153748,178.7,167.0,151.2,174.8,174.4,96.2,179.2,172.5,158.0,179.9,179.9,3.4,11.0,0.9,2.9,5.3,11.8,179.9,4.9,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0.4911761987617835,0.00015999504679159478,1.833446200130338e-06,0.001472585290352913,3.493462118039676,0.7042077773129329,0.6494286491495728,8.033430425284925e-06,0.5098971611169169,4.946985227875069,0.6013990527815839,0.709874303605523,1.6970087859791073e-10,0.8962387780566295
2026-02-24T16:19:39,30.0,848,d8fb425e,2.064923,0.0464,0.0893,0.0905,0.0903,0.1592,0.1704,0.0811,0.2166,0.2166,0.1326,0.4295,0.0169,0.0396,0.0567,0.1271,0.0445,0.1011,-0.0007,0.0005,0.000759,0.001953,0.038004,0.000768,0.004394,0.043407,0.021839,0.017007,0.073476,0.005002,0.005453,0.000807,0.014907,0.001543,0.016613,0.009996,0.005727,0.000527,0.000228,0.005275,0.022228,0.019594,0.006469,0.008666,0.011799,0.003113,0.004231,0.005347,0.000237,0.000388,0.021684,0.036917,0.196613,0.260816,0.145626,0.197272,0.019505,0.026178,175.9,164.9,172.4,177.8,176.7,162.0,174.7,173.3,9.9,179.6,176.7,173.0,175.3,1.8,7.7,8.0,7.3,179.4,179.6,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0.41882246584205574,0.000429571985467645,6.629606114318088e-06,0.0021814668284383227,2.2166387005983017,0.7348418559903255,0.5339597236228981,1.0132329931312658e-05,0.4328390866469942,4.797097098114744,0.7429027240403808,0.7616137998317768,3.333986494584411e-10,0.8763722293097296
2026-02-24T16:22:29,32.8,928,3a63d112,1.938992,0.0558,0.0893,0.0858,0.0870,0.1472,0.1644,0.0754,0.2190,0.3795,0.1267,0.4979,0.0197,0.0396,0.0608,0.1106,0.0607,0.0851,0.0014,0.0065,0.000107,0.005787,0.010275,0.000060,0.001726,0.021683,0.002276,0.012647,0.067398,0.002821,0.014668,0.000363,0.006387,0.001083,0.004405,0.005157,0.005311,0.000227,0.000696,0.005218,0.021345,0.021278,0.004633,0.011615,0.012048,0.002723,0.003842,0.005089,0.000066,0.000260,0.021838,0.099290,0.023058,0.237664,0.200518,0.171109,0.023639,0.025155,177.4,180.0,177.9,179.4,177.5,149.5,177.2,172.0,174.5,179.7,179.7,178.7,2.3,179.3,3.1,2.7,1.5,179.5,179.7,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.3805009354593695,0.0003091443932735318,6.224852009414329e-06,0.0017125937957612398,2.129140749425663,0.7810115013511814,0.4109354362103984,1.1578245163582122e-05,0.4645005418721064,4.66579150008673,0.7382074681003619,0.7235436335486118,5.956118153263535e-10,0.8709605420248728
2026-02-24T16:23:37,33.9,960,201ce02b,1.921596,0.0533,0.1027,0.0931,0.0790,0.1510,0.1681,0.0791,0.2110,0.2128,0.1253,0.4827,0.0158,0.0336,0.0532,0.1335,0.0643,0.0483,0.0014,0.0032,0.000769,0.002848,0.000761,0.002058,0.005063,0.014830,0.002274,0.013496,0.012563,0.002973,0.009665,0.000681,0.004331,0.003122,0.007284,0.006879,0.015159,0.001958,0.001226,0.005984,0.021616,0.022422,0.007349,0.012098,0.012287,0.003020,0.004039,0.004969,0.000116,0.000374,0.021601,0.083911,0.022360,0.266862,0.207272,0.112838,0.015064,0.015395,179.9,179.8,177.1,179.1,177.3,171.5,177.4,172.3,33.0,179.3,179.2,178.7,4.5,178.0,2.8,4.7,2.0,178.9,179.9,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0.3451651347733449,0.0004883963178092722,6.798833713214621e-06,0.0017196920906594824,2.781782617725938,0.7230356476636264,0.4631783184063144,1.4775419627874434e-05,0.41758304554131215,4.8276239008471045,0.7366534954124484,0.7562935622363802,5.519121389043065e-10,0.8512732128054412
2026-02-24T16:38:19,48.6,1376,24a3d75f,1.901837,0.0496,0.0987,0.0898,0.0871,0.1339,0.1792,0.0742,0.2110,0.3254,0.1282,0.4863,0.0148,0.0331,0.0496,0.1328,0.0655,0.0903,0.0012,0.0023,0.000227,0.006424,0.036949,0.002201,0.001905,0.024854,0.001191,0.019004,0.013476,0.002602,0.011540,0.000331,0.000017,0.000247,0.000287,0.005355,0.005015,0.000309,0.000267,0.004523,0.020651,0.020242,0.003563,0.012715,0.013408,0.002635,0.004140,0.005476,0.000076,0.000271,0.022022,0.109765,0.161681,0.270603,0.223021,0.173443,0.015131,0.028391,180.0,177.0,173.9,179.9,176.1,170.2,179.3,179.5,164.7,179.5,179.1,179.1,5.2,0.8,8.1,5.9,17.6,179.6,179.6,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0.3564472876942119,0.0003535926911249985,6.516988619349921e-06,0.001606508747331299,2.2330981811371386,0.7116714023103387,0.5201049984306371,1.4315476994027656e-05,0.3997875152373692,4.764705445265717,0.7051133399883724,0.7766544968261851,4.693489941893315e-10,0.8615805366593847
2026-02-24T16:47:21,57.7,1632,adb5d7aa,1.896681,0.0520,0.0956,0.0795,0.0864,0.1357,0.1737,0.0835,0.2193,0.2470,0.1262,0.4688,0.0186,0.0368,0.0626,0.1189,0.0666,0.1021,0.0015,0.0049,0.000255,0.001333,0.012125,0.000016,0.005028,0.005041,0.002723,0.023365,0.003395,0.001681,0.006541,0.000561,0.008001,0.000933,0.003059,0.000193,0.003352,0.001445,0.003476,0.004738,0.020555,0.019364,0.003593,0.011252,0.013736,0.002871,0.004012,0.005275,0.000180,0.000422,0.021170,0.105188,0.021452,0.241575,0.224879,0.186754,0.015415,0.015751,179.7,177.2,162.3,179.2,177.9,174.4,173.1,179.4,176.3,179.4,179.1,177.5,2.5,179.8,0.1,8.7,3.6,180.0,179.9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0.3621358120234321,0.0004156052853847746,6.300700418208052e-06,0.001486883159230021,2.2135352200617686,0.6649502679383117,0.5560099977693169,1.3895241090599172e-05,0.38944736183509365,4.740143568911288,0.7380135547704846,0.7545332255336746,4.6074875180164616e-10,0.8511856677147643
2026-02-24T16:47:55,58.2,1648,712fdad7,1.876530,0.0522,0.0951,0.0995,0.0850,0.1293,0.1763,0.0784,0.2014,0.2756,0.1264,0.4422,0.0162,0.0361,0.0485,0.1387,0.0541,0.0822,-0.0003,0.0032,0.000585,0.004139,0.016651,0.000046,0.004032,0.027551,0.008315,0.018340,0.010828,0.003550,0.009794,0.000060,0.005217,0.000679,0.005879,0.005860,0.000727,0.000840,0.001961,0.004200,0.020338,0.020868,0.004652,0.011565,0.011982,0.002700,0.004262,0.005400,0.000132,0.000409,0.023064,0.116347,0.035228,0.270465,0.185280,0.159820,0.024993,0.015427,179.7,173.2,174.3,178.6,176.8,176.4,172.6,179.3,167.2,179.5,179.9,178.2,4.4,179.8,9.5,4.8,3.2,179.7,178.9,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.3528886091135495,0.0003826692779402664,6.1030088361496836e-06,0.0014930644129696755,2.1962459557054266,0.6662758344342967,0.5503887961817288,1.3709861794841398e-05,0.4013817110566094,4.713841619859255,0.739849583280285,0.7519004655573156,4.584136843626575e-10,0.8498988372971379
2026-02-24T16:48:29,58.8,1664,96a4d98b,1.835061,0.0546,0.0861,0.0931,0.0848,0.1422,0.1545,0.0814,0.2123,0.2821,0.1279,0.4566,0.0180,0.0301,0.0566,0.1227,0.0640,0.0803,-0.0003,0.0031,0.000105,0.002404,0.002870,0.001852,0.007119,0.008318,0.004166,0.003820,0.015891,0.005070,0.011231,0.001170,0.003397,0.001671,0.005522,0.011823,0.002046,0.001759,0.003093,0.005224,0.021823,0.022056,0.003314,0.011709,0.012497,0.002995,0.004151,0.005279,0.000100,0.000424,0.022444,0.073701,0.021570,0.258764,0.195933,0.177191,0.015757,0.015527,178.9,179.3,175.8,180.0,179.9,153.4,178.8,178.4,175.7,179.2,179.6,173.1,0.9,178.9,1.4,0.1,7.0,179.8,179.8,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0.3518371829905809,0.0004129199845457734,5.853123378532068e-06,0.0014886953906389161,2.2228006187274914,0.6393541000572753,0.5516315519178181,1.3399211050438124e-05,0.39796120073745844,4.752515119397897,0.7499082261907101,0.7606998757589704,4.851968717644363e-10,0.8382425943802869
