id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f20,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f20,velocity_scene2_f30,velocity_scene4_f10,velocity_scene4_f20,velocity_scene4_f30,velocity_scene_wheel_f10,velocity_scene_wheel_f20,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f20,cost_scene1_f30,cost_scene2_f10,cost_scene2_f20,cost_scene2_f30,cost_scene4_f10,cost_scene4_f20,cost_scene4_f30,cost_scene_wheel_f10,cost_scene_wheel_f20,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,best_trial_scene1_f10,best_trial_scene1_f20,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f20,best_trial_scene2_f30,best_trial_scene4_f10,best_trial_scene4_f20,best_trial_scene4_f30,best_trial_scene_wheel_f10,best_trial_scene_wheel_f20,best_trial_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
92f50c36,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.01176375572725996,0.005432326542538478,3.011486547979945e-06,0.0037728842054036192,2.4867862186253467,0.4908369567187846,0.10992052932513735,0.00016129468147122272,0.48480943809223176,4.647126778106082,0.5001055339059599,1.3242035837925887,5.372194690086089e-10,29.322224226856065,4.205373401219449e-05,0.003688862115971342,0.5467934358961211
43768a42,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.3989299599124329,0.0028754305959368637,3.107742575856264e-05,0.0019970664111687566,2.219484260993437,0.4947205654391822,0.23583543454729194,1.4557173592413084e-05,0.5656814749429299,3.5472855812433237,1.303576533384627,0.5117323869110422,2.0212494857985175e-09,29.936924734919067,9.87970217109578e-06,0.001485949921619722,0.6138597769131879
e5ced5dc,1000000.0,1.6,0.017292928782259288,0.0,-0.0006593461804062073,0.0,2000001.6158877322,3000000.0,2000005.2925720296,3000000.0,0.0,0.0,0.051878786346777866,0.0,0.0,0.0,0.0,-0.001978038541218622,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1.615887732300514,1000000.0,1000000.0,1000000.0,1000000.0,5.29257202963819,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.08088937036728802,0.0,0.0,0.0,0.0,0.021191150659232823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09974478194872206,0.0,0.0,0.0,0.0,0.0,0.0,176.49163191087786,0.0,0.0,0.0,0.0,15.466934293298845,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.024441931822848015,0.006436048279481231,2.3659566845784983e-05,0.007041248473218816,1.680535791347125,0.4745999619335129,0.39265032967921176,5.351274656248518e-05,0.5201488655273128,4.738440415671024,0.9510924208350054,1.0904372864258833,4.5852150348333655e-10,30.62835385251066,5.752306868910793e-06,0.002563014383677154,0.6808591950608216
c74c548a,1000000.0,1.6,0.020499438883687927,0.0007996390848390465,-0.002898847768406064,0.27547461989100197,1000005.6463018354,14.997613586241963,16.38987818039012,1001366.9116918123,0.0,0.06147291644379662,2.5400207267153968e-05,-0.000664559634131035,-0.00011104627384940635,0.0031745231624975808,-0.005704351251312452,-0.0014780197524559202,-0.0015141723014498209,-0.0002502956439568106,0.8266741553169628,0.0,1000000.0,0.5806889647678496,5.065612870575999,5.123468349981702,5.109102498190912,4.765042738069349,5.8923431345400115,5.2257284044277075,5.2718066414223985,0.06979506072629603,1366.8418967516789,1000000.0,0.0,0.004611498507738116,0.0331559267228492,0.01020687827153038,0.023118671428806824,0.002735610312098179,0.0025589268894207406,0.0026937247706867312,1.232462086988434e-05,0.02544220485141491,0.029027334730198903,0.0,0.0,0.13175057026334894,0.07218438938578593,0.0,0.0961390273798313,0.0,0.06390317066677335,0.08231627386879767,0.10176900312704874,0.06902245911982716,0.060736027489628586,0.0,0.0,179.2325023569415,13.444977091843715,2.791412990459624,171.37524819351782,12.284421131770559,178.60623149983346,2.902190451832931,4.183838361239958,8.779810395377707,86.11106112238839,0.0,0,0,0,1,1,1,1,1,1,1,1,0,0.2831963151345367,0.006649411271590921,6.302451826025337e-05,0.005513930963246465,2.563441712340729,0.6998387383011304,0.5236539522693897,0.00014023520944824616,0.4023496386748282,4.455626774345244,0.6273389957427091,1.4976855069698178,1.1866723166684713e-09,29.331703337326307,3.262275630286203e-06,0.0019313266458459578,0.8569670039126831
4428c48c,1000000.0,1.6,0.25215193846537626,0.0,0.05695948642082146,0.02984882384000447,1002395.7631619457,3000000.0,1000004.0903389304,1000017.6517782187,0.0,-0.00039430035619062527,0.7568501157523193,0.0,0.0,0.0,0.12291908726402248,0.04795937199844187,0.0,0.09338859411724867,-0.0038421225972352663,0.0,1000000.0,5.166165394978203,2390.596996550795,1000000.0,1000000.0,1000000.0,2.6432962130376767,1.4470427172886324,1000000.0,17.53239492346395,0.11938329518942122,1000000.0,0.0,0.0010196576855170056,0.14453618832254228,0.0,0.0,0.0,0.14315401134131128,0.004267907780459657,0.0,0.03935218051501155,0.001347690935908568,0.0,0.0,0.0824552999761887,0.062008436438417594,0.0,0.0,0.0,0.054171625411976586,0.0,0.0,0.08798730696023564,0.08985766681419076,0.0,0.0,177.80320613397737,4.486618116471529,0.0,0.0,0.0,30.635638856900435,15.273355233442642,0.0,78.82525711554979,8.977115945313122,0.0,0,1,1,0,0,0,1,1,0,1,1,0,0.12965132592047887,0.00440954256696339,3.740144925115205e-05,0.002398898570165392,2.2272637173664775,0.37720692028058617,0.8208786071876428,0.0006189053073219674,0.8154921054281207,4.241049748218919,0.9564686727587399,0.9428313646647972,7.648844970030432e-09,29.022599132846324,7.233175651755312e-05,0.0030135680907889886,0.8883623482660425
6c5095bd,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.15466705933639646,0.0017534612679889865,2.9694169337149663e-05,0.0008812276979862146,8.754964593019197,0.16866353876493567,0.30635006410050813,0.0011569282033163251,0.3652486623503528,4.379845796433312,0.8117120266312268,1.0481527569921387,3.0772450297082195e-10,30.233216005506492,6.368094893186273e-05,0.0016128483447042333,0.4233128819469772
4420427a,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.18299498069111522,0.005751810342450193,8.978457687923273e-06,0.016215600196930885,1.6165253331603107,0.5963078903305972,0.09174569612717409,9.309240636320319e-05,0.7492663021163812,3.804590171512374,0.626259624163648,0.5366733018343014,4.714660185296589e-10,30.014133825297836,7.855831031316124e-06,0.0031362453932536867,0.6333357293836513
1ff8fbe1,1000000.0,1.6,0.049112536284374585,0.09163939221733092,0.007453000719553647,0.05324949578773246,1000011.0359822329,2000005.6929285643,2000002.904406816,2.720847889126625,0.0,0.06790123945705431,0.07943636939606945,0.0,0.0,0.27491817665199275,0.0,0.0,0.02235900215866094,-0.0013857971863925741,-0.0003841193556902658,0.16151840390528022,1000000.0,1.0535386545055652,9.982443578437444,1000000.0,1000000.0,5.692928564286818,1000000.0,1000000.0,2.9044068159360643,0.0039050990724665076,0.00031792785258155626,2.7166248622015767,0.0,0.03207533682204758,0.32373251838242584,0.0,0.0,0.10931449753209196,0.0,0.0,0.07700350735664398,0.008014448754553172,0.00477833587661504,0.18093496846992926,0.0,0.10401618727382825,0.07917637769513597,0.0,0.0,0.0702673820797206,0.0,0.0,0.07837209908319757,0.0,0.0,0.07786733930828481,0.0,1.5567960417313869,141.1733762874653,0.0,0.0,62.395396361551576,0.0,0.0,4.746203127455976,0.010721532449449768,0.411546622860444,32.99415744878017,0,0,1,0,0,0,0,0,1,0,0,0,0.07609302584082255,0.012436421626900373,1.8660300587226067e-05,0.0012628285000650817,3.4495809745950683,0.5698021295377115,0.12457694962748622,0.0003815354644282756,0.17961424262493098,5.3916310089493305,0.7656936811031314,1.2609085482027935,4.9485701127802635e-09,30.10953375675179,1.873927256982795e-05,0.0015367009867594415,0.6233824102811811
7f4e9b44,1000000.0,1.6,-0.0010381445537097646,-0.00037146227223289267,0.0005419137210167945,0.0653501619753494,2000006.1661174346,1000010.1103215042,14.831434329942034,7.184508882747926,0.0,0.0,-0.003114433661129294,0.0,-0.0007100565201731307,-0.0004043302965255473,0.0004347179531256128,0.001547397000254083,-0.0003563737903293122,0.04912153118931623,0.03235595658480084,0.11457299815193114,1000000.0,1000000.0,6.166117434518475,1000000.0,5.079956358610423,5.030365145489726,4.93946978470463,4.852060034181227,5.039904511056176,4.826389981164571,2.094541883541794,0.2635770180415615,0.0,0.0,0.007117566873801063,0.0,0.014706394543933046,0.005689203419106174,0.0005179699424587322,0.004870736051366404,0.011852749674986675,0.02324496501688289,0.02694495327070856,0.13547389402634646,0.0,0.0,0.18088406651402364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.194782128700735,0.0,40.75959812071474,43.1958134036585,9.113609623032888,3.37302285790807,65.50795150624909,76.29592141209758,128.08739588719055,170.85685110047132,0,0,1,0,0,0,1,1,0,1,1,1,0.1571098326605085,0.00020188267190119564,2.4405574513723664e-05,0.007850931548062979,1.4628123766543868,0.2977474756763268,0.21665366779911166,0.0002525502387241734,0.06264569025419797,5.138836542672727,0.6049223166531627,1.3627789668143058,4.2250991474217887e-10,30.365226125362426,1.7632515255867954e-05,0.0004874144283956811,0.4498713954254556
88682894,1000000.0,1.6,0.07112164014147586,0.03827417441454846,-0.01559134983701737,0.02088310316002509,49.318229010789686,8.584219653333426,24.131528001239523,39.49529034810484,0.0020025873892455855,0.08213833207822441,0.12922400095695757,-0.00101796452997706,0.025212552214190564,0.09062793555943187,-0.0018221653387030302,0.02430558858823073,-0.06925747276057981,0.019187785077776357,-0.1315530728274557,0.17501459722975463,4.09113916038844,2.8771408436985277,42.349949006702715,5.281620282673377,2.6978451913331325,0.6047541793269161,5.332040043903296,3.0492350572240072,15.750252900112221,0.8759967419694284,34.68525129751989,3.934042308615515,0.04414448695693312,0.22388402601560606,0.32648426923646795,0.09067410302768174,0.19555614672297536,0.04973583138060218,0.008171316586957997,0.22128419588056264,0.04727670522848511,0.25602095565085353,0.02451732470975368,0.33559624231162866,0.04488121328136054,0.1145624735795241,0.07587243114480388,0.08381840700458608,0.0821237088184131,0.0866290487855869,0.07424258953687138,0.06769764557872608,0.06153830609565592,0.07410781985517809,0.07222825761724305,0.07313322765096576,166.05667308728928,114.3355933911416,159.6202437113247,20.909393986860735,152.57735248060038,99.69864610879276,92.63335524846333,15.758901336522994,61.719018801713325,12.590899762300921,137.46704225061447,50.88022951517873,0,1,0,1,1,0,1,0,0,1,1,1,0.12105318024858247,0.0015315987081660307,4.455194380676011e-06,0.0013831526393737212,8.29821350126983,0.03292154681039448,0.38333196161303035,0.0008357399225481027,0.7987879731983928,4.603934275624513,1.1075249712512005,0.9347179061192497,1.5303148204041857e-09,29.91706756218591,2.7393334249826968e-05,0.004103962585180802,0.40359529410909983
