id,cost,elapsed_min,velocity_flat,velocity_step,cost_flat,cost_step,velocity_scene1_flat,velocity_scene2_flat,velocity_scene4_flat,velocity_scene_wheel_flat,velocity_scene1_step,velocity_scene2_step,velocity_scene4_step,velocity_scene_wheel_step,cost_scene1_flat,cost_scene2_flat,cost_scene4_flat,cost_scene_wheel_flat,cost_scene1_step,cost_scene2_step,cost_scene4_step,cost_scene_wheel_step,velocity_scene1_f10_flat,velocity_scene1_f30_flat,velocity_scene1_f50_flat,velocity_scene2_f10_flat,velocity_scene2_f30_flat,velocity_scene2_f50_flat,velocity_scene4_f10_flat,velocity_scene4_f30_flat,velocity_scene4_f50_flat,velocity_scene_wheel_f10_flat,velocity_scene_wheel_f30_flat,velocity_scene1_f10_step,velocity_scene1_f30_step,velocity_scene2_f10_step,velocity_scene2_f30_step,velocity_scene4_f10_step,velocity_scene4_f30_step,velocity_scene_wheel_f20_step,velocity_scene_wheel_f30_step,cost_scene1_f10_flat,cost_scene1_f30_flat,cost_scene1_f50_flat,cost_scene2_f10_flat,cost_scene2_f30_flat,cost_scene2_f50_flat,cost_scene4_f10_flat,cost_scene4_f30_flat,cost_scene4_f50_flat,cost_scene_wheel_f10_flat,cost_scene_wheel_f30_flat,cost_scene1_f10_step,cost_scene1_f30_step,cost_scene2_f10_step,cost_scene2_f30_step,cost_scene4_f10_step,cost_scene4_f30_step,cost_scene_wheel_f20_step,cost_scene_wheel_f30_step,lateral_scene1_f10_flat,lateral_scene1_f30_flat,lateral_scene1_f50_flat,lateral_scene2_f10_flat,lateral_scene2_f30_flat,lateral_scene2_f50_flat,lateral_scene4_f10_flat,lateral_scene4_f30_flat,lateral_scene4_f50_flat,lateral_scene_wheel_f10_flat,lateral_scene_wheel_f30_flat,lateral_scene1_f10_step,lateral_scene1_f30_step,lateral_scene2_f10_step,lateral_scene2_f30_step,lateral_scene4_f10_step,lateral_scene4_f30_step,lateral_scene_wheel_f20_step,lateral_scene_wheel_f30_step,tumble_scene1_f10_flat,tumble_scene1_f30_flat,tumble_scene1_f50_flat,tumble_scene2_f10_flat,tumble_scene2_f30_flat,tumble_scene2_f50_flat,tumble_scene4_f10_flat,tumble_scene4_f30_flat,tumble_scene4_f50_flat,tumble_scene_wheel_f10_flat,tumble_scene_wheel_f30_flat,tumble_scene1_f10_step,tumble_scene1_f30_step,tumble_scene2_f10_step,tumble_scene2_f30_step,tumble_scene4_f10_step,tumble_scene4_f30_step,tumble_scene_wheel_f20_step,tumble_scene_wheel_f30_step,yaw_scene1_f10_flat,yaw_scene1_f30_flat,yaw_scene1_f50_flat,yaw_scene2_f10_flat,yaw_scene2_f30_flat,yaw_scene2_f50_flat,yaw_scene4_f10_flat,yaw_scene4_f30_flat,yaw_scene4_f50_flat,yaw_scene_wheel_f10_flat,yaw_scene_wheel_f30_flat,yaw_scene1_f10_step,yaw_scene1_f30_step,yaw_scene2_f10_step,yaw_scene2_f30_step,yaw_scene4_f10_step,yaw_scene4_f30_step,yaw_scene_wheel_f20_step,yaw_scene_wheel_f30_step,best_trial_scene1_f10_flat,best_trial_scene1_f30_flat,best_trial_scene1_f50_flat,best_trial_scene2_f10_flat,best_trial_scene2_f30_flat,best_trial_scene2_f50_flat,best_trial_scene4_f10_flat,best_trial_scene4_f30_flat,best_trial_scene4_f50_flat,best_trial_scene_wheel_f10_flat,best_trial_scene_wheel_f30_flat,best_trial_scene1_f10_step,best_trial_scene1_f30_step,best_trial_scene2_f10_step,best_trial_scene2_f30_step,best_trial_scene4_f10_step,best_trial_scene4_f30_step,best_trial_scene_wheel_f20_step,best_trial_scene_wheel_f30_step,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
ff024825,888891.935202,0.6,0.0760,-0.0003,2.456412,888889.478790,0.0496,0.0584,0.1265,0.0662,0.0000,0.0000,-0.0011,0.0000,1.860435,2.786806,1.692987,3.801550,1000000.000000,1000000.000000,500002.653832,1000000.000000,0.0241,0.0690,0.0559,0.0378,0.0627,0.0747,0.0657,0.1408,0.1729,0.0243,0.1081,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0023,0.0000,0.0000,2.082895,1.515112,1.983299,2.194383,2.792710,3.373324,1.569310,1.758127,1.751523,3.979460,3.623641,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,5.307665,1000000.000000,1000000.000000,0.003908,0.019085,0.003326,0.008777,0.002146,0.036553,0.009268,0.000095,0.010906,0.009772,0.007575,0.000000,0.000000,0.000000,0.000000,0.000000,0.023395,0.000000,0.000000,0.004247,0.025160,0.023627,0.014842,0.020879,0.018893,0.004236,0.009075,0.012969,0.006742,0.008347,0.000000,0.000000,0.000000,0.000000,0.000000,0.024994,0.000000,0.000000,179.0,152.9,15.1,176.2,176.0,169.3,179.2,161.0,162.7,147.6,178.7,0.0,0.0,0.0,0.0,0.0,165.9,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0331962343911697,2.740608254801818e-05,1.9601484636458444e-05,0.0009913624414983238,3.9833223547576,0.7199432321389431,0.11351124188677664,0.001964138625256951,0.6181028286966802,4.414970142096397,0.5403801289145789,1.0837990133033182,4.5208981076419305e-10,28.377093362216403,3.490344807426973e-06,0.0008321823049980551,0.7517214725334597
28dc139f,12.677157,0.6,0.1433,0.1106,2.513507,10.163651,0.0463,0.1262,0.1524,0.3011,0.0402,0.1211,0.0534,0.1888,3.697418,1.845986,1.362646,0.797109,21.853842,3.575379,2.550351,1.962506,0.0925,0.0195,0.0269,0.1277,0.1448,0.1062,0.1024,0.1527,0.2020,0.1224,0.4797,0.0760,0.0045,0.1164,0.1257,0.0984,0.0084,0.2809,0.0047,3.931277,3.662486,3.498490,2.150646,0.936455,2.450857,0.821165,1.564749,1.702024,0.791589,0.802629,39.918371,3.789312,6.864221,0.286537,0.969694,4.131009,0.677283,4.532952,0.001023,0.002786,0.004651,0.024878,0.021359,0.008203,0.024252,0.004635,0.074058,0.006861,0.029345,0.006853,0.006281,0.010871,0.011961,0.004357,0.005750,0.004075,0.002968,0.011957,0.023988,0.026899,0.015735,0.013456,0.014188,0.001796,0.003758,0.005628,0.000104,0.000733,0.242188,0.037674,0.261490,0.257587,0.263091,0.020785,0.278800,0.016086,178.6,83.6,77.9,164.5,173.0,171.0,179.0,159.2,166.6,178.7,175.9,1.4,104.6,15.1,52.8,2.3,158.6,1.0,174.1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1.132405958220074,1.4506544784496375e-05,0.00020228006130585565,0.0005247488460883615,3.555159348492337,0.7238268408593407,0.539267205759206,0.00017726751227398844,0.6989748655473783,3.315128945233639,1.2091156104738214,0.6419641185693263,1.7009552897034547e-09,28.991793870279405,1.091678480117724e-06,1.299767726699393e-05,0.8727040419742407
b51d3b08,1000004.276666,0.6,0.0263,0.0000,4.276666,1000000.000000,0.0171,0.0195,0.0543,0.0085,0.0000,0.0000,0.0000,0.0000,4.147966,4.530220,3.478632,5.211410,1000000.000000,1000000.000000,1000000.000000,1000000.000000,0.0093,0.0149,0.0271,0.0078,0.0288,0.0218,0.0327,0.0617,0.0685,-0.0003,0.0173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.006533,4.511602,3.925764,4.781316,4.187035,4.622309,3.192390,3.637614,3.605892,5.066874,5.355947,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,0.001626,0.010085,0.023787,0.003835,0.007211,0.004491,0.009827,0.006418,0.025932,0.009085,0.015442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011546,0.036521,0.157046,0.016249,0.024488,0.021391,0.004799,0.006117,0.007000,0.002582,0.002534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,175.8,167.6,116.0,175.0,168.2,126.9,173.5,166.9,121.7,2.1,176.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.06938107439380442,3.246985781308883e-05,0.00015399791054819745,0.0018501573060760793,1.0594783089373838,0.7037062373536713,0.6960821008911258,0.0006516423945802316,0.6534422561317612,4.506283779661338,0.8566314979241999,0.8500327159366128,3.858625975034682e-10,29.683222987870998,1.000854172020166e-06,0.00024621920763922645,0.9098814139273752
c44e76eb,7.016199,0.6,0.1243,0.1057,1.422513,5.593687,0.0855,0.1200,0.1584,0.1379,0.0745,0.0925,0.1072,0.1344,0.929706,1.237929,1.369244,2.015080,15.646049,1.062899,1.315209,1.459015,0.0546,0.1082,0.0936,0.0910,0.1003,0.1689,0.0647,0.1535,0.2570,0.0745,0.2014,0.0464,0.1025,0.0823,0.1027,0.0666,0.1477,0.1157,0.1718,0.695974,0.734450,1.358696,0.723200,1.667104,1.323484,1.565829,1.647553,0.894351,1.801503,2.228657,9.056906,22.235192,1.593347,0.532450,0.269233,2.361186,0.320271,3.736502,0.000371,0.001686,0.000150,0.002549,0.004849,0.007310,0.000572,0.001630,0.009304,0.000932,0.000257,0.000580,0.003356,0.001867,0.000893,0.001894,0.001624,0.001698,0.007992,0.005559,0.021499,0.020370,0.006087,0.009138,0.011883,0.002421,0.002833,0.004829,0.000077,0.000240,0.157845,0.248433,0.252007,0.265886,0.243423,0.278481,0.251658,0.270971,179.9,179.8,178.3,178.8,178.4,173.7,179.8,179.4,170.2,179.3,178.5,0.9,0.3,1.3,0.4,0.0,7.7,0.4,2.1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0.8038834553181036,3.354627391743403e-05,0.00041022070220676126,0.0014488396050290231,4.106108760538896,0.9289450137212889,0.8270857234813037,0.001707690476746696,0.5356430292792767,4.223470138335559,0.5343438747816516,1.3082449473698907,9.986281101684325e-10,28.386572472686645,1.1470770125940357e-06,8.107327277437184e-05,0.9876308698822227
fc6c1dc7,444449.637197,0.6,0.0425,0.0011,3.660236,444445.976960,0.0155,0.0267,0.0447,0.1036,0.0000,0.0030,0.0024,-0.0004,4.032699,3.662922,3.584602,2.486147,1000000.000000,500001.984945,4.674121,333333.463558,0.0169,0.0157,0.0139,0.0526,0.0213,0.0063,0.0740,0.0539,0.0062,0.1078,0.0995,0.0000,0.0000,0.0060,0.0000,0.0105,-0.0058,-0.0005,0.0000,2.950363,4.397002,4.750732,1.376048,4.285280,5.327436,1.257542,4.014741,5.481524,0.973732,3.998562,1000000.000000,1000000.000000,3.969889,1000000.000000,3.658130,5.690113,0.195337,1000000.000000,0.001702,0.010332,0.001661,0.000198,0.020274,0.000950,0.002408,0.044121,0.000799,0.002795,0.058602,0.000000,0.000000,0.000233,0.000000,0.003022,0.008247,0.000520,0.000000,0.036695,0.020943,0.014337,0.031323,0.010885,0.005061,0.004467,0.004303,0.001640,0.000776,0.000948,0.000000,0.000000,0.017746,0.000000,0.015148,0.020644,0.194816,0.000000,178.7,160.3,172.3,179.8,112.2,159.7,179.5,160.5,179.5,179.6,175.4,0.0,0.0,177.4,0.0,176.3,160.3,1.9,0.0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0.3680293503042746,2.2246138306098094e-05,0.00024344253948917834,0.0006303341989716819,3.5676204447645063,0.6063131957007446,0.9544588004706176,0.007536614402902572,0.9483995713298776,4.008893112209234,0.8620077498479344,0.7024267941755267,6.913013533768325e-09,28.07746826820666,6.003337793973444e-06,0.0004197500572224895,0.9819755848132756
1d6a87d5,3.181407,0.6,0.1129,0.0471,1.644833,1.536574,0.0671,0.1063,0.1279,0.1687,0.0258,0.0876,0.1041,-0.0037,1.394528,1.527496,1.567136,1.464983,0.182423,0.559049,1.266133,1.797980,0.0617,0.0933,0.0463,0.0924,0.1100,0.1164,0.0770,0.1746,0.1322,0.1289,0.2085,0.0236,0.0281,0.0729,0.1024,0.0599,0.1483,-0.0041,-0.0029,0.858272,0.893545,2.431766,0.739956,1.376645,2.465887,1.156455,1.277043,2.267911,0.715321,2.214645,0.189594,0.175252,0.824030,0.294069,0.158323,2.373943,0.030039,5.333861,0.000817,0.003042,0.010452,0.001679,0.002834,0.050998,0.003091,0.006449,0.096663,0.001819,0.035917,0.000752,0.020044,0.003983,0.000974,0.002420,0.006968,0.003224,0.001138,0.004903,0.018082,0.015067,0.006021,0.011562,0.012359,0.003140,0.005318,0.007614,0.000834,0.002887,0.020576,0.043001,0.227702,0.021963,0.023045,0.248557,0.026732,0.020384,175.0,173.5,23.5,179.6,168.0,175.5,176.4,163.6,12.0,179.0,159.0,175.4,22.4,2.1,177.0,170.8,3.4,140.7,160.7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4390392227531832,8.846210528574527e-06,0.0001932765744694967,0.0002315512469055759,8.976134470803169,0.39776981418509416,0.6097818353124221,0.014088296960914634,0.49854205295480125,4.147689160423627,0.7172511037204212,0.8077481865028682,2.611766682363853e-10,29.28808514086683,5.285344444607398e-06,2.7222215978748688e-05,0.7649378639883172
4d48ba76,4.981533,0.6,0.1983,0.0380,1.473250,3.508283,0.0670,0.1519,0.2923,0.3237,0.0315,0.0851,0.0421,0.0083,1.531170,0.824909,1.715958,0.838078,5.432409,0.670084,2.297244,1.526474,0.0605,0.0904,0.0502,0.0931,0.1576,0.2050,0.0908,0.2348,0.5512,0.1694,0.4781,0.0471,0.0160,0.0718,0.0984,0.0774,0.0067,0.0102,0.0046,0.825823,0.972030,2.795657,0.745618,0.832479,0.896629,0.876384,0.943391,3.328100,0.863417,0.812739,9.496008,1.368810,0.749680,0.590487,0.272679,4.321809,0.019941,4.539539,0.003313,0.019152,0.000020,0.000653,0.026914,0.013422,0.012643,0.053552,0.067063,0.003183,0.027860,0.000413,0.009814,0.000894,0.016877,0.003173,0.020067,0.001058,0.001113,0.003407,0.013247,0.011317,0.007501,0.009326,0.008443,0.002051,0.003512,0.002037,0.000089,0.000140,0.156271,0.023430,0.221087,0.228387,0.236661,0.022543,0.018363,0.016366,175.3,164.3,167.4,179.5,170.5,163.6,173.4,162.0,177.6,179.9,179.4,1.1,177.6,0.7,2.8,0.2,145.0,179.4,178.2,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0.5194510998985213,2.901787803280203e-05,5.8439942408831874e-05,0.0042608084760635675,2.589342601459683,0.8254141657507557,0.3951774673390881,0.0011336169884107788,0.8825596927208297,3.5724335355026895,0.5334551376332588,0.6047619387755016,3.9675587984955444e-10,29.069002960658175,1.0253654416119534e-06,0.0004789962905493673,0.8943670358159199
525b4726,313136.197473,0.6,0.0892,0.0298,90911.712590,222224.484883,0.0753,0.0413,0.1032,0.1608,0.0050,0.0024,0.0476,0.0527,333334.744256,3.299353,2.470994,1.615449,500001.311800,500002.432093,1.925211,0.876445,0.0273,0.1987,0.0000,0.0326,0.0776,0.0135,0.0609,0.1206,0.1282,0.1296,0.1920,0.0000,0.0101,0.0000,0.0047,0.0100,0.0852,-0.0003,0.1588,1.769840,2.462927,1000000.000000,2.536766,2.524851,4.836441,1.759299,2.574060,3.079623,0.710155,2.520744,1000000.000000,2.623601,1000000.000000,4.864186,3.716468,0.133953,0.022619,2.584097,0.000258,0.003432,0.000000,0.001650,0.013921,0.007568,0.009423,0.023166,0.103790,0.001385,0.011380,0.000000,0.007166,0.000000,0.001162,0.000450,0.004075,0.000084,0.003025,0.016172,0.174660,0.000000,0.018835,0.210237,0.013587,0.003101,0.228990,0.102619,0.000311,0.172803,0.000000,0.196840,0.000000,0.209614,0.018779,0.116689,0.022535,0.180751,179.9,0.1,0.0,178.9,173.9,111.5,179.9,178.2,169.2,179.4,168.9,0.0,0.1,0.0,178.1,179.7,177.1,179.9,40.5,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0.2159983067204476,6.27417359836254e-05,0.00012145815345499718,0.00033182061172859565,5.525522422368386,0.79890840495787,0.4280087208394002,0.004646083403082495,0.3129076332293794,5.159474372939646,0.6712327581923259,1.0205039777135227,4.221705656679212e-09,29.16440289211213,1.5906314161955336e-06,1.8130445276080365e-05,0.8849345604513228
c990c22f,4.212216,0.6,0.1621,0.0629,1.020899,3.191317,0.0906,0.1261,0.1951,0.2741,0.0523,0.1003,0.1256,0.0034,0.885194,1.022648,1.134933,0.711255,4.633802,0.560462,2.755044,1.546534,0.0559,0.1071,0.1088,0.0910,0.1214,0.1658,0.0602,0.2216,0.3033,0.1413,0.4070,0.0317,0.0728,0.0730,0.1276,0.0714,0.1797,0.0032,0.0040,0.700250,0.773954,1.181377,0.717222,1.181204,1.169516,1.750772,0.867809,0.786219,0.676176,0.746335,1.847276,7.420327,0.822545,0.298378,0.233315,5.276773,0.016724,4.606153,0.001208,0.012942,0.032282,0.001472,0.005174,0.023040,0.004448,0.005290,0.027446,0.001925,0.003850,0.000471,0.002287,0.001863,0.005792,0.004171,0.011957,0.000543,0.001231,0.003349,0.019853,0.019586,0.004018,0.005592,0.011563,0.002583,0.004121,0.005531,0.000116,0.000170,0.094873,0.215558,0.216077,0.282717,0.229086,0.248674,0.016130,0.018610,176.8,175.5,176.3,179.2,172.6,124.4,178.1,177.1,171.0,179.9,179.8,9.1,11.6,2.1,3.2,1.0,4.6,179.9,179.9,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0.44597329977114586,1.199590097160724e-06,0.00015885360477389088,0.002062909499416057,2.3431259177415336,0.5268537510964852,0.5200854390110257,0.0030753876951889083,0.19593908085864642,4.906679906663042,0.5182779006663417,1.1223743963250352,3.555575298756085e-10,29.420095260722764,1.5152371094896902e-06,0.00016551665323622514,0.7728782171299886
72907df0,4.984609,0.6,0.1808,0.0019,1.333586,3.651023,0.1040,0.1305,0.1782,0.3755,0.0002,0.0037,0.0011,0.0024,1.241576,1.372976,0.942213,1.003891,4.900354,4.530474,4.870412,1.411718,0.0731,0.1376,0.1012,0.1109,0.1593,0.1214,0.1074,0.2108,0.2163,0.1402,0.6109,0.0007,-0.0003,0.0043,0.0030,0.0026,-0.0005,-0.0005,0.0082,1.578333,0.840891,1.305503,1.374191,0.700959,2.043778,0.680992,0.791518,1.354128,0.690510,1.317271,4.679031,5.121678,4.260501,4.800448,4.661775,5.079048,0.025122,4.184909,0.000222,0.011610,0.009868,0.029613,0.002854,0.002245,0.003020,0.014157,0.041634,0.005120,0.020390,0.001714,0.006122,0.002154,0.002402,0.000986,0.001775,0.003209,0.002563,0.011781,0.038365,0.096320,0.010280,0.015024,0.020273,0.003439,0.005551,0.008412,0.000274,0.001175,0.023382,0.033613,0.024115,0.022188,0.021152,0.020976,0.021911,0.015938,176.6,171.3,178.0,179.3,169.4,160.7,177.7,140.0,161.2,179.4,177.9,177.0,171.4,179.4,170.5,145.5,179.6,179.3,175.6,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0.3436225812798653,7.726914112718571e-06,2.8998444062064663e-05,0.000363436963045542,9.395532032852724,0.10020440208743309,0.6867637328249444,0.010177081150929641,0.6654945825939443,4.3717776396148285,1.013064048340395,0.6943133356299791,1.2878158322201123e-09,28.971936697546248,2.273571757724771e-06,0.0012336478969379415,0.7180827093160378
