timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10_flat,vel_scene1_f30_flat,vel_scene1_f50_flat,vel_scene2_f10_flat,vel_scene2_f30_flat,vel_scene2_f50_flat,vel_scene4_f10_flat,vel_scene4_f30_flat,vel_scene4_f50_flat,vel_scene_wheel_f10_flat,vel_scene_wheel_f30_flat,vel_scene1_f10_step,vel_scene1_f30_step,vel_scene2_f10_step,vel_scene2_f30_step,vel_scene4_f10_step,vel_scene4_f30_step,vel_scene_wheel_f20_step,vel_scene_wheel_f30_step,lateral_scene1_f10_flat,lateral_scene1_f30_flat,lateral_scene1_f50_flat,lateral_scene2_f10_flat,lateral_scene2_f30_flat,lateral_scene2_f50_flat,lateral_scene4_f10_flat,lateral_scene4_f30_flat,lateral_scene4_f50_flat,lateral_scene_wheel_f10_flat,lateral_scene_wheel_f30_flat,lateral_scene1_f10_step,lateral_scene1_f30_step,lateral_scene2_f10_step,lateral_scene2_f30_step,lateral_scene4_f10_step,lateral_scene4_f30_step,lateral_scene_wheel_f20_step,lateral_scene_wheel_f30_step,tumble_scene1_f10_flat,tumble_scene1_f30_flat,tumble_scene1_f50_flat,tumble_scene2_f10_flat,tumble_scene2_f30_flat,tumble_scene2_f50_flat,tumble_scene4_f10_flat,tumble_scene4_f30_flat,tumble_scene4_f50_flat,tumble_scene_wheel_f10_flat,tumble_scene_wheel_f30_flat,tumble_scene1_f10_step,tumble_scene1_f30_step,tumble_scene2_f10_step,tumble_scene2_f30_step,tumble_scene4_f10_step,tumble_scene4_f30_step,tumble_scene_wheel_f20_step,tumble_scene_wheel_f30_step,yaw_scene1_f10_flat,yaw_scene1_f30_flat,yaw_scene1_f50_flat,yaw_scene2_f10_flat,yaw_scene2_f30_flat,yaw_scene2_f50_flat,yaw_scene4_f10_flat,yaw_scene4_f30_flat,yaw_scene4_f50_flat,yaw_scene_wheel_f10_flat,yaw_scene_wheel_f30_flat,yaw_scene1_f10_step,yaw_scene1_f30_step,yaw_scene2_f10_step,yaw_scene2_f30_step,yaw_scene4_f10_step,yaw_scene4_f30_step,yaw_scene_wheel_f20_step,yaw_scene_wheel_f30_step,best_trial_scene1_f10_flat,best_trial_scene1_f30_flat,best_trial_scene1_f50_flat,best_trial_scene2_f10_flat,best_trial_scene2_f30_flat,best_trial_scene2_f50_flat,best_trial_scene4_f10_flat,best_trial_scene4_f30_flat,best_trial_scene4_f50_flat,best_trial_scene_wheel_f10_flat,best_trial_scene_wheel_f30_flat,best_trial_scene1_f10_step,best_trial_scene1_f30_step,best_trial_scene2_f10_step,best_trial_scene2_f30_step,best_trial_scene4_f10_step,best_trial_scene4_f30_step,best_trial_scene_wheel_f20_step,best_trial_scene_wheel_f30_step,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-24T21:35:56,0.6,16,1d6a87d5,3.181407,0.0617,0.0933,0.0463,0.0924,0.1100,0.1164,0.0770,0.1746,0.1322,0.1289,0.2085,0.0236,0.0281,0.0729,0.1024,0.0599,0.1483,-0.0041,-0.0029,0.000817,0.003042,0.010452,0.001679,0.002834,0.050998,0.003091,0.006449,0.096663,0.001819,0.035917,0.000752,0.020044,0.003983,0.000974,0.002420,0.006968,0.003224,0.001138,0.004903,0.018082,0.015067,0.006021,0.011562,0.012359,0.003140,0.005318,0.007614,0.000834,0.002887,0.020576,0.043001,0.227702,0.021963,0.023045,0.248557,0.026732,0.020384,175.0,173.5,23.5,179.6,168.0,175.5,176.4,163.6,12.0,179.0,159.0,175.4,22.4,2.1,177.0,170.8,3.4,140.7,160.7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4390392227531832,8.846210528574527e-06,0.0001932765744694967,0.0002315512469055759,8.976134470803169,0.39776981418509416,0.6097818353124221,0.014088296960914634,0.49854205295480125,4.147689160423627,0.7172511037204212,0.8077481865028682,2.611766682363853e-10,29.28808514086683,5.285344444607398e-06,2.7222215978748688e-05,0.7649378639883172
2026-02-24T21:37:09,1.8,48,d8e85b4c,3.126972,0.0710,0.1072,0.0970,0.1023,0.1464,0.1755,0.0891,0.1770,0.1979,0.0952,0.2602,0.0114,0.0123,0.0584,0.1381,0.0656,0.0019,-0.0025,-0.0009,0.001948,0.006895,0.016650,0.000932,0.012901,0.007649,0.003364,0.015620,0.041502,0.002677,0.043926,0.002567,0.006308,0.003191,0.000054,0.006984,0.003987,0.007387,0.005084,0.010439,0.022342,0.027121,0.008429,0.012491,0.013796,0.004088,0.006027,0.007195,0.001291,0.002374,0.023492,0.033744,0.178769,0.250734,0.198231,0.023137,0.026327,0.025908,176.7,165.5,160.3,179.4,162.8,141.5,179.6,161.7,26.8,176.6,158.7,169.9,158.1,2.2,0.4,6.7,170.4,179.3,162.7,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0.4296277116188559,5.02590867255679e-06,0.00014873093619011953,0.0009892475497855129,3.8650885787443356,0.8728962552007546,0.7447159994110648,0.008240668429048392,0.7403813963976271,4.864123578149434,1.067856948175537,0.8266123639856073,5.773258509224816e-10,28.757019088928885,7.189337671592904e-06,0.0004711511706594439,0.9674779759378724
2026-02-24T21:40:45,5.4,144,309dddeb,2.902262,0.0419,0.0901,0.1142,0.1122,0.2060,0.1658,0.1255,0.2601,0.3416,0.1225,0.2749,0.0031,0.0440,0.0589,0.1237,0.0857,0.1282,-0.0063,-0.0039,0.000490,0.003083,0.015361,0.000067,0.016159,0.017373,0.006366,0.015077,0.023015,0.005190,0.005908,0.003615,0.007127,0.007419,0.007346,0.003315,0.010834,0.002618,0.002003,0.007454,0.276129,0.142107,0.008850,0.018172,0.016546,0.002924,0.007513,0.009432,0.001609,0.002457,0.022262,0.129841,0.224599,0.235106,0.224370,0.209953,0.025850,0.024754,178.1,9.6,178.7,179.2,176.8,6.4,179.2,173.7,172.6,179.8,174.6,171.8,14.6,14.5,1.0,3.4,13.8,179.8,174.7,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0.5049076812280426,6.872044461089401e-06,4.7859639504060266e-05,0.0011399505577886309,1.5386148182819819,0.8183721446679484,0.5266647045460746,0.06785705857740153,0.8902838133341957,4.05505905041133,1.100910748870069,1.1403905112560138,9.66197486913722e-10,28.216723773339755,4.503862586688298e-06,0.00029786726369799215,0.9139764589632859
2026-02-24T21:42:30,7.2,192,64b79092,2.547915,0.0557,0.0808,0.0238,0.0813,0.1233,0.1446,0.0786,0.2229,0.1405,0.1405,0.4445,0.0166,0.0294,0.0394,0.1014,0.0654,0.1221,0.0013,0.0031,0.000738,0.003370,0.007638,0.001530,0.006923,0.008961,0.004096,0.043762,0.008213,0.001689,0.011728,0.002202,0.017777,0.003035,0.007052,0.003553,0.022582,0.000988,0.003376,0.004191,0.016360,0.009166,0.008001,0.009505,0.010052,0.003069,0.003463,0.005425,0.000116,0.000613,0.021859,0.049193,0.025285,0.250312,0.183433,0.208866,0.016043,0.015895,178.0,174.0,177.8,179.6,174.3,177.6,179.9,175.1,7.9,179.9,178.1,178.2,28.0,179.7,5.0,3.9,7.7,177.5,179.7,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0.34639891781810567,1.5599221101001085e-06,5.572400532342401e-05,0.00023868559007877266,4.8853028770678115,0.8816953681841772,0.48058730111139997,0.012944841444528933,0.5916067737881443,4.881556814844689,0.6572098750712357,0.6759227673150492,3.931297748717281e-10,28.36662494434309,9.744388190926081e-06,5.2406505643993574e-05,0.9385030131674101
2026-02-24T21:43:40,8.3,224,14b2b6b5,2.442161,0.0614,0.0915,0.1017,0.0830,0.1531,0.1333,0.0897,0.1890,0.2566,0.1320,0.4628,0.0305,0.0497,0.0591,0.1555,0.0638,0.1186,0.0014,0.0047,0.001624,0.002336,0.013674,0.004682,0.001149,0.015095,0.007146,0.001407,0.061541,0.003971,0.010924,0.000315,0.008948,0.005137,0.010662,0.003698,0.020989,0.000340,0.000870,0.006848,0.028203,0.021645,0.010956,0.012697,0.016133,0.003171,0.004090,0.006076,0.000194,0.000464,0.037808,0.137031,0.187976,0.023345,0.024912,0.200978,0.021950,0.015463,176.4,160.1,152.1,179.7,175.4,162.7,178.2,165.2,171.0,179.9,176.3,3.2,0.2,0.6,172.4,175.6,2.7,178.5,179.8,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0.3947792314910548,1.9011601780422708e-06,4.6001016373517636e-05,0.0016196929289646557,5.655588007591034,0.7845525811517083,0.29256327713996805,0.007036585805007787,0.8973706751370386,4.15845151390313,0.8883749655247628,0.691139014484087,7.585452525553782e-10,28.44802365422577,5.752624282785097e-06,3.1832929621997826e-05,0.8475553277335979
2026-02-24T21:44:50,9.5,256,2d8073e4,2.248271,0.0664,0.1104,0.0567,0.0941,0.1411,0.1384,0.0859,0.2125,0.2204,0.1429,0.4904,0.0167,0.0194,0.0522,0.0710,0.0615,0.0750,-0.0005,0.0017,0.000123,0.020533,0.010151,0.003695,0.003700,0.023409,0.002956,0.012580,0.016839,0.003322,0.013555,0.001191,0.001187,0.007441,0.004312,0.002330,0.000594,0.002096,0.002434,0.004878,0.021700,0.016702,0.006036,0.011375,0.012266,0.002846,0.004226,0.006437,0.000147,0.000967,0.020798,0.027492,0.027873,0.177382,0.180811,0.150059,0.022382,0.017116,180.0,177.2,7.7,179.2,175.5,155.2,179.3,174.1,140.1,179.9,177.5,176.1,168.5,179.8,4.2,1.0,9.1,177.5,179.6,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3670467714287712,2.324747983519862e-06,1.7666255330127975e-05,0.000259163435513046,3.9523258963232695,0.9126340303461873,0.2993718155285866,0.02490761685841798,0.9594877849084001,4.20697602723259,0.7810881375473392,0.7694779111367922,4.870805059522228e-10,28.58391091608956,9.631492348320908e-06,0.000493341186948961,0.9387590021153117
2026-02-24T21:50:37,15.3,416,16ff38d6,1.920113,0.0572,0.1063,0.0974,0.0797,0.1325,0.1712,0.0890,0.2392,0.2721,0.1340,0.4802,0.0204,0.0304,0.0332,0.1079,0.0622,0.0686,0.0022,0.0013,0.000645,0.004289,0.009527,0.001127,0.000866,0.042202,0.008646,0.047520,0.063681,0.001632,0.016970,0.001699,0.007346,0.000255,0.007037,0.010324,0.001681,0.000538,0.001436,0.005895,0.024893,0.025295,0.009211,0.012801,0.010757,0.002769,0.004307,0.006675,0.000177,0.000759,0.021108,0.028118,0.030916,0.234233,0.194775,0.132837,0.017222,0.016665,176.8,175.5,174.9,179.3,175.8,139.9,178.8,157.8,177.1,179.8,179.7,178.5,177.0,172.0,1.7,3.2,6.6,179.5,176.7,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0.3319247016820443,1.7795087995342206e-06,1.4970809238442321e-05,0.0009193751619471619,5.587386463191467,0.9989228865661386,0.3773050646258954,0.004338695585011516,0.7657799685028547,3.9055390706784303,0.791217896250541,0.7790552228851156,5.942288623347819e-10,28.621171740612954,1.2101415412107524e-05,0.0002823635097773551,0.9992915564134485
2026-02-24T22:17:37,42.3,1152,b81b3eb0,1.868765,0.0605,0.1002,0.0932,0.0794,0.1378,0.1524,0.0852,0.2142,0.2273,0.1301,0.4642,0.0211,0.0293,0.0549,0.1339,0.0722,0.0853,0.0031,0.0064,0.000742,0.010537,0.027115,0.001916,0.005128,0.040146,0.001221,0.019085,0.017960,0.003426,0.014208,0.000152,0.003636,0.001611,0.009811,0.003950,0.015378,0.002041,0.004122,0.006194,0.026682,0.024567,0.010685,0.012356,0.013313,0.003254,0.004378,0.006699,0.000111,0.000754,0.021333,0.065258,0.181468,0.273056,0.218236,0.187396,0.015577,0.016912,178.9,177.7,174.9,169.5,175.9,175.8,177.0,170.2,146.3,178.7,179.5,176.9,13.4,0.6,0.4,3.6,5.0,179.8,179.2,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0.37685847324983784,1.8415907078108262e-06,1.9657048419669965e-05,0.000421712514780159,6.872821933417547,0.9440897722630048,0.3207002325137115,0.005483244272371936,0.8836381503907692,4.254820604862245,0.849011837204088,0.7624303602826027,7.492367696565598e-10,28.960903787272006,2.331770170082467e-05,5.203432453592508e-05,0.9619881252749024
2026-02-24T22:35:12,59.9,1632,cbc1697b,1.808543,0.0578,0.1006,0.0981,0.0838,0.1448,0.1845,0.0873,0.2070,0.2337,0.1315,0.4361,0.0172,0.0263,0.0540,0.1312,0.0625,0.0906,0.0031,0.0022,0.001173,0.003081,0.003596,0.002857,0.003120,0.013941,0.003449,0.013253,0.001145,0.002327,0.014402,0.000697,0.000361,0.001190,0.001693,0.003986,0.011889,0.000971,0.005399,0.006473,0.029634,0.028981,0.009827,0.012847,0.014979,0.003605,0.004906,0.006946,0.000169,0.001123,0.022654,0.053970,0.165246,0.253237,0.021127,0.186179,0.015363,0.021211,177.7,177.3,179.2,179.6,174.4,175.9,171.1,176.2,175.6,179.7,171.1,179.3,4.9,1.8,5.3,175.7,0.9,178.8,178.3,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0.35329439381747135,2.086654658535834e-06,3.65793068029977e-05,0.0002936417697752393,5.989170720204222,0.9849344457838826,0.34273246214733155,0.004319955844927401,0.8428094302000335,4.428260516792693,0.8893810536889565,0.8235161760395442,7.637113359202135e-10,28.555823476551005,3.1386638913199996e-05,5.981804939321762e-05,0.9900636270277718
2026-02-24T22:38:42,63.4,1728,c6615251,1.789709,0.0627,0.1119,0.1172,0.0932,0.1517,0.1840,0.0853,0.2003,0.2175,0.1324,0.3912,0.0178,0.0267,0.0564,0.1287,0.0542,0.0970,-0.0003,0.0014,0.000862,0.008525,0.023283,0.005988,0.000776,0.012029,0.001345,0.001748,0.030813,0.001819,0.007673,0.000268,0.012614,0.006661,0.004288,0.000804,0.005222,0.001398,0.004515,0.006194,0.028338,0.032869,0.008843,0.013435,0.017289,0.003511,0.006309,0.008244,0.000283,0.001545,0.021143,0.042155,0.022896,0.019718,0.021864,0.173760,0.018705,0.017701,174.9,177.9,160.4,176.9,179.0,172.6,175.9,173.2,24.2,179.9,176.1,179.6,41.9,177.8,176.2,174.1,0.9,179.4,179.0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0.3611169866182379,1.8302350717468975e-06,2.96153252603649e-05,0.0003655817095958597,6.3366132567719795,0.9518052869734112,0.40284501220412866,0.003822367689633107,0.8567567883295868,4.3134464787770375,0.8957449102441782,0.8692078220792112,7.185534111539398e-10,28.585791197880965,2.666399660464428e-05,7.263110302122092e-05,0.9711800022295614
