ref_id,terrain,target_speed,best_cost,best_vel,delta_pct,elapsed_min,status
scene1_f10_flat,flat,0.0512,0.30938,0.0449,-12.3046875,0.15822943846384685,OK
scene1_f30_flat,flat,0.1187,0.843957,0.1399,17.860151642796964,0.15355406602223715,OK
scene1_f50_flat,flat,0.1483,0.466019,0.1635,10.24949426837493,0.1379130244255066,OK
scene2_f10_flat,flat,0.0832,0.549411,0.0926,11.29807692307693,0.15144118070602416,OK
scene2_f30_flat,flat,0.1796,0.276412,0.19,5.790645879732735,0.15351297855377197,OK
scene2_f50_flat,flat,0.2633,0.68001,0.267,1.4052411697683391,0.16758984327316284,OK
scene4_f10_flat,flat,0.1121,0.343229,0.1042,-7.047279214986622,0.26420252323150634,OK
scene4_f30_flat,flat,0.2747,0.625245,0.2749,0.07280669821622787,0.20715407927831014,OK
scene4_f50_flat,flat,0.3274,0.217628,0.3025,-7.605375687232753,0.19926929871241253,OK
scene_wheel_f10_flat,flat,0.1423,0.216112,0.1456,2.319044272663385,0.15772486527760823,OK
scene_wheel_f30_flat,flat,0.4578,0.654827,0.4422,-3.407601572739188,0.15906484524408976,OK
scene1_f10_step,step,0.0199,0.307125,0.017,-14.572864321608039,0.1572746197382609,OK
scene1_f30_step,step,0.0331,0.268071,0.034,2.719033232628414,0.1307869593302409,OK
scene2_f10_step,step,0.0542,0.21222,0.0588,8.487084870848708,0.16111998955408732,OK
scene2_f30_step,step,0.1335,0.343592,0.1168,-12.509363295880155,0.15612005790074665,OK
scene4_f10_step,step,0.0716,0.21701,0.0652,-8.938547486033524,0.2041180968284607,OK
scene4_f30_step,step,0.0898,0.231768,0.098,9.131403118040089,0.21323442061742146,OK
scene_wheel_f20_step,step,0.0,0.016719,0.0012,,0.14497567017873128,OK
scene_wheel_f30_step,step,0.0938,0.208746,0.0879,-6.289978678038367,0.1544249375661214,OK
