timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f20,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f20,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f20,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f20,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f20,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-25T00:36:05,0.8,8,10927b42,1.776314,0.0654,0.1131,0.1252,0.1574,0.0983,0.1260,0.1741,0.2869,0.0794,0.2161,0.2874,0.4135,0.1565,0.3063,0.4589,0.000783,0.002507,0.002199,0.017732,0.001250,0.001525,0.000245,0.010822,0.000773,0.001055,0.008137,0.043861,0.003357,0.005740,0.004758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.9,0.1,3.8,7.8,1.9,2.5,1.7,5.1,0.5,1.4,4.2,8.0,1.4,1.2,1.7,1.92,6.65,10.70,8.39,2.96,4.99,3.39,7.54,1.08,1.49,1.46,2.74,0.13,0.11,0.13,0.6002178135060692,0.0003145392152728513,5.061891280742423e-06,0.0027372686279007684,3.069212248262374,0.5416674238523249,0.641145047811937,1.571296051592018e-05,0.24167916655353822,5.218173481004148,0.5063018943166766,1.2906241765717217,5.252323317629268e-10,0.15048899880210848,1.1830023649223516e-06,3.664048430272669e-05,0.8354609707955132
2026-02-25T00:37:36,2.3,24,0b5c9733,1.142895,0.0595,0.0963,0.1261,0.1427,0.0875,0.1326,0.1691,0.2946,0.1022,0.2001,0.2780,0.4106,0.1459,0.3063,0.4688,0.000261,0.001648,0.002971,0.004324,0.002331,0.001122,0.003657,0.007085,0.001071,0.002933,0.005529,0.007116,0.001300,0.005155,0.004818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.9,1.4,0.9,6.8,3.1,1.4,3.4,9.4,2.4,1.9,6.4,4.2,1.1,1.3,0.5,2.87,9.99,16.43,14.53,4.53,8.04,7.46,7.40,2.22,1.56,2.74,3.08,0.29,0.22,0.18,0.453245250217803,0.00036332090655842033,2.469466298376371e-06,0.0034618115859198447,4.024680520692937,0.36825271538565807,0.531042263070492,1.1217432882975875e-05,0.516338133356748,5.495405603353232,0.614129532148505,1.2122529799089525,7.11273295178978e-10,0.15858369417432358,1.5898137176952452e-06,0.00019541114879455452,0.7036841188695894
2026-02-25T00:38:21,3.0,32,e17d23bf,1.008169,0.0572,0.1018,0.1206,0.1420,0.0803,0.1385,0.1645,0.3083,0.1039,0.1988,0.2645,0.3409,0.1448,0.2683,0.4061,0.001071,0.004813,0.005203,0.014402,0.002392,0.003041,0.005147,0.005582,0.004159,0.001199,0.007863,0.036717,0.001798,0.009723,0.002418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.2,1.3,4.3,7.0,5.3,1.1,3.0,4.7,4.9,2.7,5.6,20.2,0.9,2.8,1.1,3.55,8.06,16.03,14.26,5.24,7.12,5.98,4.62,2.11,1.52,2.82,2.87,0.29,0.65,0.55,0.4073878759973649,0.00021604164638825175,3.514997424314385e-06,0.003538192472384397,5.567836147044652,0.33642489074808685,0.6365969530765309,1.3439077997730461e-05,0.5204235599374933,5.242190769349573,0.6762170900961321,1.0992883159650308,6.179914957943561e-10,0.43240341176668307,1.05949278794467e-06,0.0007781902966373101,0.7587911237399732
2026-02-25T00:45:41,10.4,104,8e797c85,0.866739,0.0592,0.1060,0.1326,0.1351,0.0872,0.1314,0.1528,0.2482,0.1069,0.1775,0.2811,0.3630,0.1535,0.3070,0.4561,0.000108,0.002761,0.001527,0.011594,0.000574,0.001086,0.002710,0.034908,0.005547,0.002256,0.022510,0.056759,0.000273,0.002912,0.002268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.3,1.4,4.0,5.8,4.3,1.2,0.9,4.3,1.1,1.5,3.2,2.1,1.1,0.6,2.6,2.30,8.83,10.57,12.14,3.62,4.94,5.80,5.87,1.59,1.35,2.29,3.13,0.12,0.08,0.16,0.4973340000765052,0.00019660543022310446,2.009292187797378e-06,0.0019207970120150336,6.428982218324575,0.5048503983988147,0.8403289251453285,1.1422900103232583e-05,0.5227168354965578,4.9158357877429255,0.640289178933123,1.0791682894228396,5.625291243050777e-10,0.4654180527917996,1.6369707641686762e-06,0.004871071069396186,0.9208548980059619
2026-02-25T00:47:13,11.9,120,4aa10ad0,0.718671,0.0555,0.0988,0.1223,0.1337,0.0757,0.1224,0.1500,0.2692,0.0980,0.1881,0.2524,0.3355,0.1523,0.3067,0.4544,0.000566,0.002438,0.000368,0.010782,0.000373,0.003520,0.002494,0.017580,0.001667,0.006720,0.005932,0.019006,0.001281,0.001863,0.002149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.6,2.1,4.9,22.1,4.3,6.4,5.8,18.3,3.1,2.2,4.8,8.9,1.5,1.5,1.4,2.37,8.48,11.42,10.67,4.23,6.20,6.78,7.04,2.04,1.41,2.35,2.76,0.12,0.14,0.29,0.4198729712637577,0.00025477200302499747,1.7651573962383274e-06,0.0021385851468288153,7.048749620094776,0.6447463081405712,0.9645717218456579,9.598798407169356e-06,0.6993591279541825,4.99638740583189,0.5957082556383047,1.1166211244285598,5.297252749346685e-10,0.5266541072857377,1.5430465982629639e-06,0.004920499068852457,0.9873175162172627
2026-02-25T00:56:33,21.2,216,6bf377cd,0.669753,0.0553,0.0994,0.1261,0.1393,0.0761,0.1282,0.1604,0.2804,0.1008,0.1867,0.2706,0.3650,0.1516,0.3017,0.4403,0.001292,0.001404,0.001170,0.014794,0.001977,0.001374,0.002437,0.015354,0.001497,0.004623,0.009842,0.031645,0.001716,0.002830,0.002876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.9,1.6,1.8,61.5,1.9,0.6,1.1,10.4,2.1,3.5,1.5,21.9,0.8,1.0,2.1,2.34,8.28,9.65,9.30,3.44,5.37,6.49,6.52,1.88,1.40,2.09,2.72,0.18,0.19,0.20,0.44078643952802804,0.000361698561064848,3.873237167248114e-06,0.002467633142645442,3.280749976333278,0.5486936559737389,0.6030751751773519,1.4419900207920424e-05,0.6115340381961382,4.957761299637655,0.5467107728817334,1.2253777630268343,4.798562277629835e-10,0.056155128967434534,1.184030990663846e-06,0.001230793415262731,0.8208050009385088
2026-02-25T00:58:06,22.8,232,708049f0,0.632498,0.0577,0.1082,0.1272,0.1488,0.0891,0.1285,0.1541,0.2590,0.1023,0.1741,0.2803,0.3650,0.1575,0.3068,0.4543,0.000223,0.000905,0.002984,0.006114,0.000680,0.001894,0.004070,0.022808,0.000814,0.001028,0.003804,0.008333,0.001158,0.004810,0.005458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.2,0.6,8.1,22.7,0.8,4.1,3.1,1.3,1.5,3.0,4.9,5.5,0.2,0.6,2.1,1.88,7.83,11.72,10.66,2.40,5.27,5.82,7.19,1.58,1.28,1.91,2.84,0.14,0.18,0.16,0.5215547305197196,0.00027913298944751526,4.250918032239196e-06,0.002369736906048207,2.7806082923709554,0.4408365584871357,0.46176102783478656,2.77733875301164e-05,0.46872247732117583,5.03007053837427,0.5321317260267134,1.3195959045055883,5.671104614524208e-10,0.020569032109277987,1.2974067950575428e-06,0.00033976849448833337,0.6989902678649691
2026-02-25T01:05:01,29.7,304,f6aa49ee,0.582288,0.0537,0.0985,0.1187,0.1379,0.0820,0.1251,0.1534,0.2418,0.1124,0.1714,0.2788,0.3498,0.1530,0.2992,0.4497,0.000377,0.002456,0.005948,0.012366,0.000187,0.001851,0.002123,0.012884,0.001025,0.002763,0.002900,0.040482,0.001697,0.004250,0.003095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.4,1.3,2.0,10.1,2.8,3.7,1.2,6.6,0.6,5.0,4.0,5.9,1.2,0.5,1.6,1.95,8.51,11.58,10.69,3.94,5.99,6.19,8.05,1.76,1.42,2.27,3.29,0.17,0.20,0.18,0.4912010632827343,0.0005437174529209076,8.477974507502514e-06,0.00243733914906411,2.1735593148781938,0.4593384229178463,0.47679805994912533,2.3585522571525337e-05,0.5951854585787812,4.856359988939221,0.614930978744279,1.1436845988099504,5.400861341853798e-10,0.007247635792322345,1.3272726372061163e-06,2.0038746029934826e-05,0.7170771341536568
2026-02-25T01:15:05,39.8,408,05351aed,0.574028,0.0574,0.1019,0.1185,0.1491,0.0876,0.1261,0.1599,0.2670,0.1159,0.1651,0.2800,0.3450,0.1520,0.3025,0.4501,0.000271,0.001447,0.001977,0.007960,0.000679,0.002253,0.001749,0.014481,0.001425,0.003067,0.008344,0.039186,0.002057,0.004655,0.004631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.8,0.9,3.0,8.1,3.5,2.9,3.3,6.5,1.0,0.6,5.6,9.1,0.3,0.6,0.5,2.17,10.53,11.21,11.48,4.04,5.98,5.82,7.69,1.51,1.63,2.18,2.84,0.12,0.15,0.17,0.5195628195154703,0.0002818997767531368,9.214461168977093e-06,0.0023887431777607254,2.2412859328112136,0.3322128562290687,0.4917357873795136,2.9970263453587372e-05,0.5937574239423853,4.781481222512179,0.6236223698012531,1.1705494325474397,5.408235066053662e-10,0.14451874333709192,1.0797563589925825e-06,0.0002898812692158515,0.6605385195944462
2026-02-25T01:16:38,41.3,424,7d939a28,0.556578,0.0558,0.1046,0.1280,0.1473,0.0852,0.1336,0.1667,0.2695,0.1109,0.1805,0.2859,0.3717,0.1509,0.3016,0.4564,0.000951,0.001731,0.006334,0.015502,0.001663,0.001114,0.004827,0.004873,0.001921,0.005752,0.007214,0.010919,0.001650,0.002432,0.005896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.3,1.7,6.0,7.1,3.0,3.4,1.9,2.9,2.4,3.0,2.7,14.5,1.0,1.1,0.6,1.99,8.62,10.06,10.98,3.74,4.57,5.39,6.90,1.61,1.47,2.37,3.07,0.13,0.18,0.23,0.555278637990331,0.0002781985185489698,1.0386713039093177e-05,0.0027260809045527284,2.0960626474500517,0.3393623938988491,0.5069693431398721,2.4970161887130227e-05,0.5343640799546844,4.7541252143535635,0.6297172705898378,1.1436625321045806,5.443044521482859e-10,0.20816374878602215,1.0312247288023148e-06,0.0006457304713292062,0.6742347101831332
