scene,freq,trial,seed,velocity_mps,target_mps,cot_signed,cot_abs,energy_ext_signed_J,energy_ext_abs_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W
scene1,10.0,4,77781,0.056276651708567035,0.0512,11.664164740889648,15.591697766273944,0.0020454299246153974,0.0027341627879188656,0.17355004413236083,0.00010300000000000002,2.900000000000169,0.0007053206636604407
scene1,10.0,7,77784,0.05719599115706259,0.0512,11.673814774365763,16.395994547020365,0.00207998932226058,0.0029213666864521494,0.17633644264511436,0.00010300000000000002,2.900000000000169,0.0007172376973311927
scene1,10.0,1,77778,0.05736047703707524,0.0512,11.619895890361885,15.683016696630782,0.0020759226384900156,0.0028018090443785214,0.1768083193436913,0.00010300000000000002,2.900000000000169,0.0007158353925827223
scene1,20.0,1,77878,0.10402730056224094,0.1264,6.732277272050219,8.723322965733885,0.0020806523245890593,0.0026959974275194924,0.30586606059035426,0.00010300000000000002,2.900000000000169,0.0007174663188237717
scene1,20.0,5,77882,0.10045143821055746,0.1264,6.635448949777477,8.466035082144003,0.001980396348049305,0.002526747637731059,0.2953762499533311,0.00010300000000000002,2.900000000000169,0.0006828952924307549
scene1,20.0,8,77885,0.1001355347919119,0.1264,6.577698749384966,8.665191628553877,0.0019668046187014477,0.0025909880592458615,0.2959245582356166,0.00010300000000000002,2.900000000000169,0.0006782084892073562
scene1,30.0,5,77982,0.11906235960340364,0.1187,7.01033840663354,9.062509728717343,0.002493510348899244,0.0032234480683805368,0.35201888255495606,0.00010300000000000002,2.900000000000169,0.0008598311547927927
scene1,30.0,0,77977,0.12254135469880958,0.1187,6.972250583692014,8.91718941943321,0.0025428023174354814,0.003252127795547334,0.360938641289947,0.00010300000000000002,2.900000000000169,0.0008768283853225286
scene1,30.0,8,77985,0.12300630735252287,0.1187,6.12090701735706,7.754413265907251,0.0022613339061675506,0.002864823398053035,0.3656307221916858,0.00010300000000000002,2.900000000000169,0.0007797703124715237
scene1,50.0,4,78081,0.1476820599046323,0.1483,7.287338952447285,8.832057040926474,0.0032769846364783736,0.003971616446068702,0.4450401600028706,0.00010300000000000002,2.900000000000169,0.001129994702233856
scene1,50.0,9,78086,0.14742440795267156,0.1483,7.0613320019913,8.621076973826042,0.0031971359431293062,0.0039033365169249875,0.44809308277159354,0.00010300000000000002,2.900000000000169,0.001102460670044524
scene1,50.0,1,78078,0.14326570770987923,0.1483,6.919062830982192,8.260202842110763,0.0030959369247291505,0.0036960304609653582,0.442831593261533,0.00010300000000000002,2.900000000000169,0.0010675644568030932
scene2,10.0,8,78185,0.08307762352759161,0.0832,2.516064218907008,3.6037611370662517,0.0006302907049048447,0.000902765966910371,0.2431984901579117,0.00010500000000000002,2.900000000000169,0.00021734162238096826
scene2,10.0,3,78180,0.08307039061533755,0.0832,2.5212698127072204,3.759834759084592,0.0006324617502711672,0.0009431563652870937,0.24353233628674645,0.00010500000000000002,2.900000000000169,0.00021809025871418286
scene2,10.0,9,78186,0.08347693970352607,0.0832,2.7066171479572856,3.9900595287920275,0.0006809119856681504,0.0010037915257923948,0.24423384317582975,0.00010500000000000002,2.900000000000169,0.00023479723643727953
