scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene1,10.0,0,6.27,FALSE,13.24,0.173,43.5,0.0000,0.0553,-0.0109
scene1,10.0,1,-7.37,FALSE,19.95,0.443,175.3,1.6408,0.0382,1.5793
scene1,10.0,2,4.81,FALSE,36.89,1.170,11.1,0.0000,0.0475,-0.1370
scene1,10.0,3,5.63,FALSE,4.20,0.584,42.3,0.0000,0.0465,0.0255
scene1,10.0,4,-7.40,FALSE,32.24,1.248,52.6,0.0000,0.0101,-0.1511
scene1,10.0,5,9.04,FALSE,48.74,0.818,173.0,1.5762,0.0732,1.4057
scene1,10.0,6,-8.06,FALSE,17.49,0.638,21.4,0.0000,0.1470,0.0596
scene1,10.0,7,2.50,FALSE,8.93,1.198,115.4,0.3793,0.0371,0.3717
scene1,10.0,8,9.25,FALSE,31.29,1.871,22.3,0.0000,0.1250,-0.0315
scene1,10.0,9,-6.96,FALSE,-1.87,1.033,167.2,1.4192,0.0687,1.4972
scene1,10.0,10,1.29,FALSE,29.69,0.369,178.6,1.7367,0.1121,1.7003
scene1,10.0,11,2.52,FALSE,-6.03,0.353,132.6,0.6512,0.0841,0.7655
scene1,10.0,12,0.29,FALSE,32.73,0.801,131.4,0.6302,0.1013,0.5678
scene1,10.0,13,3.11,FALSE,14.54,0.720,61.9,0.0004,0.1512,0.0789
scene1,10.0,14,-0.39,FALSE,1.19,1.319,162.1,1.2864,0.0585,1.3390
scene1,10.0,15,-4.75,FALSE,36.11,0.088,50.2,0.0000,0.0626,-0.1180
scene1,10.0,16,-10.32,FALSE,-2.24,0.952,5.2,0.0000,0.0844,0.0956
scene1,10.0,17,-7.04,FALSE,-4.03,0.571,59.5,0.0000,0.1015,0.1216
scene1,10.0,18,-4.66,FALSE,-4.26,0.745,3.7,0.0000,0.0758,0.0971
scene1,10.0,19,5.14,FALSE,6.08,0.313,23.7,0.0000,0.0966,0.0662
scene1,30.0,0,-0.12,FALSE,18.44,0.368,170.2,1.4986,0.1409,1.5474
scene1,30.0,1,-7.68,FALSE,15.18,0.252,41.7,0.0000,0.0902,0.0143
scene1,30.0,2,-1.51,FALSE,21.62,0.935,1.3,0.0000,0.1227,0.0146
scene1,30.0,3,-2.13,FALSE,66.74,0.194,29.3,0.0000,0.1273,-0.2064
scene1,30.0,4,-1.26,FALSE,12.53,0.188,161.5,1.2719,0.0723,1.2816
scene1,30.0,5,3.86,FALSE,26.81,1.629,4.9,0.0000,0.0959,-0.0381
scene1,30.0,6,-4.53,FALSE,13.14,1.195,48.3,0.0000,0.0913,0.0256
scene1,30.0,7,-2.94,FALSE,5.78,0.787,171.5,1.5345,0.0649,1.5705
scene1,30.0,8,1.47,FALSE,8.91,0.494,171.5,1.5344,0.1089,1.5987
scene1,30.0,9,-10.10,FALSE,40.30,1.118,20.4,0.0000,0.1068,-0.0946
scene1,30.0,10,-2.12,FALSE,11.64,0.509,171.7,1.5393,0.0877,1.5688
scene1,30.0,11,5.67,FALSE,108.88,0.695,9.5,0.0000,0.0848,-0.4596
scene1,30.0,12,9.99,FALSE,19.42,0.634,141.5,0.8194,0.1040,0.8263
scene1,30.0,13,-8.17,FALSE,-0.58,1.428,11.7,0.0000,0.1182,0.1211
