scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene1,10.0,0,6.273562895556129,FALSE,13.24,0.173,43.5,0.0000,0.0553,-0.0109
scene1,10.0,1,-7.374405806437239,FALSE,19.95,0.443,175.3,1.6408,0.0382,1.5793
scene1,10.0,2,4.8053878526134115,FALSE,36.89,1.170,11.1,0.0000,0.0475,-0.1370
scene1,10.0,3,5.63253925002816,FALSE,4.20,0.584,42.3,0.0000,0.0465,0.0255
scene1,10.0,4,-7.400045770695172,FALSE,32.24,1.248,52.6,0.0000,0.0101,-0.1511
scene1,10.0,5,9.043302618387132,FALSE,48.74,0.818,173.0,1.5762,0.0732,1.4057
scene1,10.0,6,-8.059915310002218,FALSE,17.49,0.638,21.4,0.0000,0.1470,0.0596
scene1,10.0,7,2.5026458548610737,FALSE,8.93,1.198,115.4,0.3793,0.0371,0.3717
scene1,10.0,8,9.24622019304413,FALSE,31.29,1.871,22.3,0.0000,0.1250,-0.0315
scene1,10.0,9,-6.957601367404411,FALSE,-1.87,1.033,167.2,1.4192,0.0687,1.4972
scene1,10.0,10,1.291497795796551,FALSE,29.69,0.369,178.6,1.7367,0.1121,1.7003
scene1,10.0,11,2.5214328278370495,FALSE,-6.03,0.353,132.6,0.6512,0.0841,0.7655
scene1,10.0,12,0.2909104530832169,FALSE,32.73,0.801,131.4,0.6302,0.1013,0.5678
scene1,10.0,13,3.111481717712503,FALSE,14.54,0.720,61.9,0.0004,0.1512,0.0789
scene1,10.0,14,-0.39445250922953007,FALSE,1.19,1.319,162.1,1.2864,0.0585,1.3390
scene1,10.0,15,-4.751865829379654,FALSE,36.11,0.088,50.2,0.0000,0.0626,-0.1180
scene1,10.0,16,-10.320965253717358,FALSE,-2.24,0.952,5.2,0.0000,0.0844,0.0956
scene1,10.0,17,-7.042077652912982,FALSE,-4.03,0.571,59.5,0.0000,0.1015,0.1216
scene1,10.0,18,-4.658962577207199,FALSE,-4.26,0.745,3.7,0.0000,0.0758,0.0971
scene1,10.0,19,5.144828646541189,FALSE,6.08,0.313,23.7,0.0000,0.0966,0.0662
scene1,30.0,0,-0.12120043566864365,FALSE,18.44,0.368,170.2,1.4986,0.1409,1.5474
