scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene1,10.0,0,6.27,FALSE,4.06,0.573,0.9,0.0000,0.0775,0.0572
scene1,10.0,1,-7.37,FALSE,13.10,0.031,160.1,1.2379,0.0420,1.2144
scene1,10.0,2,4.81,FALSE,34.03,0.072,0.5,0.0000,0.0513,-0.1189
scene1,10.0,3,5.63,FALSE,24.74,0.453,5.5,0.0000,0.1174,-0.0063
scene1,10.0,4,-7.40,FALSE,81.19,1.004,1.0,0.0000,0.0674,-0.3385
scene1,10.0,5,9.04,FALSE,-6.40,0.571,150.9,1.0206,0.0014,1.0541
scene1,10.0,6,-8.06,FALSE,67.90,1.450,105.5,0.2556,0.0672,-0.0166
scene1,10.0,7,2.50,FALSE,-5.41,0.563,169.9,1.4916,0.1345,1.6532
scene1,10.0,8,9.25,FALSE,24.12,1.802,164.8,1.3564,0.1689,1.4047
scene1,10.0,9,-6.96,FALSE,-6.45,0.190,11.2,0.0000,0.0482,0.0805
scene1,10.0,10,1.29,FALSE,44.45,0.277,1.7,0.0000,0.0223,-0.2000
scene1,10.0,11,2.52,FALSE,-4.02,0.926,58.5,0.0000,0.0030,0.0231
scene1,10.0,12,0.29,FALSE,29.66,0.960,30.5,0.0000,0.0266,-0.1217
scene1,10.0,13,3.11,FALSE,5.44,1.376,6.5,0.0000,0.0000,-0.0272
scene1,10.0,14,-0.39,FALSE,25.11,0.994,166.6,1.4041,0.1108,1.3893
scene1,10.0,15,-4.75,FALSE,2.85,0.570,167.4,1.4228,0.0619,1.4705
scene1,10.0,16,-10.32,FALSE,15.22,0.231,61.9,0.0005,0.0798,0.0042
scene1,10.0,17,-7.04,FALSE,73.75,0.755,135.5,0.7041,0.1472,0.4826
scene1,10.0,18,-4.66,FALSE,19.24,0.308,171.6,1.5378,0.0683,1.5099
scene1,10.0,19,5.14,FALSE,2.04,0.039,38.1,0.0000,0.1221,0.1119
