,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
1.000000E-03,3.416026E-03,3.338807E-03,0.000000E+00,-1.226250E-02,-3.423968E-03,3.338807E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-03,3.416026E-03,3.326545E-03,0.000000E+00,-1.226250E-02,-3.423968E-03,3.326545E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-03,3.416026E-03,3.304472E-03,0.000000E+00,-2.207250E-02,-3.423968E-03,3.304472E-03,0.000000E+00,-2.207250E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-03,3.415773E-03,3.294942E-03,-2.527318E-04,-9.530971E-03,-3.424221E-03,3.294941E-03,-2.527318E-04,-9.531530E-03,0.000000E+00,0.000000E+00,-4.685866E-06
5.000000E-03,3.415377E-03,3.292475E-03,-3.958165E-04,-2.466800E-03,-3.424617E-03,3.292474E-03,-3.958166E-04,-2.467141E-03,0.000000E+00,0.000000E+00,-7.542087E-06
6.000000E-03,3.414927E-03,3.291893E-03,-4.502846E-04,-5.821821E-04,-3.425067E-03,3.291892E-03,-4.502846E-04,-5.823246E-04,0.000000E+00,0.000000E+00,-8.735285E-06
7.000000E-03,3.414448E-03,3.291813E-03,-4.792186E-04,-8.004179E-05,-3.425546E-03,3.291811E-03,-4.792186E-04,-8.010960E-05,0.000000E+00,0.000000E+00,-9.303312E-06
8.000000E-03,3.413946E-03,3.291865E-03,-5.014074E-04,5.246737E-05,-3.426048E-03,3.291864E-03,-5.014073E-04,5.242001E-05,0.000000E+00,0.000000E+00,-9.700040E-06
9.000000E-03,3.413424E-03,3.291951E-03,-5.220566E-04,8.614246E-05,-3.426570E-03,3.291950E-03,-5.220566E-04,8.609880E-05,0.000000E+00,0.000000E+00,-1.006575E-05
1.000000E-02,3.412882E-03,3.292045E-03,-5.425380E-04,9.341902E-05,-3.427112E-03,3.292043E-03,-5.425380E-04,9.337502E-05,0.000000E+00,0.000000E+00,-1.043433E-05
1.100000E-02,3.412318E-03,3.292138E-03,-5.631771E-04,9.367165E-05,-3.427676E-03,3.292137E-03,-5.631771E-04,9.362669E-05,0.000000E+00,0.000000E+00,-1.081091E-05
1.200000E-02,3.411734E-03,3.292230E-03,-5.840191E-04,9.208058E-05,-3.428260E-03,3.292229E-03,-5.840191E-04,9.203477E-05,0.000000E+00,0.000000E+00,-1.119462E-05
1.300000E-02,3.411129E-03,3.292320E-03,-6.050368E-04,9.002926E-05,-3.428865E-03,3.292319E-03,-6.050368E-04,8.998279E-05,0.000000E+00,0.000000E+00,-1.158389E-05
1.400000E-02,3.410503E-03,3.292408E-03,-6.261868E-04,8.788584E-05,-3.429491E-03,3.292407E-03,-6.261868E-04,8.783886E-05,0.000000E+00,0.000000E+00,-1.197744E-05
1.500000E-02,3.409856E-03,3.292494E-03,-6.474242E-04,8.574701E-05,-3.430138E-03,3.292492E-03,-6.474242E-04,8.569964E-05,0.000000E+00,0.000000E+00,-1.237423E-05
1.600000E-02,3.409187E-03,3.292578E-03,-6.687067E-04,8.363700E-05,-3.430807E-03,3.292576E-03,-6.687067E-04,8.358934E-05,0.000000E+00,0.000000E+00,-1.277343E-05
1.700000E-02,3.408497E-03,3.292659E-03,-6.899954E-04,8.156076E-05,-3.431497E-03,3.292658E-03,-6.899954E-04,8.151290E-05,0.000000E+00,0.000000E+00,-1.317430E-05
1.800000E-02,3.407786E-03,3.292739E-03,-7.112545E-04,7.951817E-05,-3.432208E-03,3.292737E-03,-7.112545E-04,7.947020E-05,0.000000E+00,0.000000E+00,-1.357620E-05
1.900000E-02,3.407053E-03,3.292816E-03,-7.324515E-04,7.750785E-05,-3.432941E-03,3.292815E-03,-7.324515E-04,7.745981E-05,0.000000E+00,0.000000E+00,-1.397855E-05
2.000000E-02,3.406300E-03,3.292892E-03,-7.535568E-04,7.552812E-05,-3.433694E-03,3.292890E-03,-7.535568E-04,7.548009E-05,0.000000E+00,0.000000E+00,-1.438082E-05
2.100000E-02,3.405525E-03,3.292965E-03,-7.745434E-04,7.357734E-05,-3.434469E-03,3.292964E-03,-7.745434E-04,7.352938E-05,0.000000E+00,0.000000E+00,-1.478256E-05
2.200000E-02,3.404730E-03,3.293037E-03,-7.953869E-04,7.165392E-05,-3.435264E-03,3.293035E-03,-7.953870E-04,7.160608E-05,0.000000E+00,0.000000E+00,-1.518334E-05
2.300000E-02,3.403914E-03,3.293107E-03,-8.160652E-04,6.975638E-05,-3.436080E-03,3.293105E-03,-8.160653E-04,6.970870E-05,0.000000E+00,0.000000E+00,-1.558278E-05
2.400000E-02,3.403077E-03,3.293175E-03,-8.365582E-04,6.788330E-05,-3.436917E-03,3.293173E-03,-8.365582E-04,6.783582E-05,0.000000E+00,0.000000E+00,-1.598054E-05
2.500000E-02,3.402220E-03,3.293241E-03,-8.568478E-04,6.603335E-05,-3.437774E-03,3.293239E-03,-8.568479E-04,6.598611E-05,0.000000E+00,0.000000E+00,-1.637630E-05
2.600000E-02,3.401343E-03,3.293305E-03,-8.769177E-04,6.420529E-05,-3.438651E-03,3.293303E-03,-8.769178E-04,6.415832E-05,0.000000E+00,0.000000E+00,-1.676980E-05
2.700000E-02,3.400447E-03,3.293367E-03,-8.967534E-04,6.239795E-05,-3.439547E-03,3.293365E-03,-8.967535E-04,6.235127E-05,0.000000E+00,0.000000E+00,-1.716079E-05
2.800000E-02,3.399530E-03,3.293428E-03,-9.163418E-04,6.061022E-05,-3.440464E-03,3.293426E-03,-9.163419E-04,6.056387E-05,0.000000E+00,0.000000E+00,-1.754904E-05
2.900000E-02,3.398595E-03,3.293487E-03,-9.356711E-04,5.884107E-05,-3.441399E-03,3.293485E-03,-9.356712E-04,5.879507E-05,0.000000E+00,0.000000E+00,-1.793436E-05
3.000000E-02,3.397640E-03,3.293544E-03,-9.547312E-04,5.708954E-05,-3.442354E-03,3.293542E-03,-9.547313E-04,5.704391E-05,0.000000E+00,0.000000E+00,-1.831656E-05
3.100000E-02,3.396666E-03,3.293599E-03,-9.735128E-04,5.535471E-05,-3.443328E-03,3.293597E-03,-9.735129E-04,5.530947E-05,0.000000E+00,0.000000E+00,-1.869551E-05
3.200000E-02,3.395674E-03,3.293653E-03,-9.920079E-04,5.363575E-05,-3.444320E-03,3.293650E-03,-9.920080E-04,5.359092E-05,0.000000E+00,0.000000E+00,-1.907105E-05
3.300000E-02,3.394664E-03,3.293705E-03,-1.010210E-03,5.193185E-05,-3.445330E-03,3.293702E-03,-1.010210E-03,5.188744E-05,0.000000E+00,0.000000E+00,-1.944306E-05
3.400000E-02,3.393636E-03,3.293755E-03,-1.028112E-03,5.024229E-05,-3.446358E-03,3.293753E-03,-1.028112E-03,5.019831E-05,0.000000E+00,0.000000E+00,-1.981145E-05
3.500000E-02,3.392590E-03,3.293803E-03,-1.045710E-03,4.856636E-05,-3.447404E-03,3.293801E-03,-1.045710E-03,4.852283E-05,0.000000E+00,0.000000E+00,-2.017611E-05
3.600000E-02,3.391527E-03,3.293850E-03,-1.062999E-03,4.690344E-05,-3.448467E-03,3.293848E-03,-1.062999E-03,4.686036E-05,0.000000E+00,0.000000E+00,-2.053697E-05
3.700000E-02,3.390447E-03,3.293896E-03,-1.079975E-03,4.525292E-05,-3.449547E-03,3.293893E-03,-1.079975E-03,4.521031E-05,0.000000E+00,0.000000E+00,-2.089396E-05
3.800000E-02,3.389351E-03,3.293939E-03,-1.096636E-03,4.361426E-05,-3.450643E-03,3.293937E-03,-1.096636E-03,4.357211E-05,0.000000E+00,0.000000E+00,-2.124702E-05
3.900000E-02,3.388238E-03,3.293981E-03,-1.112980E-03,4.198693E-05,-3.451756E-03,3.293979E-03,-1.112980E-03,4.194525E-05,0.000000E+00,0.000000E+00,-2.159611E-05
4.000000E-02,3.387109E-03,3.294022E-03,-1.129004E-03,4.037046E-05,-3.452885E-03,3.294019E-03,-1.129004E-03,4.032927E-05,0.000000E+00,0.000000E+00,-2.194118E-05
4.100000E-02,3.385964E-03,3.294060E-03,-1.144708E-03,3.876442E-05,-3.454030E-03,3.294058E-03,-1.144708E-03,3.872371E-05,0.000000E+00,0.000000E+00,-2.228220E-05
4.200000E-02,3.384804E-03,3.294098E-03,-1.160091E-03,3.716840E-05,-3.455190E-03,3.294095E-03,-1.160092E-03,3.712818E-05,0.000000E+00,0.000000E+00,-2.261916E-05
4.300000E-02,3.383629E-03,3.294133E-03,-1.175154E-03,3.558204E-05,-3.456365E-03,3.294130E-03,-1.175154E-03,3.554230E-05,0.000000E+00,0.000000E+00,-2.295203E-05
4.400000E-02,3.382439E-03,3.294167E-03,-1.189895E-03,3.400498E-05,-3.457555E-03,3.294164E-03,-1.189895E-03,3.396573E-05,0.000000E+00,0.000000E+00,-2.328080E-05
4.500000E-02,3.381235E-03,3.294200E-03,-1.204316E-03,3.243692E-05,-3.458759E-03,3.294197E-03,-1.204316E-03,3.239816E-05,0.000000E+00,0.000000E+00,-2.360547E-05
4.600000E-02,3.380016E-03,3.294230E-03,-1.218418E-03,3.087758E-05,-3.459978E-03,3.294228E-03,-1.218418E-03,3.083931E-05,0.000000E+00,0.000000E+00,-2.392603E-05
4.700000E-02,3.378784E-03,3.294260E-03,-1.232202E-03,2.932669E-05,-3.461210E-03,3.294257E-03,-1.232202E-03,2.928891E-05,0.000000E+00,0.000000E+00,-2.424251E-05
4.800000E-02,3.377538E-03,3.294288E-03,-1.245670E-03,2.778403E-05,-3.462456E-03,3.294285E-03,-1.245670E-03,2.774673E-05,0.000000E+00,0.000000E+00,-2.455489E-05
4.900000E-02,3.376279E-03,3.294314E-03,-1.258824E-03,2.624937E-05,-3.463714E-03,3.294311E-03,-1.258824E-03,2.621256E-05,0.000000E+00,0.000000E+00,-2.486321E-05
5.000000E-02,3.375008E-03,3.294339E-03,-1.271665E-03,2.472254E-05,-3.464986E-03,3.294336E-03,-1.271665E-03,2.468621E-05,0.000000E+00,0.000000E+00,-2.516747E-05
5.100000E-02,3.373724E-03,3.294362E-03,-1.284197E-03,2.320335E-05,-3.466270E-03,3.294359E-03,-1.284197E-03,2.316751E-05,0.000000E+00,0.000000E+00,-2.546769E-05
5.200000E-02,3.372427E-03,3.294383E-03,-1.296421E-03,2.169167E-05,-3.467567E-03,3.294380E-03,-1.296421E-03,2.165631E-05,0.000000E+00,0.000000E+00,-2.576390E-05
5.300000E-02,3.371119E-03,3.294404E-03,-1.308341E-03,2.018736E-05,-3.468875E-03,3.294400E-03,-1.308341E-03,2.015247E-05,0.000000E+00,0.000000E+00,-2.605613E-05
5.400000E-02,3.369799E-03,3.294422E-03,-1.319966E-03,1.869257E-05,-3.470195E-03,3.294419E-03,-1.319966E-03,1.865776E-05,0.000000E+00,0.000000E+00,-2.634769E-05
5.500000E-02,3.368468E-03,3.294440E-03,-1.331329E-03,1.721107E-05,-3.471526E-03,3.294436E-03,-1.331329E-03,1.717636E-05,0.000000E+00,0.000000E+00,-2.663845E-05
5.600000E-02,3.367125E-03,3.294455E-03,-1.342436E-03,1.573788E-05,-3.472869E-03,3.294452E-03,-1.342436E-03,1.570346E-05,0.000000E+00,0.000000E+00,-2.692675E-05
5.700000E-02,3.365772E-03,3.294470E-03,-1.353290E-03,1.427103E-05,-3.474222E-03,3.294466E-03,-1.353290E-03,1.423696E-05,0.000000E+00,0.000000E+00,-2.721214E-05
5.800000E-02,3.364408E-03,3.294482E-03,-1.363892E-03,1.280993E-05,-3.475586E-03,3.294479E-03,-1.363892E-03,1.277623E-05,0.000000E+00,0.000000E+00,-2.749450E-05
5.900000E-02,3.363034E-03,3.294494E-03,-1.374244E-03,1.135440E-05,-3.476960E-03,3.294490E-03,-1.374244E-03,1.132106E-05,0.000000E+00,0.000000E+00,-2.777379E-05
6.000000E-02,3.361649E-03,3.294504E-03,-1.384348E-03,9.904321E-06,-3.478345E-03,3.294500E-03,-1.384348E-03,9.871344E-06,0.000000E+00,0.000000E+00,-2.805002E-05
6.100000E-02,3.360255E-03,3.294512E-03,-1.394208E-03,8.459647E-06,-3.479739E-03,3.294509E-03,-1.394208E-03,8.427034E-06,0.000000E+00,0.000000E+00,-2.832321E-05
6.200000E-02,3.358851E-03,3.294519E-03,-1.403825E-03,7.020336E-06,-3.481143E-03,3.294516E-03,-1.403825E-03,6.988084E-06,0.000000E+00,0.000000E+00,-2.859338E-05
6.300000E-02,3.357438E-03,3.294525E-03,-1.413202E-03,5.586357E-06,-3.482556E-03,3.294521E-03,-1.413202E-03,5.554465E-06,0.000000E+00,0.000000E+00,-2.886053E-05
6.400000E-02,3.356016E-03,3.294529E-03,-1.422343E-03,4.155032E-06,-3.483978E-03,3.294525E-03,-1.422343E-03,4.128648E-06,0.000000E+00,0.000000E+00,-2.908153E-05
6.500000E-02,3.354584E-03,3.294532E-03,-1.431276E-03,2.740008E-06,-3.485409E-03,3.294528E-03,-1.431276E-03,2.708718E-06,0.000000E+00,0.000000E+00,-2.934364E-05
6.600000E-02,3.353144E-03,3.294533E-03,-1.440174E-03,1.369805E-06,-3.486850E-03,3.294529E-03,-1.440174E-03,1.332388E-06,0.000000E+00,0.000000E+00,-2.965706E-05
6.700000E-02,3.351695E-03,3.294533E-03,-1.449194E-03,4.506391E-08,-3.488299E-03,3.294529E-03,-1.449194E-03,3.823713E-09,0.000000E+00,0.000000E+00,-3.000252E-05
6.800000E-02,3.350237E-03,3.294532E-03,-1.458381E-03,-1.261722E-06,-3.489757E-03,3.294528E-03,-1.458381E-03,-1.304366E-06,0.000000E+00,0.000000E+00,-3.035972E-05
6.900000E-02,3.348769E-03,3.294529E-03,-1.467732E-03,-2.567810E-06,-3.491225E-03,3.294525E-03,-1.467732E-03,-2.611125E-06,0.000000E+00,0.000000E+00,-3.072255E-05
7.000000E-02,3.347292E-03,3.294525E-03,-1.477246E-03,-3.879011E-06,-3.492702E-03,3.294522E-03,-1.477246E-03,-3.922837E-06,0.000000E+00,0.000000E+00,-3.108966E-05
7.100000E-02,3.345805E-03,3.294520E-03,-1.486919E-03,-5.197314E-06,-3.494189E-03,3.294516E-03,-1.486919E-03,-5.241621E-06,0.000000E+00,0.000000E+00,-3.146080E-05
7.200000E-02,3.344308E-03,3.294514E-03,-1.496753E-03,-6.523677E-06,-3.495686E-03,3.294510E-03,-1.496753E-03,-6.568463E-06,0.000000E+00,0.000000E+00,-3.183596E-05
7.300000E-02,3.342801E-03,3.294506E-03,-1.506747E-03,-7.858782E-06,-3.497193E-03,3.294502E-03,-1.506747E-03,-7.904050E-06,0.000000E+00,0.000000E+00,-3.221514E-05
7.400000E-02,3.341284E-03,3.294496E-03,-1.516909E-03,-9.200743E-06,-3.498709E-03,3.294493E-03,-1.516909E-03,-9.247293E-06,0.000000E+00,0.000000E+00,-3.260507E-05
7.500000E-02,3.339757E-03,3.294486E-03,-1.527289E-03,-1.053925E-05,-3.500237E-03,3.294482E-03,-1.527289E-03,-1.058720E-05,0.000000E+00,0.000000E+00,-3.300667E-05
7.600000E-02,3.338219E-03,3.294474E-03,-1.537905E-03,-1.188172E-05,-3.501775E-03,3.294470E-03,-1.537905E-03,-1.193052E-05,0.000000E+00,0.000000E+00,-3.341544E-05
7.700000E-02,3.336670E-03,3.294461E-03,-1.548760E-03,-1.323495E-05,-3.503323E-03,3.294457E-03,-1.548760E-03,-1.328446E-05,0.000000E+00,0.000000E+00,-3.383017E-05
7.800000E-02,3.335111E-03,3.294446E-03,-1.559855E-03,-1.460134E-05,-3.504883E-03,3.294442E-03,-1.559855E-03,-1.465153E-05,0.000000E+00,0.000000E+00,-3.425058E-05
7.900000E-02,3.333539E-03,3.294430E-03,-1.571191E-03,-1.598211E-05,-3.506454E-03,3.294426E-03,-1.571191E-03,-1.603297E-05,0.000000E+00,0.000000E+00,-3.467665E-05
8.000000E-02,3.331957E-03,3.294413E-03,-1.582769E-03,-1.737814E-05,-3.508037E-03,3.294409E-03,-1.582770E-03,-1.742969E-05,0.000000E+00,0.000000E+00,-3.510846E-05
8.100000E-02,3.330362E-03,3.294394E-03,-1.594593E-03,-1.879026E-05,-3.509632E-03,3.294390E-03,-1.594593E-03,-1.884250E-05,0.000000E+00,0.000000E+00,-3.554608E-05
