,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
1.000000E-03,3.504921E-03,3.338807E-03,-3.142488E-05,-1.226250E-02,-3.332207E-03,3.338807E-03,-3.358754E-05,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-03,3.504889E-03,3.326545E-03,-3.142488E-05,-1.226250E-02,-3.332240E-03,3.326545E-03,-3.358754E-05,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-03,3.504816E-03,3.304472E-03,-7.332634E-05,-2.207250E-02,-3.332319E-03,3.304472E-03,-7.836938E-05,-2.207250E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-03,3.504741E-03,3.294575E-03,-7.471429E-05,-9.897884E-03,-3.332398E-03,3.294575E-03,-7.984807E-05,-9.897884E-03,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-03,3.504678E-03,3.291813E-03,-6.304557E-05,-2.761779E-03,-3.332466E-03,3.291813E-03,-6.737525E-05,-2.761779E-03,0.000000E+00,0.000000E+00,2.529902E-09
6.000000E-03,3.504625E-03,3.291054E-03,-5.289004E-05,-7.584585E-04,-3.332522E-03,3.291054E-03,-5.651698E-05,-7.584615E-04,0.000000E+00,0.000000E+00,-2.234279E-08
7.000000E-03,3.504579E-03,3.290851E-03,-4.596928E-05,-2.036939E-04,-3.332571E-03,3.290851E-03,-4.912128E-05,-2.036910E-04,0.000000E+00,0.000000E+00,2.271207E-09
8.000000E-03,3.504538E-03,3.290802E-03,-4.190221E-05,-4.826040E-05,-3.332616E-03,3.290802E-03,-4.477436E-05,-4.825986E-05,0.000000E+00,0.000000E+00,6.806602E-09
9.000000E-03,3.504498E-03,3.290799E-03,-3.968416E-05,-3.506781E-06,-3.332659E-03,3.290799E-03,-4.240214E-05,-3.507494E-06,0.000000E+00,0.000000E+00,8.271286E-10
1.000000E-02,3.504459E-03,3.290807E-03,-3.851699E-05,7.757469E-06,-3.332700E-03,3.290807E-03,-4.115400E-05,7.757576E-06,0.000000E+00,0.000000E+00,1.725510E-09
1.100000E-02,3.504421E-03,3.290816E-03,-3.794626E-05,9.751190E-06,-3.332740E-03,3.290816E-03,-4.054319E-05,9.751475E-06,0.000000E+00,0.000000E+00,4.116117E-09
1.200000E-02,3.504384E-03,3.290828E-03,-3.771015E-05,1.168352E-05,-3.332781E-03,3.290828E-03,-4.028943E-05,1.168301E-05,0.000000E+00,0.000000E+00,-2.120828E-10
1.300000E-02,3.504346E-03,3.290839E-03,-3.764292E-05,1.104430E-05,-3.332821E-03,3.290839E-03,-4.021675E-05,1.104452E-05,0.000000E+00,0.000000E+00,1.624045E-09
1.400000E-02,3.504308E-03,3.290849E-03,-3.767849E-05,9.751285E-06,-3.332861E-03,3.290849E-03,-4.025346E-05,9.751612E-06,0.000000E+00,0.000000E+00,4.370264E-09
1.500000E-02,3.504271E-03,3.290860E-03,-3.776233E-05,1.080597E-05,-3.332901E-03,3.290860E-03,-4.034199E-05,1.080550E-05,0.000000E+00,0.000000E+00,3.869047E-10
1.600000E-02,3.504233E-03,3.290870E-03,-3.787068E-05,9.953272E-06,-3.332942E-03,3.290870E-03,-4.045691E-05,9.953517E-06,0.000000E+00,0.000000E+00,2.438526E-09
1.700000E-02,3.504195E-03,3.290878E-03,-3.800618E-05,8.630728E-06,-3.332982E-03,3.290878E-03,-4.059999E-05,8.631071E-06,0.000000E+00,0.000000E+00,5.309488E-09
1.800000E-02,3.504157E-03,3.290888E-03,-3.813437E-05,9.712939E-06,-3.333023E-03,3.290888E-03,-4.073629E-05,9.712486E-06,0.000000E+00,0.000000E+00,1.512944E-09
1.900000E-02,3.504118E-03,3.290897E-03,-3.826903E-05,8.895491E-06,-3.333064E-03,3.290897E-03,-4.087932E-05,8.895760E-06,0.000000E+00,0.000000E+00,3.764683E-09
2.000000E-02,3.504080E-03,3.290905E-03,-3.842389E-05,7.609313E-06,-3.333105E-03,3.290905E-03,-4.104267E-05,7.609674E-06,0.000000E+00,0.000000E+00,6.794437E-09
2.100000E-02,3.504041E-03,3.290913E-03,-3.855281E-05,8.733341E-06,-3.333146E-03,3.290913E-03,-4.118014E-05,8.732914E-06,0.000000E+00,0.000000E+00,3.212790E-09
2.200000E-02,3.504003E-03,3.290921E-03,-3.869042E-05,7.951936E-06,-3.333188E-03,3.290921E-03,-4.132630E-05,7.952234E-06,0.000000E+00,0.000000E+00,5.704948E-09
2.300000E-02,3.503964E-03,3.290928E-03,-3.885223E-05,6.699280E-06,-3.333229E-03,3.290928E-03,-4.149666E-05,6.699665E-06,0.000000E+00,0.000000E+00,8.937150E-09
2.400000E-02,3.503925E-03,3.290936E-03,-3.897516E-05,7.860716E-06,-3.333271E-03,3.290936E-03,-4.162813E-05,7.860319E-06,0.000000E+00,0.000000E+00,5.614936E-09
2.500000E-02,3.503886E-03,3.290942E-03,-3.913916E-05,6.279750E-06,-3.333312E-03,3.290942E-03,-4.180064E-05,6.280201E-06,0.000000E+00,0.000000E+00,9.389538E-09
