id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f20,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f20,velocity_scene2_f30,velocity_scene4_f10,velocity_scene4_f20,velocity_scene4_f30,velocity_scene_wheel_f10,velocity_scene_wheel_f20,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f20,cost_scene1_f30,cost_scene2_f10,cost_scene2_f20,cost_scene2_f30,cost_scene4_f10,cost_scene4_f20,cost_scene4_f30,cost_scene_wheel_f10,cost_scene_wheel_f20,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,progress_scene1_f10,progress_scene1_f20,progress_scene1_f30,progress_scene2_f10,progress_scene2_f20,progress_scene2_f30,progress_scene4_f10,progress_scene4_f20,progress_scene4_f30,progress_scene_wheel_f10,progress_scene_wheel_f20,progress_scene_wheel_f30,best_trial_scene1_f10,best_trial_scene1_f20,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f20,best_trial_scene2_f30,best_trial_scene4_f10,best_trial_scene4_f20,best_trial_scene4_f30,best_trial_scene_wheel_f10,best_trial_scene_wheel_f20,best_trial_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
703fef61,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01176375572725996,0.005432326542538478,3.011486547979945e-06,0.0037728842054036192,2.4867862186253467,0.4908369567187846,0.10992052932513735,0.00016129468147122272,0.48480943809223176,4.647126778106082,0.5001055339059599,1.3242035837925887,5.372194690086089e-10,29.322224226856065,4.205373401219449e-05,0.003688862115971342,0.5467934358961211
0050893c,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3989299599124329,0.0028754305959368637,3.107742575856264e-05,0.0019970664111687566,2.219484260993437,0.4947205654391822,0.23583543454729194,1.4557173592413084e-05,0.5656814749429299,3.5472855812433237,1.303576533384627,0.5117323869110422,2.0212494857985175e-09,29.936924734919067,9.87970217109578e-06,0.001485949921619722,0.6138597769131879
740469e8,1000000.0,1.6,0.009104290617435232,0.0,-0.00032967309020310367,0.0,2500001.058327076,3000000.0,2500003.646286015,3000000.0,0.0,0.0,0.027312871852305697,0.0,0.0,0.0,0.0,-0.000989019270609311,0.0,0.0,0.0,0.0,1000000.0,1000000.0,500001.05832707626,1000000.0,1000000.0,1000000.0,1000000.0,500003.6462860148,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.022604395929664123,0.0,0.0,0.0,0.0,0.010595575329616412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04987239097436103,0.0,0.0,0.0,0.0,0.0,0.0,28.841847962176345,0.0,0.0,0.0,0.0,7.7334671466494225,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024441931822848015,0.006436048279481231,2.3659566845784983e-05,0.007041248473218816,1.680535791347125,0.4745999619335129,0.39265032967921176,5.351274656248518e-05,0.5201488655273128,4.738440415671024,0.9510924208350054,1.0904372864258833,4.5852150348333655e-10,30.62835385251066,5.752306868910793e-06,0.002563014383677154,0.6808591950608216
0284194f,1000000.0,1.6,0.012965268099450747,0.000152255390923981,-0.0064441648256200355,0.15627277549895938,1000009.4957380358,20.41796622107443,500020.6658796711,1000337.6799155328,0.0,0.009683228883128257,0.029212575415223978,-0.0013295537608506655,-0.000915374317053657,0.0027016942506762655,-0.016362732020944674,-0.002212676305190523,-0.0007570861507249104,0.07019778687324736,0.39862053962363075,0.0,1000000.0,4.470341314642741,5.025396721094921,7.249149398625047,7.151674848798349,6.017141973651032,9.73392005141461,7.296056299013273,500003.6359033207,19.83926463516594,317.840650897611,1000000.0,0.0,0.006264266013573083,0.019339310290441128,0.009026584339120482,0.014585448018525654,0.013458228395589425,0.001303568479373721,0.002641464444232102,6.16231043494217e-06,0.027455733302443164,0.005508911303908599,0.0,0.0,0.08423685633169312,0.07298181360179029,0.0,0.04806951368991565,0.029834509429804736,0.07669311626046768,0.08035956725780408,0.05088450156352437,0.0571835390726059,0.04076833407037542,0.0,0.0,175.4006698425373,8.834048890985637,4.792262018429637,87.40064756042815,89.26006084376056,91.03036547682117,90.34402581710711,2.091919180619979,48.066649986080094,156.2334911276893,0.0,1.0,0.5,0.4975675858832192,1.0,1.0,0.5936374908680755,1.0,1.0,1.0,0.0,0.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2831963151345367,0.006649411271590921,6.302451826025337e-05,0.005513930963246465,2.563441712340729,0.6998387383011304,0.5236539522693897,0.00014023520944824616,0.4023496386748282,4.455626774345244,0.6273389957427091,1.4976855069698178,1.1866723166684713e-09,29.331703337326307,3.262275630286203e-06,0.0019313266458459578,0.8569670039126831
a9b32fb4,1000000.0,1.6,0.06091356004907053,0.0,0.014162164305273214,0.011923773299257201,1000114.3492967816,3000000.0,2000001.6286239168,1500003.5961785417,0.0,-0.0006341756251384831,0.18337485577235008,0.0,0.0,0.0,0.018506806916598707,0.023979685999220936,0.0,0.010049340439609152,0.025721979458162448,0.0,1000000.0,7.216908452971252,107.13238832868788,1000000.0,1000000.0,1000000.0,500000.61865693505,500001.00996698154,1000000.0,500000.4446595248,3.1515190168682947,1000000.0,0.0,0.01268304497102687,0.00971440568208818,0.0,0.0,0.0,0.052384909075018485,0.0021339538902298283,0.0,0.02272080065628484,0.010717083829494418,0.0,0.0,0.08150897256001163,0.0694162810233872,0.0,0.0,0.0,0.02982511336612547,0.0,0.0,0.039670082119912665,0.08000366028308714,0.0,0.0,177.68361084961307,63.17095637071326,0.0,0.0,0.0,6.33088105064698,7.636677616721321,0.0,36.52875412408259,8.313958400572627,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.6432228114485096,1.0,0.5,0.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12965132592047887,0.00440954256696339,3.740144925115205e-05,0.002398898570165392,2.2272637173664775,0.37720692028058617,0.8208786071876428,0.0006189053073219674,0.8154921054281207,4.241049748218919,0.9564686727587399,0.9428313646647972,7.648844970030432e-09,29.022599132846324,7.233175651755312e-05,0.0030135680907889886,0.8883623482660425
6a522f07,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15466705933639646,0.0017534612679889865,2.9694169337149663e-05,0.0008812276979862146,8.754964593019197,0.16866353876493567,0.30635006410050813,0.0011569282033163251,0.3652486623503528,4.379845796433312,0.8117120266312268,1.0481527569921387,3.0772450297082195e-10,30.233216005506492,6.368094893186273e-05,0.0016128483447042333,0.4233128819469772
40ea91a0,1000000.0,1.6,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18299498069111522,0.005751810342450193,8.978457687923273e-06,0.016215600196930885,1.6165253331603107,0.5963078903305972,0.09174569612717409,9.309240636320319e-05,0.7492663021163812,3.804590171512374,0.626259624163648,0.5366733018343014,4.714660185296589e-10,30.014133825297836,7.855831031316124e-06,0.0031362453932536867,0.6333357293836513
5e6dea98,1000000.0,1.6,0.009310877319213354,0.06917361010435703,0.001426055036959091,0.021291932234262012,1000005.9498021626,2000001.7412081526,2000005.6731690266,0.737467799724629,0.0,0.011031126465438556,0.01690150549220151,0.0,0.0,0.20752083031307111,0.0,0.0,0.004278165110877273,-0.0013863016256492723,-0.0008805762626896839,0.066142674591125,1000000.0,4.509848299696661,1.4399538628780966,1000000.0,1000000.0,1.7412081525578214,1000000.0,1000000.0,5.6731690265434676,0.003913102543050927,0.0020763551992758365,0.7314783419823022,0.0,0.0370957186844536,0.29106538399835225,0.0,0.0,0.007376440069496868,0.0,0.0,0.06425264031567997,0.008327059163335603,0.005642698525304002,0.0673126744644953,0.0,0.09136728789916748,0.07492083669426064,0.0,0.0,0.06405648672424144,0.0,0.0,0.08002555526298177,0.0,0.0,0.07421413558656857,0.0,12.376112978811967,86.73589520574477,0.0,0.0,51.628768115427114,0.0,0.0,54.80110252430841,0.03283601549754306,0.326308563032104,98.41257722950874,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07609302584082255,0.012436421626900373,1.8660300587226067e-05,0.0012628285000650817,3.4495809745950683,0.5698021295377115,0.12457694962748622,0.0003815354644282756,0.17961424262493098,5.3916310089493305,0.7656936811031314,1.2609085482027935,4.9485701127802635e-09,30.10953375675179,1.873927256982795e-05,0.0015367009867594415,0.6233824102811811
81917c7c,1000000.0,1.6,-0.0005190722768548823,-0.0005313705328867641,-7.486165332273692e-05,0.04088298737083256,2500004.083058717,1000014.2036890612,20.658813787722668,1000007.73176195,0.0,0.0,-0.001557216830564647,0.0,-0.0008195152238670358,-0.0007745963747932563,-0.000828074405161699,0.001026402619282297,-0.00042291317408880866,0.05405056874358967,0.02169480124249968,0.046903592126408336,1000000.0,1000000.0,500004.08305871725,1000000.0,7.092212033773487,7.1114770274092916,7.047154849290613,6.564171236551591,7.047487701880463,5.847987256333857,500001.88373642357,500000.00003827,0.0,0.0,0.0035587834369005316,0.0,0.009337546193253055,0.008702348284770884,0.0015012281583715503,0.005548027883920042,0.01614419253211456,0.01635808687931647,0.02322519921134742,0.004373520648325961,0.0,0.0,0.09044203325701182,0.0,0.0,0.05316322604928298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.097391064350368,0.0,35.30816691066237,22.00598035766304,5.8170772440763425,6.002167270516466,53.896578544061754,135.6094333533391,28.36446171216376,73.94729171646789,1.0,1.0,1.0,1.0,1.0,1.0,0.9646373612405332,0.8312039318511065,1.0,0.0,0.5,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1571098326605085,0.00020188267190119564,2.4405574513723664e-05,0.007850931548062979,1.4628123766543868,0.2977474756763268,0.21665366779911166,0.0002525502387241734,0.06264569025419797,5.138836542672727,0.6049223166531627,1.3627789668143058,4.2250991474217887e-10,30.365226125362426,1.7632515255867954e-05,0.0004874144283956811,0.4498713954254556
53a34477,1000000.0,1.6,0.0532182654346072,0.02178490436727787,-0.006073900505928989,0.003695716676123217,86.27402140560278,12.523173195565532,1000016.1335122716,1000033.4083490222,0.014344033757861505,0.021826942330595345,0.12348382021536475,0.01152476369794488,0.005029627157880281,0.04880032224600845,-0.0009110826693515151,0.017318117531854454,-0.034628736380289904,0.0679693705955306,-0.06577653641372785,0.008894315846566908,3.2253427302544964,1.5527393343540683,81.49593934099421,4.451813926829652,5.583481505592667,2.4878777631432123,500003.66602002195,3.5923657995412484,500008.87512645003,14.386569908521846,500017.3426256488,500001.67915346485,0.05118840942864854,0.12538092899459863,0.06172739224529362,0.08422613226530871,0.15660781670946022,0.052651316721836684,0.004085658293478999,0.1572557031918998,0.023638352614242554,0.14029234955142855,0.01225866235487684,0.0323951792029742,0.061043946834537385,0.0867497040822985,0.06629878698042722,0.07718633457532201,0.07790685489330308,0.08376388668654014,0.03712129476843569,0.069929301290082,0.03076915304782796,0.07549201324139734,0.036114128808621526,0.035363510748166925,155.69488637830239,48.047735048184045,103.67454316997468,64.59800298314411,99.26956517005297,90.45246767325696,46.316677624231666,122.20395739303383,30.859509400856663,57.64516551977841,68.73352112530723,1.580800749323484,0.42440389030122255,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12105318024858247,0.0015315987081660307,4.455194380676011e-06,0.0013831526393737212,8.29821350126983,0.03292154681039448,0.38333196161303035,0.0008357399225481027,0.7987879731983928,4.603934275624513,1.1075249712512005,0.9347179061192497,1.5303148204041857e-09,29.91706756218591,2.7393334249826968e-05,0.004103962585180802,0.40359529410909983
