scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene1,10.0,0,6.273562895556129,FALSE,-0.05,0.000,0.0,0.0000,0.0000,0.0002
scene1,10.0,1,-7.374405806437239,FALSE,0.01,0.023,3.4,0.0000,0.0000,-0.0001
scene1,10.0,2,4.8053878526134115,FALSE,6.69,0.254,24.9,0.0000,0.0000,-0.0334
scene1,10.0,3,5.63253925002816,FALSE,1.54,0.034,0.1,0.0000,0.0000,-0.0077
scene1,10.0,4,-7.400045770695172,FALSE,-0.00,0.008,0.1,0.0000,0.0000,0.0000
scene1,10.0,5,9.043302618387132,FALSE,0.45,0.006,0.2,0.0000,0.0000,-0.0023
scene1,10.0,6,-8.059915310002218,FALSE,2.41,0.124,2.8,0.0000,0.0000,-0.0121
scene1,10.0,7,2.5026458548610737,FALSE,2.75,0.214,5.5,0.0000,0.0000,-0.0137
scene1,10.0,8,9.24622019304413,FALSE,1.74,0.034,17.6,0.0000,0.0000,-0.0087
scene1,10.0,9,-6.957601367404411,FALSE,5.37,0.188,17.6,0.0000,0.0000,-0.0268
scene1,10.0,10,1.291497795796551,FALSE,6.39,0.148,1.3,0.0000,0.0000,-0.0319
scene1,10.0,11,2.5214328278370495,FALSE,4.69,0.290,10.4,0.0000,0.0000,-0.0234
scene1,10.0,12,0.2909104530832169,FALSE,8.86,0.050,0.3,0.0000,0.0000,-0.0443
scene1,10.0,13,3.111481717712503,FALSE,-0.05,0.011,1.1,0.0000,0.0000,0.0002
scene1,10.0,14,-0.39445250922953007,FALSE,3.72,0.039,3.5,0.0000,0.0000,-0.0186
scene1,10.0,15,-4.751865829379654,FALSE,5.15,0.283,4.7,0.0000,0.0000,-0.0257
scene1,10.0,16,-10.320965253717358,FALSE,5.77,0.124,2.3,0.0000,0.0000,-0.0288
scene1,10.0,17,-7.042077652912982,FALSE,1.16,0.012,0.7,0.0000,0.0000,-0.0058
scene1,10.0,18,-4.658962577207199,FALSE,3.26,0.164,15.2,0.0000,0.0000,-0.0163
scene1,10.0,19,5.144828646541189,FALSE,0.82,0.019,4.2,0.0000,0.0000,-0.0041
scene1,30.0,0,-0.12120043566864365,FALSE,-0.14,0.026,0.0,0.0000,0.0000,0.0007
