,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
1.000000E-03,3.469436E-03,3.338807E-03,0.000000E+00,-1.226250E-02,-3.369604E-03,3.338807E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-03,3.469436E-03,3.326545E-03,0.000000E+00,-1.226250E-02,-3.369604E-03,3.326545E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-03,3.469436E-03,3.304472E-03,0.000000E+00,-2.207250E-02,-3.369604E-03,3.304472E-03,0.000000E+00,-2.207250E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-03,3.469436E-03,3.272590E-03,0.000000E+00,-3.188250E-02,-3.369604E-03,3.272590E-03,0.000000E+00,-3.188250E-02,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-03,3.469436E-03,3.230898E-03,0.000000E+00,-4.169250E-02,-3.369604E-03,3.230898E-03,0.000000E+00,-4.169250E-02,0.000000E+00,0.000000E+00,0.000000E+00
6.000000E-03,3.469436E-03,3.179395E-03,0.000000E+00,-5.150250E-02,-3.369604E-03,3.179395E-03,0.000000E+00,-5.150250E-02,0.000000E+00,0.000000E+00,0.000000E+00
7.000000E-03,3.469436E-03,3.118083E-03,0.000000E+00,-6.131250E-02,-3.369604E-03,3.118083E-03,0.000000E+00,-6.131250E-02,0.000000E+00,0.000000E+00,0.000000E+00
8.000000E-03,3.469436E-03,3.046960E-03,0.000000E+00,-7.112250E-02,-3.369604E-03,3.046960E-03,0.000000E+00,-7.112250E-02,0.000000E+00,0.000000E+00,0.000000E+00
9.000000E-03,3.469436E-03,2.966028E-03,0.000000E+00,-8.093250E-02,-3.369604E-03,2.966028E-03,0.000000E+00,-8.093250E-02,0.000000E+00,0.000000E+00,0.000000E+00
1.000000E-02,3.469436E-03,2.875285E-03,0.000000E+00,-9.074250E-02,-3.369604E-03,2.875285E-03,0.000000E+00,-9.074250E-02,0.000000E+00,0.000000E+00,0.000000E+00
1.100000E-02,3.469436E-03,2.774732E-03,0.000000E+00,-1.005525E-01,-3.369604E-03,2.774732E-03,0.000000E+00,-1.005525E-01,0.000000E+00,0.000000E+00,0.000000E+00
1.200000E-02,3.469436E-03,2.664370E-03,0.000000E+00,-1.103625E-01,-3.369604E-03,2.664370E-03,0.000000E+00,-1.103625E-01,0.000000E+00,0.000000E+00,0.000000E+00
1.300000E-02,3.469355E-03,2.612069E-03,-8.055831E-05,-5.230080E-02,-3.369685E-03,2.612026E-03,-8.055817E-05,-5.234449E-02,0.000000E+00,0.000000E+00,-3.659873E-04
1.400000E-02,3.469234E-03,2.594775E-03,-1.214021E-04,-1.729464E-02,-3.369806E-03,2.594692E-03,-1.214017E-04,-1.733377E-02,0.000000E+00,0.000000E+00,-6.938441E-04
1.500000E-02,3.469098E-03,2.589778E-03,-1.364543E-04,-4.996763E-03,-3.369943E-03,2.589672E-03,-1.364540E-04,-5.019432E-03,0.000000E+00,0.000000E+00,-8.837665E-04
1.600000E-02,3.468957E-03,2.589080E-03,-1.409577E-04,-6.976039E-04,-3.370084E-03,2.588963E-03,-1.409576E-04,-7.093218E-04,0.000000E+00,0.000000E+00,-9.819363E-04
1.700000E-02,3.468816E-03,2.589858E-03,-1.404896E-04,7.775788E-04,-3.370224E-03,2.589734E-03,-1.404894E-04,7.713506E-04,0.000000E+00,0.000000E+00,-1.034114E-03
1.800000E-02,3.468674E-03,2.591115E-03,-1.422147E-04,1.256907E-03,-3.370367E-03,2.590988E-03,-1.422146E-04,1.253379E-03,0.000000E+00,0.000000E+00,-1.063675E-03
1.900000E-02,3.468532E-03,2.592503E-03,-1.416672E-04,1.388122E-03,-3.370508E-03,2.592373E-03,-1.416671E-04,1.385505E-03,0.000000E+00,0.000000E+00,-1.085601E-03
2.000000E-02,3.468391E-03,2.593902E-03,-1.413223E-04,1.398888E-03,-3.370650E-03,2.593770E-03,-1.413222E-04,1.396592E-03,0.000000E+00,0.000000E+00,-1.104838E-03
2.100000E-02,3.468249E-03,2.595271E-03,-1.415513E-04,1.369500E-03,-3.370791E-03,2.595137E-03,-1.415512E-04,1.367294E-03,0.000000E+00,0.000000E+00,-1.123321E-03
2.200000E-02,3.468107E-03,2.596599E-03,-1.422431E-04,1.328139E-03,-3.370933E-03,2.596463E-03,-1.422430E-04,1.325918E-03,0.000000E+00,0.000000E+00,-1.141928E-03
2.300000E-02,3.467964E-03,2.597884E-03,-1.432392E-04,1.284537E-03,-3.371077E-03,2.597745E-03,-1.432391E-04,1.282250E-03,0.000000E+00,0.000000E+00,-1.161084E-03
2.400000E-02,3.467819E-03,2.599126E-03,-1.444153E-04,1.241875E-03,-3.371221E-03,2.598985E-03,-1.444153E-04,1.239507E-03,0.000000E+00,0.000000E+00,-1.180919E-03
2.500000E-02,3.467674E-03,2.600327E-03,-1.456754E-04,1.201104E-03,-3.371367E-03,2.600183E-03,-1.456754E-04,1.198655E-03,0.000000E+00,0.000000E+00,-1.201432E-03
2.600000E-02,3.467527E-03,2.601489E-03,-1.469523E-04,1.162413E-03,-3.371514E-03,2.601343E-03,-1.469523E-04,1.159890E-03,0.000000E+00,0.000000E+00,-1.222570E-03
2.700000E-02,3.467379E-03,2.602615E-03,-1.482032E-04,1.125745E-03,-3.371662E-03,2.602466E-03,-1.482031E-04,1.123155E-03,0.000000E+00,0.000000E+00,-1.244263E-03
2.800000E-02,3.467232E-03,2.603707E-03,-1.463838E-04,1.091630E-03,-3.371808E-03,2.603555E-03,-1.463837E-04,1.088649E-03,0.000000E+00,0.000000E+00,-1.269241E-03
2.900000E-02,3.467086E-03,2.604765E-03,-1.465235E-04,1.058440E-03,-3.371955E-03,2.604611E-03,-1.465234E-04,1.055640E-03,0.000000E+00,0.000000E+00,-1.292702E-03
3.000000E-02,3.466942E-03,2.605793E-03,-1.438181E-04,1.027527E-03,-3.372099E-03,2.605635E-03,-1.438179E-04,1.024457E-03,0.000000E+00,0.000000E+00,-1.318425E-03
3.100000E-02,3.466797E-03,2.606790E-03,-1.447861E-04,9.973509E-04,-3.372243E-03,2.606630E-03,-1.447860E-04,9.943979E-04,0.000000E+00,0.000000E+00,-1.343165E-03
3.200000E-02,3.466654E-03,2.607759E-03,-1.432608E-04,9.689401E-04,-3.372387E-03,2.607596E-03,-1.432607E-04,9.659036E-04,0.000000E+00,0.000000E+00,-1.368604E-03
