,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
1.000000E-03,3.368984E-03,3.338807E-03,-6.569033E-05,-1.226250E-02,-3.470033E-03,3.338807E-03,-6.318082E-05,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-03,3.368918E-03,3.326545E-03,-6.569033E-05,-1.226250E-02,-3.470096E-03,3.326545E-03,-6.318082E-05,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-03,3.368765E-03,3.304472E-03,-1.532836E-04,-2.207250E-02,-3.470243E-03,3.304472E-03,-1.474156E-04,-2.207250E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-03,3.368524E-03,3.272590E-03,-2.408915E-04,-3.188250E-02,-3.470475E-03,3.272590E-03,-2.316352E-04,-3.188250E-02,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-03,3.368196E-03,3.230897E-03,-3.285226E-04,-4.169250E-02,-3.470791E-03,3.230897E-03,-3.158311E-04,-4.169250E-02,0.000000E+00,0.000000E+00,0.000000E+00
6.000000E-03,3.367780E-03,3.179395E-03,-4.161851E-04,-5.150250E-02,-3.471191E-03,3.179395E-03,-3.999944E-04,-5.150250E-02,0.000000E+00,0.000000E+00,0.000000E+00
7.000000E-03,3.367276E-03,3.118082E-03,-5.038876E-04,-6.131250E-02,-3.471675E-03,3.118082E-03,-4.841167E-04,-6.131250E-02,0.000000E+00,0.000000E+00,0.000000E+00
8.000000E-03,3.366684E-03,3.046960E-03,-5.916383E-04,-7.112250E-02,-3.472243E-03,3.046960E-03,-5.681891E-04,-7.112250E-02,0.000000E+00,0.000000E+00,0.000000E+00
9.000000E-03,3.366005E-03,2.966027E-03,-6.794457E-04,-8.093250E-02,-3.472895E-03,2.966027E-03,-6.522031E-04,-8.093250E-02,0.000000E+00,0.000000E+00,0.000000E+00
1.000000E-02,3.365237E-03,2.875285E-03,-7.673181E-04,-9.074250E-02,-3.473631E-03,2.875285E-03,-7.361499E-04,-9.074250E-02,0.000000E+00,0.000000E+00,0.000000E+00
1.100000E-02,3.364382E-03,2.774732E-03,-8.552639E-04,-1.005525E-01,-3.474451E-03,2.774732E-03,-8.200208E-04,-1.005525E-01,0.000000E+00,0.000000E+00,0.000000E+00
1.200000E-02,3.363439E-03,2.664370E-03,-9.432915E-04,-1.103625E-01,-3.475355E-03,2.664370E-03,-9.038072E-04,-1.103625E-01,0.000000E+00,0.000000E+00,0.000000E+00
1.300000E-02,3.363010E-03,2.607062E-03,-4.285952E-04,-5.730774E-02,-3.475766E-03,2.607062E-03,-4.104952E-04,-5.730762E-02,0.000000E+00,0.000000E+00,9.327186E-07
1.400000E-02,3.362870E-03,2.585171E-03,-1.403313E-04,-2.189101E-02,-3.475900E-03,2.585172E-03,-1.345148E-04,-2.189087E-02,0.000000E+00,0.000000E+00,2.113067E-06
1.500000E-02,3.362821E-03,2.577516E-03,-4.844886E-05,-7.655547E-03,-3.475947E-03,2.577516E-03,-4.658592E-05,-7.655447E-03,0.000000E+00,0.000000E+00,2.953135E-06
1.600000E-02,3.362802E-03,2.575501E-03,-1.927572E-05,-2.014394E-03,-3.475966E-03,2.575502E-03,-1.867969E-05,-2.014334E-03,0.000000E+00,0.000000E+00,3.455410E-06
1.700000E-02,3.362792E-03,2.575661E-03,-1.010966E-05,1.596064E-04,-3.475975E-03,2.575661E-03,-9.919025E-06,1.596393E-04,0.000000E+00,0.000000E+00,3.730806E-06
1.800000E-02,3.362785E-03,2.576615E-03,-7.317407E-06,9.544981E-04,-3.475983E-03,2.576616E-03,-7.256443E-06,9.545153E-04,0.000000E+00,0.000000E+00,3.874904E-06
1.900000E-02,3.362778E-03,2.577823E-03,-6.550702E-06,1.207973E-03,-3.475989E-03,2.577824E-03,-6.531206E-06,1.207982E-03,0.000000E+00,0.000000E+00,3.950512E-06
2.000000E-02,3.362772E-03,2.579076E-03,-6.424080E-06,1.252900E-03,-3.475996E-03,2.579077E-03,-6.417846E-06,1.252906E-03,0.000000E+00,0.000000E+00,3.994209E-06
2.100000E-02,3.362765E-03,2.580297E-03,-6.496508E-06,1.220602E-03,-3.476002E-03,2.580297E-03,-6.494515E-06,1.220606E-03,0.000000E+00,0.000000E+00,4.025622E-06
2.200000E-02,3.362759E-03,2.581459E-03,-6.627658E-06,1.162413E-03,-3.476009E-03,2.581460E-03,-6.627020E-06,1.162416E-03,0.000000E+00,0.000000E+00,4.054512E-06
2.300000E-02,3.362752E-03,2.582557E-03,-6.772829E-06,1.098057E-03,-3.476016E-03,2.582558E-03,-6.772625E-06,1.098061E-03,0.000000E+00,0.000000E+00,4.085289E-06
2.400000E-02,3.362745E-03,2.583592E-03,-6.708294E-06,1.034847E-03,-3.476022E-03,2.583593E-03,-6.708229E-06,1.034844E-03,0.000000E+00,0.000000E+00,4.060808E-06
2.500000E-02,3.362738E-03,2.584567E-03,-6.639534E-06,9.752191E-04,-3.476029E-03,2.584568E-03,-6.639513E-06,9.752117E-04,0.000000E+00,0.000000E+00,3.998933E-06
2.600000E-02,3.362732E-03,2.585487E-03,-6.787539E-06,9.197845E-04,-3.476036E-03,2.585488E-03,-6.787533E-06,9.197828E-04,0.000000E+00,0.000000E+00,3.985249E-06
2.700000E-02,3.362725E-03,2.586356E-03,-6.935764E-06,8.684894E-04,-3.476043E-03,2.586356E-03,-6.935761E-06,8.684923E-04,0.000000E+00,0.000000E+00,4.009355E-06
2.800000E-02,3.362718E-03,2.587177E-03,-7.079094E-06,8.210399E-04,-3.476050E-03,2.587177E-03,-7.079093E-06,8.210454E-04,0.000000E+00,0.000000E+00,4.056090E-06
2.900000E-02,3.362711E-03,2.587954E-03,-6.998300E-06,7.771040E-04,-3.476057E-03,2.587954E-03,-6.998300E-06,7.771038E-04,0.000000E+00,0.000000E+00,4.053759E-06
3.000000E-02,3.362704E-03,2.588690E-03,-6.910216E-06,7.363230E-04,-3.476064E-03,2.588691E-03,-6.910216E-06,7.363184E-04,0.000000E+00,0.000000E+00,4.014671E-06
3.100000E-02,3.362697E-03,2.589389E-03,-7.045351E-06,6.983939E-04,-3.476071E-03,2.589389E-03,-7.045351E-06,6.983950E-04,0.000000E+00,0.000000E+00,4.024078E-06
3.200000E-02,3.362689E-03,2.590052E-03,-7.179780E-06,6.630600E-04,-3.476078E-03,2.590052E-03,-7.179780E-06,6.630654E-04,0.000000E+00,0.000000E+00,4.070026E-06
3.300000E-02,3.362682E-03,2.590682E-03,-7.308466E-06,6.300794E-04,-3.476085E-03,2.590682E-03,-7.308466E-06,6.300873E-04,0.000000E+00,0.000000E+00,4.136673E-06
