scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene1,10.0,0,1.64373629133578,FALSE,35.43,0.648,13.8,0.0000,0.0000,-0.1772
scene1,10.0,1,-0.36672936148768626,FALSE,32.84,0.279,32.6,0.0000,0.0000,-0.1642
scene1,10.0,2,2.1515875194682947,FALSE,34.43,0.439,12.1,0.0000,0.0000,-0.1722
scene1,10.0,3,1.1842081743561832,FALSE,34.40,0.366,10.0,0.0000,0.0000,-0.1720
scene1,10.0,4,-2.434935912674103,FALSE,35.19,0.495,4.3,0.0000,0.0000,-0.1759
scene1,30.0,0,2.8537341098205355,FALSE,86.11,0.078,23.3,0.0000,0.0000,-0.4305
scene1,30.0,1,1.5668382119421176,FALSE,74.86,0.183,141.2,0.8137,0.0542,0.4936
scene1,30.0,2,1.7163858316617229,FALSE,60.20,0.113,29.9,0.0000,0.0000,-0.3010
scene1,30.0,3,-2.2313182039467248,FALSE,43.38,1.249,2.2,0.0000,0.0000,-0.2169
scene1,30.0,4,-0.29768437262659697,FALSE,41.72,0.096,30.7,0.0000,0.0000,-0.2086
scene1,50.0,0,-0.7752118546045126,FALSE,47.45,0.392,16.1,0.0000,0.0000,-0.2373
scene1,50.0,1,2.5605899330916113,FALSE,39.65,0.497,3.0,0.0000,0.0000,-0.1982
scene1,50.0,2,0.8631907204839874,FALSE,40.04,0.751,157.9,1.1844,0.0222,1.0065
scene1,50.0,3,1.9365696796249796,FALSE,73.48,1.327,170.9,1.5177,0.0105,1.1608
scene1,50.0,4,-0.33951480703601306,FALSE,82.49,0.033,151.9,1.0435,0.0187,0.6497
scene2,10.0,0,-1.6365676692913387,FALSE,75.68,0.863,6.3,0.0000,0.0000,-0.3784
scene2,10.0,1,0.32750872209500903,FALSE,53.05,0.697,28.7,0.0000,0.0000,-0.2652
scene2,10.0,2,-2.617096463374948,FALSE,70.39,0.664,1.5,0.0000,0.0000,-0.3520
scene2,10.0,3,1.9657870319554922,FALSE,72.54,0.388,3.2,0.0000,0.0000,-0.3627
scene2,10.0,4,0.7899863947323891,FALSE,77.21,0.507,11.9,0.0000,0.0000,-0.3861
scene2,30.0,0,1.5485264405122428,FALSE,118.34,0.247,29.5,0.0000,0.0000,-0.5917
scene2,30.0,1,-0.8728441912207898,FALSE,108.33,0.869,39.0,0.0000,0.0000,-0.5417
scene2,30.0,2,2.82418814636942,FALSE,110.45,0.520,22.6,0.0000,0.0000,-0.5523
scene2,30.0,3,2.358726727933186,FALSE,114.26,0.168,37.5,0.0000,0.0000,-0.5713
scene2,30.0,4,1.6703009824425714,FALSE,109.28,0.625,40.7,0.0000,0.0000,-0.5464
scene2,50.0,0,-1.8321677528881946,FALSE,25.67,0.731,13.4,0.0000,0.0000,-0.1284
scene2,50.0,1,-0.19967397763779499,FALSE,122.69,1.487,26.4,0.0000,0.0000,-0.6135
scene2,50.0,2,-2.7371774052766273,FALSE,105.48,1.716,16.9,0.0000,0.0000,-0.5274
scene2,50.0,3,-2.0742630475947132,FALSE,29.43,0.474,9.4,0.0000,0.0000,-0.1471
scene2,50.0,4,1.0982937194547278,FALSE,121.12,0.816,11.2,0.0000,0.0000,-0.6056
scene4,10.0,0,1.4685729354469026,FALSE,92.82,0.378,27.4,0.0000,0.0000,-0.4641
scene4,10.0,1,2.80505839460526,FALSE,93.53,0.282,11.9,0.0000,0.0000,-0.4677
scene4,10.0,2,-1.0450478511710883,FALSE,96.36,0.046,45.8,0.0000,0.0000,-0.4818
scene4,10.0,3,-0.7772417637907868,FALSE,93.80,0.338,34.0,0.0000,0.0000,-0.4690
scene4,10.0,4,-0.18266513234515247,FALSE,90.04,0.021,4.9,0.0000,0.0000,-0.4502
scene4,30.0,0,-1.863171845494286,FALSE,164.74,0.822,15.4,0.0000,0.0000,-0.8237
scene4,30.0,1,-2.22047096798717,FALSE,32.97,0.916,31.9,0.0000,0.0000,-0.1649
scene4,30.0,2,-0.14577044264439762,FALSE,160.91,1.282,7.8,0.0000,0.0000,-0.8046
scene4,30.0,3,-1.6385439056946953,FALSE,28.86,0.578,3.2,0.0000,0.0000,-0.1443
scene4,30.0,4,1.0188839680950623,FALSE,27.01,0.086,22.2,0.0000,0.0000,-0.1351
scene4,50.0,0,-0.37708848676601575,FALSE,189.19,1.522,5.6,0.0000,0.0000,-0.9459
scene4,50.0,1,1.9960691763470242,FALSE,60.64,0.218,23.7,0.0000,0.0000,-0.3032
scene4,50.0,2,1.2015906120134943,FALSE,159.06,1.285,11.4,0.0000,0.1501,-0.6452
scene4,50.0,3,-1.1258001517077538,FALSE,215.27,1.823,42.9,0.0000,0.0000,-1.0763
scene4,50.0,4,1.9935588083712061,FALSE,189.73,1.303,52.6,0.0000,0.0000,-0.9486
scene_wheel,10.0,0,1.8285861449808114,FALSE,6.61,0.267,11.8,0.0000,0.0000,-0.0330
scene_wheel,10.0,1,-0.6751297258189531,FALSE,8.92,0.217,7.3,0.0000,0.0000,-0.0446
scene_wheel,10.0,2,-1.2700313764185354,FALSE,7.12,0.115,2.7,0.0000,0.0000,-0.0356
scene_wheel,10.0,3,1.0949730238498525,FALSE,6.15,0.286,3.4,0.0000,0.0000,-0.0307
scene_wheel,10.0,4,-2.161485098344141,FALSE,6.79,0.034,5.9,0.0000,0.0000,-0.0340
scene_wheel,30.0,0,-1.8005507851493503,FALSE,10.44,0.341,19.8,0.0000,0.0000,-0.0522
scene_wheel,30.0,1,-2.955826381493967,FALSE,7.21,0.006,0.1,0.0000,0.0000,-0.0360
scene_wheel,30.0,2,1.7215462650128304,FALSE,26.02,0.520,5.9,0.0000,0.0000,-0.1301
scene_wheel,30.0,3,0.9891051395521933,FALSE,33.93,0.535,36.7,0.0000,0.0000,-0.1696
scene_wheel,30.0,4,1.2309922717580104,FALSE,27.26,0.441,17.6,0.0000,0.0000,-0.1363
scene_wheel,50.0,0,1.6843741861318076,FALSE,225.95,1.146,27.8,0.0000,0.0000,-1.1297
scene_wheel,50.0,1,-0.24650534676996014,FALSE,11.10,0.444,27.5,0.0000,0.0000,-0.0555
scene_wheel,50.0,2,0.41244717571736234,FALSE,17.71,0.187,22.9,0.0000,0.0000,-0.0885
scene_wheel,50.0,3,-2.1612180112340553,FALSE,24.40,0.072,1.3,0.0000,0.0000,-0.1220
scene_wheel,50.0,4,-2.3128195587841596,FALSE,33.43,0.845,26.1,0.0000,0.0000,-0.1672
