,mass_B,,,,
t,x,y,θ,ω,α
0E+00,1.493027E+01,-5.650932E+00,-2.073107E+01,,
1.333333E-03,1.469168E+01,-3.75938E+00,-1.435315E+01,5.494173E+03,
2.666667E-03,1.494378E+01,-1.591737E+00,-6.079938E+00,4.247941E+03,-7.531189E+05
4E-03,1.533518E+01,-8.104756E-01,-3.02531E+00,2.758411E+03,-4.960843E+05
5.333333E-03,1.554496E+01,3.462022E-01,1.275825E+00,3.324131E+03,3.193248E+05
6.666667E-03,1.553502E+01,1.588685E+00,5.839039E+00,3.552642E+03,4.330562E+05
8E-03,1.543069E+01,2.929478E+00,1.074954E+01,4.399711E+03,3.375148E+05
9.333333E-03,1.496478E+01,4.738946E+00,1.75716E+01,4.698595E+03,2.266765E+05
1.066667E-02,1.437335E+01,6.183937E+00,2.327912E+01,4.719646E+03,-9.84638E+04
1.2E-02,1.362731E+01,7.917705E+00,3.015733E+01,4.688349E+03,-2.331283E+04
1.333333E-02,1.288884E+01,9.289358E+00,3.578139E+01,4.430099E+03,-2.616865E+05
1.466667E-02,1.178913E+01,1.060415E+01,4.197092E+01,4.183773E+03,-2.562512E+05
1.6E-02,1.092368E+01,1.168888E+01,4.693811E+01,3.60299E+03,-6.544235E+05
1.733333E-02,9.948532E+00,1.254243E+01,5.15789E+01,2.595582E+03,-2.517264E+05
1.866667E-02,9.445458E+00,1.293382E+01,5.385967E+01,2.573127E+03,9.244954E+04
2E-02,8.320872E+00,1.354687E+01,5.844057E+01,3.242572E+03,1.658821E+05
2.133333E-02,7.338089E+00,1.410026E+01,6.250653E+01,2.863634E+03,-3.050041E+05
2.266667E-02,6.492506E+00,1.463526E+01,6.607692E+01,2.437978E+03,4.22978E+04
2.4E-02,5.736481E+00,1.495013E+01,6.90078E+01,2.842418E+03,4.770203E+05
2.533333E-02,4.465649E+00,1.52286E+01,7.365671E+01,3.873156E+03,9.650587E+05
2.666667E-02,2.930638E+00,1.556388E+01,7.933622E+01,5.28746E+03,7.945741E+05
2.8E-02,6.258856E-01,1.597676E+01,8.77566E+01,6.241076E+03,-1.774582E+05
2.933333E-02,-1.636882E+00,1.562877E+01,9.597908E+01,4.836285E+03,-9.630243E+05
3.066667E-02,-2.909114E+00,1.546504E+01,1.006534E+02,3.32873E+03,-8.165915E+05
3.2E-02,-4.04991E+00,1.526818E+01,1.048557E+02,2.842417E+03,-7.494714E+05
3.333333E-02,-4.946532E+00,1.501569E+01,1.082331E+02,1.425295E+03,-7.957058E+05
3.466667E-02,-5.087193E+00,1.506714E+01,1.086565E+02,4.318771E+02,-3.143749E+05
3.6E-02,-5.301329E+00,1.506669E+01,1.093848E+02,7.489372E+02,1.065712E+05
3.733333E-02,-5.682354E+00,1.507478E+01,1.106536E+02,7.818895E+02,-3.014433E+04
3.866667E-02,-5.849021E+00,1.487155E+01,1.114698E+02,5.937305E+02,1.131037E+04
4E-02,-6.08614E+00,1.48862E+01,1.122369E+02,7.990709E+02,1.365514E+05
4.133333E-02,-6.545085E+00,1.498061E+01,1.136007E+02,1.02423E+03,-2.335029E+04
4.266667E-02,-6.877504E+00,1.477025E+01,1.149682E+02,7.452867E+02,2.954466E+05
4.4E-02,-6.953573E+00,1.452094E+01,1.155881E+02,1.573434E+03,8.030149E+05
4.533333E-02,-7.810211E+00,1.399535E+01,1.19164E+02,3.173233E+03,1.659859E+06
4.666667E-02,-8.931484E+00,1.321653E+01,1.240501E+02,5.692092E+03,1.89384E+06
4.8E-02,-1.103722E+01,1.129331E+01,1.343429E+02,8.605967E+03,1.526054E+06
4.933333E-02,-1.39539E+01,9.061999E+00,1.469993E+02,9.696046E+03,-2.236519E+05
5.066667E-02,-1.448563E+01,5.215413E+00,1.601991E+02,8.185989E+03,-1.140288E+06
5.2E-02,-1.573324E+01,3.107092E+00,1.688286E+02,6.178468E+03,-1.182409E+06
5.333333E-02,-1.564196E+01,9.087616E-01,1.76675E+02,5.280179E+03,-9.659272E+05
5.466667E-02,-1.40813E+01,-7.155747E-01,1.829091E+02,3.622349E+03,-1.351154E+06
5.6E-02,-1.400013E+01,-1.554183E+00,1.863346E+02,1.600861E+03,-6.812995E+05
5.733333E-02,-1.519399E+01,-1.913542E+00,1.871781E+02,1.548532E+03,-1.689117E+05
5.866667E-02,-1.400561E+01,-2.586686E+00,1.90464E+02,1.664687E+03,2.489171E+05
6E-02,-1.511029E+01,-3.106439E+00,1.916172E+02,1.729463E+03,4.089043E+05
6.133333E-02,-1.436583E+01,-3.869718E+00,1.950759E+02,3.051061E+03,9.088125E+05
6.266667E-02,-1.373514E+01,-4.932343E+00,1.997534E+02,4.078561E+03,9.162807E+05
6.4E-02,-1.353759E+01,-6.588707E+00,2.059521E+02,5.474263E+03,5.49956E+05
6.533333E-02,-1.147453E+01,-7.842497E+00,2.143514E+02,5.774428E+03,2.359754E+05
6.666667E-02,-1.119238E+01,-9.850254E+00,2.213505E+02,5.762318E+03,-1.488779E+05
6.8E-02,-9.358229E+00,-1.104173E+01,2.297176E+02,5.683546E+03,-3.046147E+05
6.933333E-02,-7.81537E+00,-1.181072E+01,2.365067E+02,4.755665E+03,-9.779788E+05
7.066667E-02,-6.407758E+00,-1.22566E+01,2.423994E+02,3.23354E+03,-1.060714E+06
7.2E-02,-5.874579E+00,-1.267274E+01,2.451294E+02,1.687658E+03,-3.226473E+05
7.333333E-02,-5.48586E+00,-1.286131E+01,2.468998E+02,2.300763E+03,3.723474E+05
7.466667E-02,-4.50555E+00,-1.32842E+01,2.512648E+02,3.042955E+03,4.021475E+05
7.6E-02,-3.557534E+00,-1.329023E+01,2.550144E+02,3.123717E+03,3.823128E+05
7.733333E-02,-2.426949E+00,-1.321654E+01,2.595947E+02,4.090789E+03,6.954041E+05
7.866667E-02,-9.442464E-01,-1.324794E+01,2.659231E+02,5.074091E+03,1.875083E+05
8E-02,7.280533E-01,-1.33327E+01,2.731256E+02,4.692195E+03,-3.317458E+05
8.133333E-02,1.932872E+00,-1.303325E+01,2.784357E+02,3.945184E+03,-5.761234E+05
8.266667E-02,3.122947E+00,-1.286341E+01,2.836461E+02,3.329236E+03,2.679603E+04
8.4E-02,3.923454E+00,-1.258622E+01,2.873136E+02,3.718405E+03,-1.483553E+05
8.533333E-02,5.375483E+00,-1.232636E+01,2.935619E+02,3.466961E+03,-3.486775E+05
8.666667E-02,5.994519E+00,-1.199228E+01,2.965588E+02,2.295214E+03,-9.349084E+05
8.8E-02,6.728403E+00,-1.180456E+01,2.996824E+02,1.309244E+03,-2.275162E+05
8.933333E-02,6.803973E+00,-1.176103E+01,3.000502E+02,1.247622E+03,-7.277055E+04
9.066667E-02,7.3447E+00,-1.130578E+01,3.030094E+02,1.625356E+03,1.266804E+05
9.2E-02,7.605843E+00,-1.111452E+01,3.043844E+02,1.246166E+03,4.556378E+05
9.333333E-02,7.918147E+00,-1.076643E+01,3.063325E+02,2.795959E+03,1.080695E+06
9.466667E-02,9.054155E+00,-1.011218E+01,3.118403E+02,4.435237E+03,7.227754E+05
9.6E-02,1.028287E+01,-9.206925E+00,3.181598E+02,4.634625E+03,-4.568076E+04
9.733333E-02,1.216275E+01,-8.772267E+00,3.241993E+02,4.276152E+03,-5.320005E+04
9.866667E-02,1.308357E+01,-7.687475E+00,3.295629E+02,4.383752E+03,6.289355E+05
1E-01,1.407187E+01,-6.297792E+00,3.358893E+02,5.924208E+03,4.308494E+05
1.013333E-01,1.381572E+01,-3.608822E+00,3.453608E+02,5.978756E+03,-5.859531E+05
1.026667E-01,1.467535E+01,-2.106203E+00,3.518327E+02,3.99457E+03,-8.871322E+05
1.04E-01,1.488933E+01,-1.037774E+00,3.56013E+02,3.479102E+03,-9.155449E+04
1.053333E-01,1.472794E+01,2.854396E-01,3.611103E+02,3.952887E+03,3.338447E+05
1.066667E-01,1.4845E+01,1.705551E+00,3.66554E+02,4.323021E+03,4.485933E+05
1.08E-01,1.470329E+01,3.296912E+00,3.726384E+02,5.119724E+03,3.063484E+05
1.093333E-01,1.401547E+01,5.158524E+00,3.802066E+02,5.316066E+03,3.034767E+04
1.106667E-01,1.357194E+01,6.86E+00,3.868145E+02,5.010474E+03,-3.127474E+05
1.12E-01,1.27723E+01,8.475579E+00,3.935679E+02,4.613587E+03,7.05039E+04
1.133333E-01,1.19431E+01,9.71193E+00,3.991174E+02,4.949275E+03,-5.539363E+05
1.146667E-01,1.070688E+01,1.138809E+01,4.067659E+02,3.714621E+03,-6.608452E+05
1.16E-01,1.047223E+01,1.205673E+01,4.090231E+02,2.396424E+03,-6.933624E+05
1.173333E-01,9.467417E+00,1.26353E+01,4.131564E+02,2.448556E+03,7.018886E+04
1.186667E-01,9.041994E+00,1.318208E+01,4.155526E+02,2.234484E+03,-1.71536E+05
1.2E-01,8.1255E+00,1.358481E+01,4.19115E+02,2.266983E+03,2.023469E+05
1.213333E-01,7.575373E+00,1.400911E+01,4.215979E+02,2.504198E+03,1.448574E+05
1.226667E-01,6.541077E+00,1.454973E+01,4.257929E+02,2.92602E+03,2.859449E+05
1.24E-01,5.596662E+00,1.489014E+01,4.294006E+02,3.061278E+03,2.180503E+05
1.253333E-01,4.386508E+00,1.525365E+01,4.339563E+02,3.612558E+03,6.468717E+05
1.266667E-01,3.006946E+00,1.551866E+01,4.390341E+02,4.668531E+03,5.90909E+05
1.28E-01,9.875307E-01,1.572137E+01,4.464057E+02,5.421447E+03,7.720577E+04
1.293333E-01,-9.504325E-01,1.557843E+01,4.534913E+02,4.795035E+03,-4.185236E+05
1.306667E-01,-2.498613E+00,1.543975E+01,4.591925E+02,4.185329E+03,-5.564841E+05
1.32E-01,-3.911835E+00,1.496194E+01,4.646521E+02,3.451282E+03,-9.247756E+05
1.333333E-01,-4.920535E+00,1.479522E+01,4.683959E+02,1.705786E+03,-9.113692E+05
1.346667E-01,-5.201001E+00,1.493449E+01,4.692009E+02,7.737388E+02,-4.789222E+05
1.36E-01,-5.575563E+00,1.494496E+01,4.704592E+02,6.732918E+02,-6.764019E+04
1.373333E-01,-5.758921E+00,1.500536E+01,4.709963E+02,4.80697E+02,-1.237969E+05
1.386667E-01,-5.885829E+00,1.475964E+01,4.717411E+02,4.233497E+02,9.200637E+04
1.4E-01,-6.071557E+00,1.493354E+01,4.721253E+02,6.277875E+02,5.336004E+04
1.413333E-01,-6.478629E+00,1.496037E+01,4.734152E+02,7.176664E+02,-4.330611E+03
1.426667E-01,-6.628047E+00,1.485957E+01,4.740391E+02,4.928123E+02,2.635476E+05
1.44E-01,-6.708938E+00,1.456664E+01,4.747293E+02,1.345054E+03,7.624441E+05
1.453333E-01,-7.551728E+00,1.442925E+01,4.776259E+02,2.685526E+03,1.56169E+06
1.466667E-01,-8.318544E+00,1.336913E+01,4.818907E+02,5.245557E+03,2.06664E+06
1.48E-01,-1.069332E+01,1.203824E+01,4.91614E+02,8.531144E+03,1.65283E+06
1.493333E-01,-1.281551E+01,9.093902E+00,5.046404E+02,9.721496E+03,2.565443E+05
1.506667E-01,-1.495331E+01,6.182244E+00,5.17538E+02,9.105587E+03,-5.909359E+05
