,mass_B,,,,
t,x,y,θ,ω,α
0E+00,7.75E+00,-1.275E+01,-5.870696E+01,,
1.333333E-03,8.51294E+00,-1.266317E+01,-5.608864E+01,2.442176E+03,
2.666667E-03,9.253859E+00,-1.192764E+01,-5.219449E+01,3.037854E+03,7.028161E+05
4E-03,1.005383E+01,-1.116109E+01,-4.79877E+01,4.1407E+03,5.830958E+05
5.333333E-03,1.124859E+01,-9.830983E+00,-4.115263E+01,4.891214E+03,1.471173E+05
6.666667E-03,1.252238E+01,-8.750187E+00,-3.494446E+01,4.366427E+03,4.293039E+05
8E-03,1.391315E+01,-7.874506E+00,-2.950882E+01,5.748076E+03,1.091866E+06
9.333333E-03,1.426467E+01,-5.083983E+00,-1.961626E+01,7.749787E+03,4.95504E+05
1.066667E-02,1.521225E+01,-2.366597E+00,-8.842721E+00,7.069436E+03,-3.715207E+05
1.2E-02,1.605234E+01,-2.141803E-01,-7.644305E-01,6.377546E+03,-3.201752E+04
1.333333E-02,1.573784E+01,2.257783E+00,8.164068E+00,7.154143E+03,4.117793E+05
1.466667E-02,1.507018E+01,4.987861E+00,1.831328E+01,7.567249E+03,5.36446E+05
1.6E-02,1.42704E+01,7.697767E+00,2.83434E+01,8.383519E+03,7.60922E+05
1.733333E-02,1.252014E+01,1.075737E+01,4.066933E+01,9.7732E+03,1.16416E+06
1.866667E-02,9.508359E+00,1.328371E+01,5.440526E+01,1.136427E+04,4.836248E+05
2E-02,5.191433E+00,1.505486E+01,7.097404E+01,1.143282E+04,-2.480555E+05
2.133333E-02,1.383372E+00,1.547834E+01,8.489277E+01,1.028859E+04,-1.157751E+06
2.266667E-02,-2.257565E+00,1.526926E+01,9.841027E+01,8.656166E+03,-1.802658E+06
2.4E-02,-4.767861E+00,1.469501E+01,1.079759E+02,5.341406E+03,-2.627099E+06
2.533333E-02,-5.910343E+00,1.416104E+01,1.12654E+02,1.609868E+03,-2.121693E+06
2.666667E-02,-5.775842E+00,1.410479E+01,1.122689E+02,-5.585804E+02,-1.070114E+06
2.8E-02,-5.512921E+00,1.423934E+01,1.111645E+02,-1.02192E+03,-2.399547E+05
