,mass_B,,,,
t,x,y,θ,ω,α
0E+00,1.35E+01,-5.75E+00,-2.307041E+01,,
1.333333E-03,1.375996E+01,-3.780858E+00,-1.536413E+01,4.593367E+03,
2.666667E-03,1.398414E+01,-2.67304E+00,-1.082143E+01,2.85279E+03,-1.127085E+06
4E-03,1.39279E+01,-1.89716E+00,-7.756688E+00,1.686387E+03,-3.022321E+05
5.333333E-03,1.446849E+01,-1.603573E+00,-6.324403E+00,1.841495E+03,2.607279E+05
6.666667E-03,1.452505E+01,-7.220919E-01,-2.846035E+00,2.678392E+03,3.62461E+05
8E-03,1.459314E+01,2.083513E-01,8.179761E-01,2.722045E+03,3.706995E+04
9.333333E-03,1.461928E+01,1.128165E+00,4.412753E+00,2.751907E+03,1.933385E+05
1.066667E-02,1.457149E+01,2.088465E+00,8.156395E+00,3.201081E+03,6.20919E+05
1.2E-02,1.462073E+01,3.361747E+00,1.294897E+01,4.397393E+03,3.700469E+05
1.333333E-02,1.409712E+01,5.098292E+00,1.988278E+01,4.466005E+03,2.062264E+05
1.466667E-02,1.37073E+01,6.350601E+00,2.485832E+01,4.511412E+03,-2.921389E+04
1.6E-02,1.26447E+01,7.874676E+00,3.191321E+01,4.787718E+03,-2.683364E+05
1.733333E-02,1.200835E+01,9.25621E+00,3.762556E+01,3.633568E+03,-3.46876E+05
1.866667E-02,1.126453E+01,1.000208E+01,4.160272E+01,3.652992E+03,6.372627E+05
2E-02,1.029356E+01,1.118119E+01,4.736688E+01,5.455575E+03,7.481807E+05
2.133333E-02,8.44413E+00,1.259035E+01,5.615092E+01,5.964978E+03,8.09409E+04
2.266667E-02,6.953117E+00,1.380881E+01,6.327348E+01,5.332908E+03,-4.076987E+05
2.4E-02,5.173337E+00,1.450599E+01,7.037201E+01,5.009175E+03,-4.198419E+04
2.533333E-02,3.6618E+00,1.540794E+01,7.663128E+01,5.077584E+03,-1.492859E+05
2.666667E-02,1.683133E+00,1.578136E+01,8.391223E+01,4.852407E+03,-8.682813E+05
2.8E-02,1.164505E-01,1.555367E+01,8.957103E+01,2.74744E+03,-1.071976E+06
2.933333E-02,-3.298761E-01,1.525545E+01,9.123874E+01,1.6028E+03,-8.493492E+05
3.066667E-02,-1.025524E+00,1.52581E+01,9.384517E+01,9.416349E+02,-5.281908E+05
3.2E-02,-1.001233E+00,1.527682E+01,9.374977E+01,-1.362372E+02,-4.458467E+05
3.333333E-02,-9.304663E-01,1.529241E+01,9.348187E+01,-1.310181E+02,1.312562E+05
3.466667E-02,-9.106286E-01,1.532587E+01,9.340039E+01,2.049807E+02,4.18284E+05
3.6E-02,-1.082697E+00,1.537346E+01,9.402848E+01,9.780238E+02,1.302062E+06
3.733333E-02,-1.605584E+00,1.525447E+01,9.600845E+01,3.4966E+03,8.906422E+05
3.866667E-02,-3.465272E+00,1.459908E+01,1.033528E+02,4.062001E+03,6.459516E+05
4E-02,-4.315049E+00,1.425575E+01,1.068405E+02,4.280709E+03,3.732017E+05
4.133333E-02,-6.162947E+00,1.335744E+01,1.14768E+02,5.765271E+03,1.028713E+06
4.266667E-02,-7.901008E+00,1.253954E+01,1.222145E+02,6.590855E+03,1.264305E+05
4.4E-02,-9.744983E+00,1.069324E+01,1.323436E+02,6.563252E+03,-1.423871E+04
4.533333E-02,-1.093523E+01,9.268336E+00,1.397165E+02,6.040853E+03,-2.83857E+05
4.666667E-02,-1.198733E+01,7.359513E+00,1.484525E+02,6.156497E+03,-7.332102E+04
4.8E-02,-1.297042E+01,5.738536E+00,1.561338E+02,5.672014E+03,-5.379922E+05
