,mass_B,,,,
t,x,y,θ,ω,α
0E+00,3E+00,-1.475E+01,-7.850344E+01,,
3.333333E-04,4.516958E+00,-1.427329E+01,-7.243939E+01,2.057271E+04,
6.666667E-04,6.43383E+00,-1.366534E+01,-6.47883E+01,2.294589E+04,2.62933E+06
1E-03,8.253695E+00,-1.277886E+01,-5.714213E+01,2.21028E+04,2.71499E+06
1.333333E-03,9.856745E+00,-1.176894E+01,-5.00531E+01,2.411178E+04,1.635122E+03
1.666667E-03,1.155194E+01,-1.00659E+01,-4.106761E+01,2.35261E+04,2.887093E+06
2E-03,1.257978E+01,-8.603572E+00,-3.436903E+01,2.408073E+04,-3.575138E+05
2.333333E-03,1.365571E+01,-6.371761E+00,-2.501379E+01,2.531005E+04,-2.282937E+06
2.666667E-03,1.447879E+01,-4.563942E+00,-1.749566E+01,2.137117E+04,-4.833301E+06
3E-03,1.499708E+01,-2.851715E+00,-1.076634E+01,2.189903E+04,-1.098155E+06
3.333333E-03,1.534768E+01,-7.764893E-01,-2.896311E+00,2.158611E+04,-3.565629E+06
3.666667E-03,1.513752E+01,9.588446E-01,3.6244E+00,1.880709E+04,-9.526987E+06
4E-03,1.484413E+01,2.521825E+00,9.641751E+00,1.565118E+04,-1.356705E+07
4.333333E-03,1.466167E+01,3.671474E+00,1.405852E+01,9.692543E+03,-8.351919E+06
4.666667E-03,1.480412E+01,4.273953E+00,1.610345E+01,9.000345E+03,9.769682E+05
5E-03,1.424411E+01,5.200978E+00,2.005875E+01,1.169522E+04,-1.715425E+06
5.333333E-03,1.351267E+01,5.988066E+00,2.390026E+01,7.914337E+03,-5.236095E+06
5.666667E-03,1.364147E+01,6.458482E+00,2.533497E+01,6.835735E+03,-1.087709E+07
6E-03,1.275739E+01,6.914426E+00,2.845742E+01,2.835167E+03,-2.061201E+06
6.333333E-03,1.323271E+01,6.808014E+00,2.722509E+01,2.367285E+03,-3.88256E+05
6.666667E-03,1.246789E+01,7.208675E+00,3.003561E+01,5.640826E+03,7.543767E+06
7E-03,1.240928E+01,7.452014E+00,3.098564E+01,5.372445E+03,-5.409174E+06
7.333333E-03,1.192728E+01,7.929642E+00,3.361724E+01,3.746655E+03,-4.531892E+06
7.666667E-03,1.190188E+01,7.872725E+00,3.348341E+01,6.547653E+02,1.670724E+05
8E-03,1.191901E+01,8.055753E+00,3.405375E+01,4.372245E+03,6.679432E+06
8.333333E-03,1.15814E+01,8.537994E+00,3.639824E+01,5.881709E+03,1.812241E+06
8.666667E-03,1.213074E+01,9.469016E+00,3.797489E+01,4.853509E+03,1.160575E+06
9E-03,1.224543E+01,1.014251E+01,3.963391E+01,6.620487E+03,3.750508E+06
9.333333E-03,1.180466E+01,1.077481E+01,4.238855E+01,7.863018E+03,4.758602E+04
9.666667E-03,1.14181E+01,1.136875E+01,4.487592E+01,6.447798E+03,-2.08434E+05
1E-02,1.119025E+01,1.186945E+01,4.668708E+01,7.234269E+03,-1.485753E+06
