,mass_B,,,,
t,x,y,θ,ω,α
0E+00,1.7E+01,-2.75E+00,-9.188836E+00,,
1.333333E-03,1.713615E+01,-1.971093E+00,-6.561633E+00,2.097325E+03,
2.666667E-03,1.721213E+01,-1.08168E+00,-3.59597E+00,2.11121E+03,1.345817E+05
4E-03,1.72182E+01,-2.800257E-01,-9.317394E-01,2.35483E+03,1.638235E+05
5.333333E-03,1.719066E+01,8.057527E-01,2.683577E+00,2.671794E+03,1.292974E+05
6.666667E-03,1.713365E+01,1.859205E+00,6.193044E+00,2.636677E+03,-4.5278E+04
8E-03,1.700865E+01,2.911839E+00,9.714717E+00,2.568434E+03,-1.375766E+04
9.333333E-03,1.691689E+01,3.918698E+00,1.30422E+01,2.568166E+03,2.865421E+05
1.066667E-02,1.665164E+01,4.952413E+00,1.656316E+01,3.273308E+03,1.006005E+05
1.2E-02,1.63686E+01,6.537371E+00,2.177102E+01,3.119195E+03,1.902227E+05
1.333333E-02,1.620522E+01,7.515685E+00,2.488101E+01,3.32381E+03,2.18132E+05
1.466667E-02,1.516546E+01,8.981165E+00,3.063451E+01,4.123829E+03,-1.857125E+05
1.6E-02,1.433669E+01,1.03696E+01,3.587789E+01,2.794831E+03,-4.546584E+05
1.733333E-02,1.383253E+01,1.084118E+01,3.80874E+01,2.49411E+03,9.509501E+04
1.866667E-02,1.311445E+01,1.202933E+01,4.252885E+01,3.435208E+03,4.716901E+05
2E-02,1.212468E+01,1.311547E+01,4.724795E+01,3.64678E+03,1.354472E+05
2.133333E-02,1.100684E+01,1.421737E+01,5.225359E+01,3.804977E+03,3.125058E+05
2.266667E-02,9.655763E+00,1.509514E+01,5.739456E+01,4.401333E+03,4.502159E+05
2.4E-02,7.846824E+00,1.608159E+01,6.399048E+01,5.128286E+03,-5.566163E+04
2.533333E-02,5.818178E+00,1.696451E+01,7.106999E+01,4.362128E+03,-2.074307E+05
2.666667E-02,4.417463E+00,1.723338E+01,7.562282E+01,4.170531E+03,-1.899235E+04
2.8E-02,2.427584E+00,1.770204E+01,8.21914E+01,4.695764E+03,2.355892E+04
2.933333E-02,5.776254E-01,1.783368E+01,8.814486E+01,4.110166E+03,-2.061762E+05
3.066667E-02,-9.819332E-01,1.783204E+01,9.315185E+01,4.037223E+03,6.470312E+03
3.2E-02,-2.722678E+00,1.736526E+01,9.891079E+01,4.266256E+03,-5.852913E+04
3.333333E-02,-4.407029E+00,1.700578E+01,1.045285E+02,3.874179E+03,-5.442822E+05
3.466667E-02,-5.728258E+00,1.641063E+01,1.092419E+02,2.826701E+03,-5.466448E+05
3.6E-02,-6.525637E+00,1.609778E+01,1.120664E+02,2.244498E+03,-1.985252E+05
3.733333E-02,-7.32568E+00,1.554865E+01,1.152273E+02,2.426551E+03,3.937863E+05
3.866667E-02,-8.301189E+00,1.526525E+01,1.185372E+02,3.191284E+03,7.538818E+05
4E-02,-9.580675E+00,1.434535E+01,1.237374E+02,4.540024E+03,9.741284E+05
4.133333E-02,-1.135495E+01,1.322751E+01,1.306439E+02,5.784204E+03,5.018743E+05
4.266667E-02,-1.304454E+01,1.127489E+01,1.391619E+02,6.0132E+03,-1.299892E+05
