,mass_B,,,,
t,x,y,θ,ω,α
0E+00,1.336352E+01,-9.416436E+00,-3.516995E+01,,
1.333333E-03,1.375902E+01,-8.688382E+00,-3.22711E+01,2.934662E+03,
2.666667E-03,1.441039E+01,-7.451836E+00,-2.734419E+01,3.811066E+03,4.623518E+05
4E-03,1.49181E+01,-6.060119E+00,-2.210826E+01,4.071423E+03,3.724177E+05
5.333333E-03,1.564065E+01,-4.62913E+00,-1.648706E+01,4.752279E+03,3.332283E+05
6.666667E-03,1.607314E+01,-2.671129E+00,-9.435517E+00,5.117145E+03,-3.097918E+05
8E-03,1.640073E+01,-8.139923E-01,-2.841342E+00,3.943675E+03,-9.343103E+05
9.333333E-03,1.652401E+01,3.117813E-01,1.080951E+00,2.436109E+03,-1.230622E+06
1.066667E-02,1.652171E+01,1.055367E+00,3.65495E+00,8.194188E+02,-6.556907E+05
1.2E-02,1.677417E+01,9.572259E-01,3.266067E+00,3.506241E+02,-5.550789E+04
1.333333E-02,1.710495E+01,1.373211E+00,4.589947E+00,1.011043E+03,3.631311E+05
1.466667E-02,1.671698E+01,1.74587E+00,5.962183E+00,1.206997E+03,7.780139E+04
1.6E-02,1.715707E+01,2.352851E+00,7.808605E+00,1.28149E+03,1.003168E+05
1.733333E-02,1.688871E+01,2.789697E+00,9.379489E+00,1.389406E+03,6.322147E+05
1.866667E-02,1.734235E+01,3.532655E+00,1.151369E+01,2.862279E+03,6.215927E+05
2E-02,1.655275E+01,5.064547E+00,1.701223E+01,3.470604E+03,5.284151E+05
2.133333E-02,1.631287E+01,6.186459E+00,2.076863E+01,3.768595E+03,4.738612E+05
2.266667E-02,1.546595E+01,7.901325E+00,2.706182E+01,5.051928E+03,4.105441E+05
2.4E-02,1.433008E+01,9.753505E+00,3.424044E+01,4.892549E+03,-2.193034E+05
2.533333E-02,1.358978E+01,1.144715E+01,4.010862E+01,4.294512E+03,-9.799512E+04
2.666667E-02,1.205517E+01,1.235015E+01,4.569247E+01,4.610583E+03,9.712443E+03
2.8E-02,1.067376E+01,1.386192E+01,5.240351E+01,4.528521E+03,1.345983E+05
2.933333E-02,9.225217E+00,1.463156E+01,5.776853E+01,4.672268E+03,4.304507E+05
3.066667E-02,7.419206E+00,1.581164E+01,6.486289E+01,5.857157E+03,4.319065E+05
3.2E-02,4.932844E+00,1.653384E+01,7.338761E+01,5.948243E+03,2.27898E+05
3.333333E-02,2.771569E+00,1.697115E+01,8.072487E+01,6.166269E+03,1.175246E+05
3.466667E-02,5.082763E-02,1.723166E+01,8.9831E+01,6.55413E+03,-8.48303E+04
3.6E-02,-2.420196E+00,1.67897E+01,9.820255E+01,5.830599E+03,-4.663616E+05
3.733333E-02,-4.493714E+00,1.633742E+01,1.053793E+02,5.24192E+03,-5.188646E+05
3.866667E-02,-6.356036E+00,1.558976E+01,1.12181E+02,4.549609E+03,-5.023721E+05
4E-02,-7.738139E+00,1.485751E+01,1.175116E+02,3.79387E+03,-5.44167E+05
4.133333E-02,-9.037572E+00,1.429714E+01,1.22298E+02,3.177865E+03,-3.054661E+05
4.266667E-02,-9.935381E+00,1.368198E+01,1.259859E+02,2.875134E+03,-1.789804E+04
4.4E-02,-1.072931E+01,1.280256E+01,1.29965E+02,3.190719E+03,1.908255E+05
4.533333E-02,-1.163286E+01,1.183998E+01,1.344944E+02,3.42357E+03,1.952631E+05
4.666667E-02,-1.25395E+01,1.086415E+01,1.390945E+02,3.659582E+03,1.55779E+05
4.8E-02,-1.351938E+01,9.731367E+00,1.442533E+02,3.891812E+03,1.780003E+05
4.933333E-02,-1.435926E+01,8.467471E+00,1.494727E+02,4.086273E+03,1.798561E+05
5.066667E-02,-1.49924E+01,6.943324E+00,1.551501E+02,4.397349E+03,2.904511E+05
5.2E-02,-1.599494E+01,5.445446E+00,1.61199E+02,4.833657E+03,4.017603E+04
5.333333E-02,-1.640389E+01,3.474842E+00,1.680398E+02,4.639583E+03,-1.070704E+05
5.466667E-02,-1.650008E+01,1.859184E+00,1.735712E+02,4.338299E+03,-3.11395E+05
5.6E-02,-1.635715E+01,1.117384E-01,1.796086E+02,4.00788E+03,-6.642714E+04
5.733333E-02,-1.668865E+01,-1.242776E+00,1.842589E+02,3.923208E+03,-2.856448E+05
5.866667E-02,-1.594567E+01,-2.831885E+00,1.900705E+02,3.559134E+03,-2.210648E+05
6E-02,-1.591604E+01,-3.894596E+00,1.937499E+02,3.007594E+03,-3.989256E+05
6.133333E-02,-1.584251E+01,-5.1753E+00,1.980907E+02,2.752334E+03,-8.028254E+04
6.266667E-02,-1.53858E+01,-5.933628E+00,2.010894E+02,2.568612E+03,-4.778465E+05
6.4E-02,-1.464207E+01,-6.80917E+00,2.049404E+02,1.797153E+03,-2.29127E+05
6.533333E-02,-1.485907E+01,-7.209362E+00,2.058819E+02,1.488458E+03,-8.821727E+04
6.666667E-02,-1.410997E+01,-7.792204E+00,2.089096E+02,1.98249E+03,1.583409E+05
6.8E-02,-1.401376E+01,-8.476505E+00,2.111685E+02,1.713759E+03,-1.363501E+05
6.933333E-02,-1.363662E+01,-9.018913E+00,2.134796E+02,1.674135E+03,-2.408891E+05
7.066667E-02,-1.32002E+01,-9.461868E+00,2.156329E+02,1.122077E+03,-2.941946E+05
7.2E-02,-1.31814E+01,-9.7437E+00,2.164718E+02,7.412599E+02,-2.415309E+05
7.333333E-02,-1.297661E+01,-9.996782E+00,2.176095E+02,6.145181E+02,8.707946E+03
7.466667E-02,-1.278212E+01,-1.002626E+01,2.181105E+02,6.421947E+02,3.990899E+05
7.6E-02,-1.320041E+01,-1.081291E+01,2.193221E+02,1.67895E+03,7.51244E+05
7.733333E-02,-1.193457E+01,-1.096969E+01,2.225877E+02,2.780253E+03,7.506007E+05
7.866667E-02,-1.126031E+01,-1.196423E+01,2.267361E+02,3.595848E+03,9.004222E+05
8E-02,-9.917249E+00,-1.27745E+01,2.321767E+02,5.12354E+03,9.054598E+05
8.133333E-02,-7.928046E+00,-1.395523E+01,2.403988E+02,6.230132E+03,5.494085E+05
8.266667E-02,-5.814428E+00,-1.498301E+01,2.487904E+02,6.437244E+03,1.950672E+05
8.4E-02,-3.533518E+00,-1.602446E+01,2.575648E+02,6.757093E+03,1.296435E+05
8.533333E-02,-9.040868E-01,-1.621787E+01,2.668093E+02,6.827865E+03,-2.297114E+05
8.666667E-02,1.618127E+00,-1.600666E+01,2.757725E+02,6.168366E+03,-3.961882E+05
8.8E-02,3.718108E+00,-1.578005E+01,2.832583E+02,5.62641E+03,-5.771693E+05
8.933333E-02,5.774915E+00,-1.522159E+01,2.907762E+02,4.827676E+03,-4.097032E+05
9.066667E-02,7.167618E+00,-1.461024E+01,2.961321E+02,4.265031E+03,-4.766042E+05
9.2E-02,8.667655E+00,-1.379087E+01,3.021496E+02,3.839682E+03,-3.103836E+05
9.333333E-02,9.73997E+00,-1.322488E+01,3.063712E+02,3.204045E+03,-4.614883E+05
9.466667E-02,1.066504E+01,-1.240198E+01,3.106938E+02,2.781815E+03,-4.973838E+05
9.6E-02,1.120711E+01,-1.1691E+01,3.137894E+02,1.813429E+03,-5.60257E+05
9.733333E-02,1.162836E+01,-1.141536E+01,3.155296E+02,1.22041E+03,-3.164066E+04
9.866667E-02,1.190386E+01,-1.108353E+01,3.170438E+02,1.69723E+03,3.045237E+05
1E-01,1.242482E+01,-1.040516E+01,3.200555E+02,2.211746E+03,3.877148E+05
1.013333E-01,1.289129E+01,-9.73483E+00,3.229418E+02,2.578375E+03,4.855753E+05
1.026667E-01,1.361652E+01,-8.865938E+00,3.269312E+02,3.551592E+03,6.635513E+05
1.04E-01,1.439625E+01,-7.522112E+00,3.324127E+02,4.406433E+03,3.873914E+05
1.053333E-01,1.504751E+01,-5.872322E+00,3.386817E+02,4.603154E+03,3.407519E+05
1.066667E-01,1.562535E+01,-4.278194E+00,3.446878E+02,5.152233E+03,1.06689E+05
1.08E-01,1.616762E+01,-2.1512E+00,3.52421E+02,5.175922E+03,-8.709981E+05
1.093333E-01,1.629975E+01,-4.296016E-01,3.584902E+02,2.807922E+03,-1.293727E+06
1.106667E-01,1.685116E+01,-2.683563E-02,3.599088E+02,1.285207E+03,-6.997845E+05
1.12E-01,1.67746E+01,5.615888E-01,3.619175E+02,1.285752E+03,2.125551E+03
1.133333E-01,1.710856E+01,9.97687E-01,3.633374E+02,1.179778E+03,-4.398796E+04
1.146667E-01,1.689551E+01,1.497047E+00,3.650635E+02,1.240515E+03,-1.702441E+04
1.16E-01,1.718522E+01,2.002219E+00,3.666455E+02,1.113021E+03,9.277451E+04
1.173333E-01,1.694409E+01,2.390865E+00,3.680316E+02,1.420275E+03,7.841895E+05
1.186667E-01,1.733549E+01,3.191939E+00,3.704329E+02,3.133138E+03,6.84296E+05
1.2E-01,1.648844E+01,4.848629E+00,3.763866E+02,3.683056E+03,4.724518E+05
1.213333E-01,1.615635E+01,5.961787E+00,3.802544E+02,3.844394E+03,3.395121E+05
1.226667E-01,1.547524E+01,7.762378E+00,3.866383E+02,4.947051E+03,3.248799E+05
1.24E-01,1.432236E+01,9.460537E+00,3.934465E+02,4.681976E+03,-3.248687E+04
1.253333E-01,1.34674E+01,1.095388E+01,3.991236E+02,4.659182E+03,4.350369E+04
1.266667E-01,1.170861E+01,1.207011E+01,4.05871E+02,4.984154E+03,1.025029E+05
1.28E-01,1.05551E+01,1.371335E+01,4.124147E+02,4.860172E+03,-4.177139E+03
1.293333E-01,8.746983E+00,1.446088E+01,4.188314E+02,4.9506E+03,4.083015E+05
1.306667E-01,7.141796E+00,1.575591E+01,4.256163E+02,5.881897E+03,4.492213E+05
1.32E-01,4.570952E+00,1.650076E+01,4.345165E+02,6.39541E+03,3.896476E+05
1.333333E-01,2.158987E+00,1.678546E+01,4.426707E+02,6.651204E+03,5.345405E+04
1.346667E-01,-6.579041E-01,1.67222E+01,4.52253E+02,6.787903E+03,-2.819899E+05
1.36E-01,-3.114409E+00,1.637009E+01,4.607718E+02,5.79381E+03,-8.732077E+05
1.373333E-01,-5.015606E+00,1.571295E+01,4.677032E+02,4.45279E+03,-7.041944E+05
1.386667E-01,-6.363689E+00,1.525333E+01,4.726459E+02,3.777809E+03,-3.031064E+05
1.4E-01,-7.71674E+00,1.465013E+01,4.777774E+02,3.780932E+03,-2.457437E+05
1.413333E-01,-8.890148E+00,1.383275E+01,4.827284E+02,3.170578E+03,-3.461948E+05
1.426667E-01,-9.737612E+00,1.328907E+01,4.862322E+02,2.701796E+03,-1.175487E+05
1.44E-01,-1.055996E+01,1.261472E+01,4.899332E+02,2.933255E+03,1.393849E+05
1.453333E-01,-1.141276E+01,1.17959E+01,4.940542E+02,3.105799E+03,4.461069E+04
1.466667E-01,-1.23903E+01,1.107225E+01,4.982153E+02,3.044846E+03,2.244495E+05
1.48E-01,-1.332172E+01,1.034313E+01,5.021738E+02,3.591538E+03,4.133198E+05
1.493333E-01,-1.402747E+01,8.83605E+00,5.077927E+02,4.320582E+03,3.336185E+05
1.506667E-01,-1.48551E+01,7.343341E+00,5.136954E+02,4.423181E+03,9.007537E+04
1.52E-01,-1.530852E+01,5.696872E+00,5.195879E+02,4.528858E+03,1.455408E+05
1.533333E-01,-1.582383E+01,4.012175E+00,5.257723E+02,4.817514E+03,-1.430983E+05
1.546667E-01,-1.666859E+01,2.213822E+00,5.324346E+02,4.284552E+03,-2.283461E+05
1.56E-01,-1.656777E+01,8.109351E-01,5.371978E+02,3.928636E+03,-3.193286E+05
1.573333E-01,-1.627539E+01,-8.275955E-01,5.42911E+02,3.717565E+03,-2.872891E+05
1.586667E-01,-1.643156E+01,-2.049954E+00,5.471113E+02,2.974646E+03,9.076461E+04
1.6E-01,-1.648823E+01,-3.158227E+00,5.508433E+02,3.841538E+03,9.486797E+04
1.613333E-01,-1.537438E+01,-4.804904E+00,5.573554E+02,3.717261E+03,-1.840486E+05
1.626667E-01,-1.500857E+01,-5.688048E+00,5.60756E+02,2.828696E+03,-8.117658E+05
1.64E-01,-1.455953E+01,-6.757877E+00,5.648986E+02,1.962254E+03,-2.674411E+05
1.653333E-01,-1.481985E+01,-7.224511E+00,5.659887E+02,1.632333E+03,3.909926E+04
1.666667E-01,-1.417935E+01,-7.9413E+00,5.692515E+02,2.460859E+03,5.385028E+05
1.68E-01,-1.377699E+01,-8.794166E+00,5.72551E+02,2.895729E+03,-2.812611E+05
1.693333E-01,-1.28374E+01,-9.664347E+00,5.769734E+02,2.015129E+03,-7.2117E+05
1.706667E-01,-1.279904E+01,-9.972641E+00,5.779247E+02,5.621529E+02,-6.383832E+05
1.72E-01,-1.270481E+01,-1.009592E+01,5.784725E+02,4.499262E+02,-6.706526E+04
1.733333E-01,-1.252742E+01,-1.018965E+01,5.791245E+02,4.251958E+02,2.840418E+05
1.746667E-01,-1.308647E+01,-1.082852E+01,5.796064E+02,1.080797E+03,3.490502E+05
1.76E-01,-1.216835E+01,-1.095897E+01,5.820066E+02,1.59934E+03,5.884343E+05
1.773333E-01,-1.228115E+01,-1.180656E+01,5.838713E+02,2.353388E+03,7.712004E+05
1.786667E-01,-1.137193E+01,-1.275564E+01,5.882823E+02,3.876254E+03,9.434443E+05
1.8E-01,-9.990113E+00,-1.385569E+01,5.942079E+02,4.838745E+03,6.066344E+05
1.813333E-01,-8.235997E+00,-1.497233E+01,6.011856E+02,5.488993E+03,3.67289E+05
1.826667E-01,-6.189526E+00,-1.599502E+01,6.088453E+02,5.823618E+03,3.37451E+05
1.84E-01,-3.921902E+00,-1.66106E+01,6.167153E+02,6.315825E+03,1.665538E+05
1.853333E-01,-1.268074E+00,-1.681564E+01,6.256875E+02,6.4189E+03,7.367649E+04
1.866667E-01,1.132749E+00,-1.690999E+01,6.338323E+02,6.332618E+03,-3.130056E+05
1.88E-01,3.624333E+00,-1.624837E+01,6.425744E+02,5.800532E+03,-6.215039E+05
1.893333E-01,5.524052E+00,-1.577384E+01,6.493004E+02,4.504421E+03,-6.578379E+05
1.906667E-01,6.89112E+00,-1.506107E+01,6.545862E+02,3.995543E+03,-4.429216E+05
1.92E-01,8.27808E+00,-1.436398E+01,6.599552E+02,3.486532E+03,-3.0107E+05
1.933333E-01,9.158815E+00,-1.363816E+01,6.638837E+02,3.022946E+03,-3.770998E+05
1.946667E-01,1.007504E+01,-1.288786E+01,6.680164E+02,2.64494E+03,-2.547209E+05
1.96E-01,1.069379E+01,-1.232922E+01,6.709368E+02,2.201287E+03,-4.573346E+05
1.973333E-01,1.118962E+01,-1.163322E+01,6.738865E+02,1.583309E+03,-3.336078E+05
1.986667E-01,1.143284E+01,-1.136957E+01,6.75159E+02,1.108396E+03,8.033343E+04
2E-01,1.180151E+01,-1.1066E+01,6.768422E+02,1.84777E+03,4.562124E+05
