freq ~,rotational frequency in air ,rotational frequency ground,rotational frequency rubber ground ,average speed. on rubber mm/s,,wheel air ,,,,
1,1,1,,,,1,,,,
10,10,10.     10,10,57.5,,10,,,,
20,20,20.     20,20,76.82,,20,,,,
30,30,30.     29,19.   28.     22,91.67,,30,,,,
40,40,39.     39,26.     30.    ,73.25,,34,,,,
50,50,35.     40,28.      32,100.77,,30,,,,
60,60,36.     40.    ,,,,,,,,
70,67,,,,,,,,,
80,75,,,,,,,,,
90,82,,,,,,,,,
100,50,,,,,,,,,
110,30,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
wheel 1,0.014,,,,,,,,,
wheel 2,0.011,,,,,,,,,
body mass ,0.053,,,,,,,,,
leg mass ,0.005,,,,,,,,,
magnet mass,0.009,,,,,,,,,
total mass,105 mg,,,,,,,,,
friction ,,,,,,,57,54.8,51.5,54.4333333333333
