2mT,trail 1,trail 2,trail 3,ave mm/s,,,,
10,46.0,48.2,47.3,47.17,,,,
20,106.4,95.8,101.5,101.23,,,,
30,134.1,128.7,142.2,135,,,,
40,125.9,152.1,141.7,139.9,,,,
50,129.7,122.6,140.2,130.83,,,,
,,,,,,,,
2.5mT,,,,,,,,
10,50.48,46.5,42.9,46.63,,,,
20,105.3,104.3,100.1,103.23,,,,
30,112.1,122.0,103.4,112.5,,,,
40,113.2,122.0,107.9,114.37,,,,
50,126.3,123,107.3,118.87,,,,
,,,,,,,,
2.5mT,,,,,,,,
10,43.0,44.4,44.2,43.87,,,,
20,96.0,94.9,96.9,95.93,,,,
25,125.5,125.0,104.9,118.47,,,,
30,96.2,87.1,83.1,88.8,,130.4,121.8,156.0
35,114.4,173.4,107.0,131.6,,,,
40,135.5,140.8,151.3,142.53,,,,
50,127.3,132.6,148.5,136.13,,,,
,,,,,,,,
1.5mT,,,,,,,,
10,48.0,52.2,56.8,52.33,,,,
20,114.3,127.0,105.3,115.53,,,,
30,107.14,137.0,137.9,127.35,,,,
40,108.1,80.5,78.6,89.07,,,,
50,92.3,81.0,65.3,79.53,,,,
,,,,,,,,
