Leg,1,2,3,4,5,ave,std
60,60,60,60,60,60,60,0
70,70,70,70,70,70,70,0
80,80,78,72,80,80,78,3.464
90,90,90,88,90,90,89.6,0.894
100,32,11,20,12,10,17,9.274
,,,,,,,
at 90hz B = 1.6,,,,,,,
,,,,,,,
,,,,,,,
2 legs wheel ,,,,,,,
10,10,10,10,9,10,9.8,0.447
20,20,20,20,20,20,20,0
30,30,28,30,29,26,28.6,1.673
40,40,40,40,40,40,40,0
50,50,50,50,50,50,50,0
60,60,60,60,60,60,60,60
70,70,70,70,70,70,70,70
80,42,58,63,46,56,53,8.718
,,,,,,,
,,,,,,,
4 legs wheel,,,,,,,
10,10,10,10,10,10,10,0
20,20,20,20,20,20,20,0
30,30,30,30,30,30,30,0
40,40,40,40,39,40,39.8,0.447
50,41,36,40,40,40,39.4,1.949
