,mass_B,,,,
t,x,y,θ,ω,α
0E+00,1.453043E+01,-4.357922E+00,-1.669488E+01,,
1.333333E-03,1.468001E+01,-3.432755E+00,-1.316148E+01,2.560948E+03,
2.666667E-03,1.488372E+01,-2.588442E+00,-9.865688E+00,1.764578E+03,-1.533701E+05
4E-03,1.548904E+01,-2.302676E+00,-8.455938E+00,1.849451E+03,2.708839E+05
5.333333E-03,1.548764E+01,-1.336968E+00,-4.933818E+00,2.79271E+03,3.822313E+05
6.666667E-03,1.556973E+01,-2.741386E-01,-1.008711E+00,2.816884E+03,-1.739786E+04
8E-03,1.561978E+01,7.032457E-01,2.577873E+00,2.688642E+03,-1.24056E+05
9.333333E-03,1.572167E+01,1.697094E+00,6.161001E+00,2.526772E+03,-9.370864E+04
1.066667E-02,1.569221E+01,2.574179E+00,9.315932E+00,2.389702E+03,5.090266E+04
1.2E-02,1.579716E+01,3.51185E+00,1.253354E+01,2.657297E+03,1.883755E+05
1.333333E-02,1.570531E+01,4.622937E+00,1.640206E+01,2.95129E+03,4.945306E+05
1.466667E-02,1.525426E+01,5.674113E+00,2.040365E+01,3.836152E+03,2.68451E+05
1.6E-02,1.474869E+01,7.395833E+00,2.66318E+01,3.995156E+03,-1.697024E+05
1.733333E-02,1.408842E+01,8.484394E+00,3.10574E+01,3.102202E+03,-2.094802E+05
1.866667E-02,1.362574E+01,9.506983E+00,3.490433E+01,3.39787E+03,-3.889311E+05
2E-02,1.256424E+01,1.058696E+01,4.011838E+01,2.451029E+03,-1.85966E+05
2.133333E-02,1.236882E+01,1.09201E+01,4.144041E+01,2.234196E+03,3.401406E+05
2.266667E-02,1.145517E+01,1.189381E+01,4.607624E+01,3.866028E+03,1.13181E+06
2.4E-02,1.017917E+01,1.291213E+01,5.174982E+01,5.069663E+03,1.102417E+06
2.533333E-02,8.233644E+00,1.403129E+01,5.959534E+01,6.845573E+03,9.822844E+05
2.666667E-02,5.428941E+00,1.491968E+01,7.000468E+01,7.842376E+03,6.09415E+05
2.8E-02,2.586698E+00,1.547133E+01,8.050834E+01,8.285227E+03,4.395758E+05
2.933333E-02,-5.462825E-01,1.490776E+01,9.209862E+01,9.071792E+03,2.562265E+05
3.066667E-02,-3.87715E+00,1.477904E+01,1.046998E+02,9.072632E+03,-5.685618E+05
3.2E-02,-6.810929E+00,1.378553E+01,1.162923E+02,7.556025E+03,-1.295625E+06
3.333333E-02,-8.682737E+00,1.246996E+01,1.248492E+02,5.480326E+03,-1.728252E+06
3.466667E-02,-9.70067E+00,1.119619E+01,1.309065E+02,3.054767E+03,-1.425535E+06
3.6E-02,-9.650779E+00,1.035092E+01,1.329952E+02,1.409968E+03,-1.243405E+06
3.733333E-02,-1.017162E+01,1.029075E+01,1.346664E+02,7.519987E+01,-5.348586E+05
3.866667E-02,-9.949662E+00,1.059688E+01,1.331958E+02,-4.2713E+02,-2.129404E+04
4E-02,-9.975243E+00,1.050165E+01,1.335274E+02,3.634435E+02,6.687961E+05
4.133333E-02,-9.70407E+00,9.991136E+00,1.341649E+02,1.190751E+03,4.904912E+05
4.266667E-02,-1.013718E+01,9.551881E+00,1.367027E+02,1.86422E+03,7.309845E+05
4.4E-02,-1.084715E+01,9.384106E+00,1.391362E+02,2.876819E+03,5.468188E+05
4.533333E-02,-1.140414E+01,8.172316E+00,1.443743E+02,3.665993E+03,1.766473E+05
4.666667E-02,-1.199621E+01,7.2331E+00,1.489122E+02,3.157721E+03,-6.456423E+04
4.8E-02,-1.254392E+01,6.448124E+00,1.527948E+02,3.392482E+03,-1.602363E+05
4.933333E-02,-1.293961E+01,5.238768E+00,1.579588E+02,3.024077E+03,-5.188895E+05
5.066667E-02,-1.296742E+01,4.500751E+00,1.608591E+02,1.757296E+03,-8.730728E+05
