,mass_B,,,,
t,x,y,θ,ω,α
0E+00,5.718692E+00,-1.122514E+01,-6.300325E+01,,
3.333333E-04,7.025329E+00,-1.094482E+01,-5.730415E+01,1.720962E+04,
6.666667E-04,8.078874E+00,-1.016752E+01,-5.153016E+01,1.67616E+04,-3.842204E+06
1E-03,9.038002E+00,-9.401641E+00,-4.612975E+01,1.468815E+04,-3.186825E+06
1.333333E-03,9.756851E+00,-8.704671E+00,-4.173806E+01,1.414608E+04,2.773359E+06
1.666667E-03,1.053812E+01,-7.854596E+00,-3.669903E+01,1.679145E+04,2.694396E+06
2E-03,1.1021E+01,-6.50321E+00,-3.054377E+01,1.655499E+04,-4.072493E+05
2.333333E-03,1.146863E+01,-5.510204E+00,-2.566237E+01,1.559848E+04,-5.641293E+06
2.666667E-03,1.206322E+01,-4.425205E+00,-2.014478E+01,1.374139E+04,-7.793898E+06
3E-03,1.224836E+01,-3.628466E+00,-1.650145E+01,9.646342E+03,-6.768009E+06
3.333333E-03,1.245957E+01,-3.040515E+00,-1.371389E+01,9.151553E+03,-3.506284E+05
3.666667E-03,1.358001E+01,-2.492499E+00,-1.040041E+01,9.836244E+03,1.433857E+06
4E-03,1.355673E+01,-1.702131E+00,-7.15639E+00,9.93588E+03,2.153597E+05
4.333333E-03,1.341754E+01,-8.856627E-01,-3.776492E+00,1.006378E+04,-1.341652E+06
4.666667E-03,1.331104E+01,-1.038974E-01,-4.472049E-01,9.115291E+03,-2.94343E+06
5E-03,1.345211E+01,5.403793E-01,2.300369E+00,7.910493E+03,-5.09842E+05
5.333333E-03,1.3518E+01,1.141425E+00,4.826457E+00,8.651769E+03,5.037782E+05
5.666667E-03,1.334539E+01,1.891778E+00,8.068215E+00,8.741116E+03,-5.261457E+05
6E-03,1.321778E+01,2.486505E+00,1.065387E+01,7.852772E+03,-6.053135E+05
6.333333E-03,1.309201E+01,3.09564E+00,1.33034E+01,8.435923E+03,-1.193943E+06
6.666667E-03,1.280998E+01,3.740517E+00,1.627782E+01,7.399973E+03,-5.688293E+05
7E-03,1.258388E+01,4.146306E+00,1.823671E+01,7.342463E+03,-1.4291E+06
7.333333E-03,1.237801E+01,4.794353E+00,2.117279E+01,7.29922E+03,9.231697E+05
7.666667E-03,1.210065E+01,5.162078E+00,2.310286E+01,7.126469E+03,-1.677206E+06
