,mass_B,,,,
t,x,y,θ,ω,α
0E+00,1.2E+01,-8.5E+00,-3.531121E+01,,
1.333333E-03,1.252793E+01,-8.091226E+00,-3.28566E+01,2.523729E+03,
2.666667E-03,1.310685E+01,-7.140529E+00,-2.858127E+01,2.879143E+03,6.254621E+05
4E-03,1.355253E+01,-6.371238E+00,-2.517888E+01,3.819464E+03,6.256433E+05
5.333333E-03,1.401573E+01,-4.661335E+00,-1.839603E+01,4.972815E+03,4.000901E+05
6.666667E-03,1.423422E+01,-3.004304E+00,-1.191804E+01,4.695846E+03,1.233501E+05
8E-03,1.479839E+01,-1.52242E+00,-5.873778E+00,5.179309E+03,2.773424E+05
9.333333E-03,1.509084E+01,4.988864E-01,1.893445E+00,5.666032E+03,7.060325E+05
1.066667E-02,1.508424E+01,2.452744E+00,9.235642E+00,6.747025E+03,8.253404E+05
1.2E-02,1.433934E+01,5.18667E+00,1.988551E+01,8.212016E+03,5.449027E+05
1.333333E-02,1.299733E+01,7.851123E+00,3.113435E+01,8.130771E+03,-6.412889E+05
1.466667E-02,1.151082E+01,1.020814E+01,4.156757E+01,6.562746E+03,-5.53777E+05
1.6E-02,1.029384E+01,1.169046E+01,4.863501E+01,6.207541E+03,-4.139598E+05
1.733333E-02,8.175356E+00,1.3145E+01,5.812101E+01,6.050321E+03,-7.175181E+05
1.866667E-02,6.601858E+00,1.401011E+01,6.47692E+01,4.001241E+03,-1.158672E+06
2E-02,5.689605E+00,1.466184E+01,6.879099E+01,2.854304E+03,-8.005863E+05
2.133333E-02,4.730439E+00,1.48948E+01,7.238067E+01,2.052187E+03,-5.785152E+05
2.266667E-02,4.163756E+00,1.477688E+01,7.426349E+01,1.184396E+03,-4.383856E+05
2.4E-02,3.812417E+00,1.47831E+01,7.553906E+01,9.154312E+02,-7.693183E+04
2.533333E-02,3.488073E+00,1.476092E+01,7.670464E+01,9.842624E+02,3.461131E+05
2.666667E-02,3.071693E+00,1.465705E+01,7.816376E+01,1.77807E+03,6.191667E+05
2.8E-02,2.200594E+00,1.463046E+01,8.144616E+01,2.770847E+03,6.701958E+05
2.933333E-02,1.140784E+00,1.466747E+01,8.555269E+01,3.496386E+03,1.87825E+05
3.066667E-02,-1.981587E-01,1.474693E+01,9.076985E+01,3.417349E+03,-5.58642E+05
3.2E-02,-1.199626E+00,1.469934E+01,9.466562E+01,1.945126E+03,-7.069018E+05
3.333333E-02,-1.535223E+00,1.471324E+01,9.595686E+01,1.279562E+03,-4.364893E+05
3.466667E-02,-2.055462E+00,1.448268E+01,9.807778E+01,1.082218E+03,1.99215E+04
3.6E-02,-2.263165E+00,1.454732E+01,9.884277E+01,1.071806E+03,6.002317E+04
3.733333E-02,-2.75418E+00,1.42541E+01,1.009359E+02,1.471305E+03,5.612887E+05
3.866667E-02,-3.27567E+00,1.445732E+01,1.027663E+02,2.332196E+03,4.267403E+05
4E-02,-4.32288E+00,1.400379E+01,1.071551E+02,2.946762E+03,3.913207E+05
4.133333E-02,-5.089582E+00,1.352321E+01,1.106243E+02,3.072831E+03,-5.782397E+04
4.266667E-02,-6.128698E+00,1.293652E+01,1.153493E+02,3.04732E+03,1.002875E+05
4.4E-02,-6.804339E+00,1.240243E+01,1.187505E+02,3.058599E+03,-6.835269E+04
4.533333E-02,-7.814669E+00,1.180417E+01,1.235056E+02,3.141707E+03,-1.772591E+03
4.666667E-02,-8.451745E+00,1.116372E+01,1.271284E+02,2.842141E+03,5.277078E+03
4.8E-02,-9.425722E+00,1.081075E+01,1.310846E+02,3.216559E+03,3.180571E+05
4.933333E-02,-1.013632E+01,9.889598E+00,1.357058E+02,3.708944E+03,3.479067E+05
5.066667E-02,-1.101363E+01,8.926569E+00,1.409752E+02,4.149864E+03,4.71598E+05
5.2E-02,-1.191359E+01,7.804309E+00,1.467722E+02,4.908277E+03,6.860852E+05
5.333333E-02,-1.298646E+01,6.316001E+00,1.540639E+02,6.030998E+03,1.1083E+06
5.466667E-02,-1.396275E+01,4.307561E+00,1.628548E+02,7.775402E+03,9.17478E+05
5.6E-02,-1.438159E+01,1.309255E+00,1.747983E+02,8.76289E+03,4.386738E+05
5.733333E-02,-1.437567E+01,-1.567415E+00,1.862225E+02,8.701608E+03,-2.152468E+05
5.866667E-02,-1.41644E+01,-4.603004E+00,1.980026E+02,8.327372E+03,-3.222746E+05
6E-02,-1.290367E+01,-6.985388E+00,2.084288E+02,7.695792E+03,-6.41573E+05
6.133333E-02,-1.107541E+01,-8.817583E+00,2.185247E+02,6.768421E+03,-1.085533E+06
6.266667E-02,-9.978681E+00,-1.050724E+01,2.26478E+02,4.761144E+03,-1.675623E+06
6.4E-02,-8.919466E+00,-1.110195E+01,2.312211E+02,2.256732E+03,-1.665188E+06
6.533333E-02,-8.661354E+00,-1.128603E+01,2.324959E+02,2.254017E+02,-9.771371E+05
6.666667E-02,-8.731084E+00,-1.110406E+01,2.318222E+02,-3.886148E+02,-1.533018E+05
6.8E-02,-8.742609E+00,-1.097508E+01,2.314596E+02,-7.395002E+01,1.451876E+05
6.933333E-02,-8.701995E+00,-1.098902E+01,2.31625E+02,4.913613E+01,3.49384E+05
7.066667E-02,-8.495444E+00,-1.071499E+01,2.315906E+02,7.038423E+02,1.029355E+06
7.2E-02,-8.25261E+00,-1.115353E+01,2.335019E+02,2.815754E+03,1.139272E+06
7.333333E-02,-7.005666E+00,-1.17053E+01,2.390993E+02,4.05331E+03,2.604918E+05
7.466667E-02,-5.967099E+00,-1.240465E+01,2.443107E+02,3.35118E+03,4.513648E+05
7.6E-02,-5.240951E+00,-1.299518E+01,2.480358E+02,4.827817E+03,1.294311E+06
7.733333E-02,-3.080942E+00,-1.354428E+01,2.571849E+02,7.388235E+03,1.383575E+06
7.866667E-02,-5.432066E-01,-1.375068E+01,2.677378E+02,8.319372E+03,2.700872E+05
8E-02,2.233865E+00,-1.353785E+01,2.793699E+02,8.220794E+03,-9.877812E+05
8.133333E-02,4.705237E+00,-1.317027E+01,2.896599E+02,5.762905E+03,-2.065899E+06
8.266667E-02,5.868289E+00,-1.273654E+01,2.947376E+02,2.423064E+03,-1.807718E+06
8.4E-02,6.210167E+00,-1.266456E+01,2.961214E+02,8.522757E+02,-8.790988E+05
8.533333E-02,6.421872E+00,-1.2598E+01,2.970104E+02,2.790601E+02,-2.125928E+05
8.666667E-02,6.434369E+00,-1.270176E+01,2.968655E+02,1.623915E+02,8.912541E+04
8.8E-02,6.604148E+00,-1.271711E+01,2.974434E+02,6.225194E+02,2.218688E+05
8.933333E-02,6.869315E+00,-1.263824E+01,2.985256E+02,7.746494E+02,1.653626E+05
9.066667E-02,7.116992E+00,-1.257456E+01,2.995091E+02,9.898665E+02,2.936618E+05
9.2E-02,7.539556E+00,-1.246635E+01,3.011652E+02,1.585968E+03,2.65929E+05
9.333333E-02,8.057953E+00,-1.206487E+01,3.037384E+02,1.782311E+03,3.119306E+05
9.466667E-02,8.580618E+00,-1.184579E+01,3.059181E+02,2.240034E+03,3.99052E+05
9.6E-02,9.222125E+00,-1.110345E+01,3.097118E+02,3.016065E+03,4.340018E+05
9.733333E-02,1.004206E+01,-1.041307E+01,3.139609E+02,3.338087E+03,1.823301E+05
9.866667E-02,1.091789E+01,-9.620889E+00,3.186134E+02,3.517131E+03,9.845227E+04
