,mass_B,,,,
t,x,y,θ,ω,α
0E+00,6.25E-01,-1.175E+01,-8.695522E+01,,
3.333333E-04,1.841499E+00,-1.16277E+01,-8.100071E+01,2.01332E+04,
6.666667E-04,3.273466E+00,-1.107452E+01,-7.353309E+01,1.964794E+04,-2.473458E+06
1E-03,4.430404E+00,-1.091191E+01,-6.790208E+01,1.731289E+04,9.957099E+05
1.333333E-03,5.539061E+00,-1.041358E+01,-6.199116E+01,2.04387E+04,2.025294E+06
1.666667E-03,6.750573E+00,-9.386214E+00,-5.427628E+01,1.984729E+04,-2.03732E+06
2E-03,7.765467E+00,-8.857824E+00,-4.875964E+01,1.760158E+04,-9.59824E+05
2.333333E-03,8.633105E+00,-7.922403E+00,-4.254189E+01,1.981322E+04,3.636639E+06
2.666667E-03,9.459229E+00,-6.75987E+00,-3.555082E+01,2.030294E+04,-5.375206E+05
3E-03,1.023355E+01,-5.674088E+00,-2.900659E+01,1.916454E+04,-3.783892E+06
3.333333E-03,1.115511E+01,-4.683327E+00,-2.277446E+01,1.78616E+04,3.854513E+06
3.666667E-03,1.164801E+01,-3.583143E+00,-1.709886E+01,2.099561E+04,-1.944843E+06
4E-03,1.196918E+01,-1.848091E+00,-8.77739E+00,1.871151E+04,-8.996482E+06
4.333333E-03,1.279582E+01,-1.035039E+00,-4.62452E+00,1.262121E+04,-5.154545E+06
4.666667E-03,1.274413E+01,-8.079761E-02,-3.632497E-01,1.578599E+04,2.945786E+06
5E-03,1.293987E+01,1.337085E+00,5.899475E+00,1.584068E+04,-3.24758E+06
5.333333E-03,1.305934E+01,2.349088E+00,1.01972E+01,1.241782E+04,-8.59171E+06
5.666667E-03,1.294317E+01,3.269845E+00,1.417802E+01,1.059117E+04,-6.222717E+06
6E-03,1.290333E+01,4.008561E+00,1.725798E+01,8.112256E+03,-3.199616E+06
6.333333E-03,1.274475E+01,4.534742E+00,1.958619E+01,8.160917E+03,5.04519E+06
6.666667E-03,1.227015E+01,5.132359E+00,2.269859E+01,1.164342E+04,-1.325068E+06
7E-03,1.202292E+01,6.218379E+00,2.734847E+01,8.541075E+03,-5.534875E+06
7.333333E-03,1.214631E+01,6.565472E+00,2.839264E+01,5.710458E+03,2.91849E+06
7.666667E-03,1.143912E+01,6.915624E+00,3.115545E+01,1.153251E+04,5.247116E+06
8E-03,1.098665E+01,8.006017E+00,3.608098E+01,1.039332E+04,-1.949127E+06
8.333333E-03,1.083173E+01,8.488375E+00,3.808433E+01,8.203877E+03,-7.626231E+06
8.666667E-03,1.035101E+01,9.173992E+00,4.155023E+01,7.041602E+03,4.235218E+06
9E-03,1.012933E+01,9.372883E+00,4.277873E+01,8.996368E+03,-1.878766E+06
9.333333E-03,9.307438E+00,1.017432E+01,4.754781E+01,8.601092E+03,3.415848E+06
9.666667E-03,9.183837E+00,1.038511E+01,4.851279E+01,8.135871E+03,-3.201329E+06
1E-02,8.353528E+00,1.107413E+01,5.297172E+01,9.354114E+03,-1.323347E+06
1.033333E-02,7.969516E+00,1.127613E+01,5.474887E+01,5.352576E+03,-3.842109E+06
1.066667E-02,7.599501E+00,1.149907E+01,5.654011E+01,7.123458E+03,2.936432E+06
1.1E-02,6.986479E+00,1.185966E+01,5.949784E+01,7.940362E+03,-1.982397E+06
1.133333E-02,6.462563E+00,1.206966E+01,6.183368E+01,5.500645E+03,-2.80979E+06
1.166667E-02,6.254537E+00,1.236307E+01,6.316493E+01,5.547874E+03,3.258123E+06
1.2E-02,5.712364E+00,1.255337E+01,6.553226E+01,8.178274E+03,5.333182E+06
1.233333E-02,5.080257E+00,1.29747E+01,6.861712E+01,9.197039E+03,2.380665E+06
1.266667E-02,4.337042E+00,1.308613E+01,7.166362E+01,9.538236E+03,-3.953912E+04
1.3E-02,3.53598E+00,1.317432E+01,7.497594E+01,9.373333E+03,1.652704E+06
1.333333E-02,2.847116E+00,1.329477E+01,7.791251E+01,1.02205E+04,-4.722319E+05
1.366667E-02,1.932194E+00,1.339129E+01,8.178961E+01,9.803259E+03,-3.621525E+06
1.4E-02,1.299717E+00,1.337091E+01,8.444802E+01,7.19393E+03,-2.331752E+06
1.433333E-02,7.910598E-01,1.325862E+01,8.658556E+01,8.052423E+03,6.56745E+06
1.466667E-02,4.241357E-02,1.322866E+01,8.98163E+01,1.184484E+04,8.337787E+06
1.5E-02,-1.032854E+00,1.317622E+01,9.448212E+01,1.399245E+04,3.262664E+06
