,mass_B,,,,
t,x,y,θ,ω,α
0E+00,-3.044084E+00,-1.611137E+01,-1.006993E+02,,
1.333333E-03,1.730359E+00,-1.669071E+01,-8.408118E+01,1.252793E+04,
2.666667E-03,6.706799E+00,-1.602647E+01,-6.729154E+01,1.256366E+04,-3.805931E+05
4E-03,1.097323E+01,-1.334862E+01,-5.05781E+01,1.162559E+04,-4.400493E+05
5.333333E-03,1.379986E+01,-1.013329E+01,-3.628997E+01,1.108213E+04,-1.497674E+05
6.666667E-03,1.575763E+01,-6.056917E+00,-2.102576E+01,1.145915E+04,-6.738851E+05
8E-03,1.692912E+01,-1.699373E+00,-5.73224E+00,9.515224E+03,-7.370332E+05
9.333333E-03,1.732972E+01,1.317682E+00,4.348172E+00,8.761946E+03,-5.577594E+05
1.066667E-02,1.631688E+01,5.186349E+00,1.763295E+01,8.814604E+03,-4.664332E+05
1.2E-02,1.51814E+01,8.022462E+00,2.785378E+01,7.099112E+03,-1.095913E+06
1.333333E-02,1.396964E+01,1.036113E+01,3.656391E+01,5.974216E+03,-1.395976E+06
1.466667E-02,1.240704E+01,1.18917E+01,4.378503E+01,3.562643E+03,-1.449329E+06
1.6E-02,1.219145E+01,1.2653E+01,4.60643E+01,1.665854E+03,-1.120289E+06
1.733333E-02,1.159168E+01,1.297703E+01,4.82273E+01,9.268351E+02,-5.390568E+05
1.866667E-02,1.151832E+01,1.303552E+01,4.853586E+01,6.034463E+01,-3.516529E+05
2E-02,1.161164E+01,1.30731E+01,4.838822E+01,2.077676E+01,-8.506404E+03
2.133333E-02,1.156479E+01,1.311365E+01,4.859126E+01,1.062474E+02,1.195056E+04
2.266667E-02,1.155284E+01,1.313716E+01,4.867155E+01,2.564569E+01,-1.445848E+03
2.4E-02,1.157454E+01,1.315633E+01,4.865965E+01,8.558859E+01,1.00389E+05
2.533333E-02,1.153676E+01,1.322473E+01,4.889978E+01,3.071434E+02,1.541755E+05
2.666667E-02,1.137603E+01,1.33096E+01,4.94787E+01,5.088523E+02,3.839766E+05
2.8E-02,1.134414E+01,1.364311E+01,5.025672E+01,1.240422E+03,7.142677E+05
2.933333E-02,1.055713E+01,1.39017E+01,5.278649E+01,2.503928E+03,9.691442E+05
3.066667E-02,9.473274E+00,1.455077E+01,5.693387E+01,3.805061E+03,9.276845E+05
3.2E-02,8.001795E+00,1.565933E+01,6.293332E+01,5.01579E+03,6.454545E+05
3.333333E-02,5.875939E+00,1.641926E+01,7.030931E+01,5.569221E+03,5.78435E+05
3.466667E-02,3.6654E+00,1.693108E+01,7.778458E+01,6.384087E+03,4.369801E+05
3.6E-02,8.05721E-01,1.730049E+01,8.733354E+01,6.977659E+03,2.066792E+05
3.733333E-02,-1.920427E+00,1.71435E+01,9.639167E+01,6.774307E+03,-3.913282E+05
3.866667E-02,-4.599322E+00,1.66996E+01,1.053984E+02,6.054915E+03,-6.484814E+05
4E-02,-6.551167E+00,1.578621E+01,1.125381E+02,4.911132E+03,-3.421047E+05
4.133333E-02,-8.030373E+00,1.479336E+01,1.184947E+02,5.034831E+03,-2.509944E+05
4.266667E-02,-9.872739E+00,1.360647E+01,1.259643E+02,4.609168E+03,-3.846624E+05
4.4E-02,-1.094778E+01,1.268947E+01,1.307858E+02,3.640764E+03,-3.195546E+05
4.533333E-02,-1.186678E+01,1.159121E+01,1.35673E+02,3.87586E+03,1.824613E+05
4.666667E-02,-1.288745E+01,1.03909E+01,1.411215E+02,4.171736E+03,1.899461E+05
4.8E-02,-1.393347E+01,9.118624E+00,1.467977E+02,4.361777E+03,1.115768E+05
4.933333E-02,-1.455201E+01,7.493859E+00,1.527529E+02,4.484393E+03,2.21525E+04
5.066667E-02,-1.479831E+01,5.752952E+00,1.58756E+02,4.422463E+03,8.466053E+04
5.2E-02,-1.563256E+01,4.321753E+00,1.645461E+02,4.641972E+03,5.944859E+04
5.333333E-02,-1.595479E+01,2.488574E+00,1.711346E+02,4.710893E+03,-3.120815E+04
5.466667E-02,-1.584084E+01,8.001148E-01,1.771085E+02,4.453897E+03,-3.817783E+05
5.6E-02,-1.610551E+01,-8.473484E-01,1.830117E+02,3.806835E+03,-4.093955E+05
5.733333E-02,-1.600128E+01,-2.038466E+00,1.8726E+02,3.188352E+03,1.280812E+05
5.866667E-02,-1.622926E+01,-3.305998E+00,1.91514E+02,4.106739E+03,-2.85257E+04
6E-02,-1.531576E+01,-5.038923E+00,1.982113E+02,3.579938E+03,-3.533482E+05
6.133333E-02,-1.551922E+01,-5.976066E+00,2.010605E+02,2.560713E+03,-3.819431E+05
6.266667E-02,-1.500031E+01,-7.007482E+00,2.050399E+02,2.900671E+03,1.340755E+05
6.4E-02,-1.443227E+01,-7.932756E+00,2.087956E+02,2.831601E+03,-2.038321E+04
