,mass_B,,,,
t,x,y,θ,ω,α
0E+00,3.564064E+00,-1.225147E+01,-7.377981E+01,,
3.333333E-04,4.572785E+00,-1.202016E+01,-6.917187E+01,1.52856E+04,
6.666667E-04,5.571636E+00,-1.121878E+01,-6.358941E+01,1.684642E+04,5.594214E+06
1E-03,6.850532E+00,-1.093803E+01,-5.794092E+01,1.859841E+04,4.541623E+06
1.333333E-03,7.912727E+00,-9.838095E+00,-5.119047E+01,2.032217E+04,1.085754E+06
1.666667E-03,8.941817E+00,-8.754275E+00,-4.439281E+01,1.926717E+04,-1.857835E+06
2E-03,9.782506E+00,-7.738432E+00,-3.834569E+01,1.867553E+04,-2.154518E+05
2.333333E-03,1.060429E+01,-6.611494E+00,-3.194246E+01,1.940857E+04,-1.409398E+06
2.666667E-03,1.147853E+01,-5.452038E+00,-2.540664E+01,1.795282E+04,-4.812213E+06
3E-03,1.166366E+01,-4.239212E+00,-1.997391E+01,1.577413E+04,-4.869374E+06
3.333333E-03,1.193711E+01,-3.174111E+00,-1.489055E+01,1.485033E+04,-3.033259E+05
3.666667E-03,1.22031E+01,-2.167923E+00,-1.007369E+01,1.539732E+04,5.436512E+06
4E-03,1.253182E+01,-1.013938E+00,-4.625672E+00,1.8495E+04,2.680625E+06
4.333333E-03,1.249817E+01,4.924319E-01,2.256305E+00,1.803648E+04,-1.028232E+07
4.666667E-03,1.25274E+01,1.626725E+00,7.398649E+00,1.119225E+04,-6.502229E+06
5E-03,1.24944E+01,2.139703E+00,9.717804E+00,1.212612E+04,6.279683E+06
5.333333E-03,1.243693E+01,3.445029E+00,1.548273E+01,1.743973E+04,1.103598E+07
5.666667E-03,1.224959E+01,4.786826E+00,2.134429E+01,1.863625E+04,2.666369E+06
6E-03,1.139597E+01,6.035611E+00,2.79069E+01,1.95209E+04,-3.475953E+06
6.333333E-03,1.061806E+01,7.258968E+00,3.435822E+01,1.652514E+04,-6.573378E+06
6.666667E-03,1.003955E+01,8.107747E+00,3.892366E+01,1.427202E+04,-1.137452E+06
7E-03,9.335423E+00,8.975177E+00,4.38729E+01,1.614948E+04,6.921403E+06
7.333333E-03,8.389556E+00,9.889118E+00,4.968998E+01,1.896039E+04,-7.561616E+05
7.666667E-03,7.149294E+00,1.080679E+01,5.651315E+01,1.646295E+04,-7.112366E+06
8E-03,6.263242E+00,1.114514E+01,6.066528E+01,1.280822E+04,3.528343E+06
8.333333E-03,5.396744E+00,1.160081E+01,6.505197E+01,1.869707E+04,7.432693E+06
8.666667E-03,3.566274E+00,1.176012E+01,7.313E+01,1.991246E+04,-9.357275E+04
9E-03,2.598487E+00,1.25774E+01,7.832694E+01,1.648168E+04,-2.220926E+06
9.333333E-03,1.315989E+00,1.277333E+01,8.411778E+01,1.906234E+04,1.96763E+06
9.666667E-03,-2.315392E-01,1.28141E+01,9.103517E+01,1.847438E+04,-8.363916E+05
1E-02,-1.446104E+00,1.282355E+01,9.643403E+01,1.743555E+04,-3.44661E+06
1.033333E-02,-2.874475E+00,1.279788E+01,1.026589E+02,1.708334E+04,-1.08678E+06
1.066667E-02,-4.088261E+00,1.271596E+01,1.078229E+02,1.6006E+04,-3.854278E+06
1.1E-02,-5.26101E+00,1.219861E+01,1.133295E+02,1.509193E+04,-1.100714E+06
1.133333E-02,-6.273271E+00,1.185605E+01,1.178842E+02,1.464996E+04,-1.387231E+05
1.166667E-02,-7.098821E+00,1.089116E+01,1.230962E+02,1.550398E+04,1.263229E+06
1.2E-02,-8.011E+00,1.017278E+01,1.282202E+02,1.532088E+04,-2.165232E+06
1.233333E-02,-8.861887E+00,9.400686E+00,1.333101E+02,1.421534E+04,-1.950909E+06
1.266667E-02,-9.422319E+00,8.574524E+00,1.376971E+02,1.365567E+04,3.252797E+06
1.3E-02,-9.82167E+00,7.559914E+00,1.424139E+02,1.636015E+04,7.365163E+06
1.333333E-02,-1.053029E+01,6.42674E+00,1.486039E+02,1.905691E+04,3.269563E+06
1.366667E-02,-1.13088E+01,5.244936E+00,1.551185E+02,1.851088E+04,-7.272833E+05
1.4E-02,-1.169476E+01,4.039515E+00,1.609444E+02,1.811616E+04,-1.157101E+06
1.433333E-02,-1.185873E+01,2.695122E+00,1.671959E+02,1.815505E+04,-1.207169E+07
1.466667E-02,-1.226292E+01,1.49531E+00,1.730478E+02,1.077464E+04,-1.155378E+07
1.5E-02,-1.236695E+01,1.21716E+00,1.74379E+02,8.024842E+03,1.774974E+06
1.533333E-02,-1.20849E+01,3.380457E-01,1.783977E+02,1.382565E+04,1.028804E+07
1.566667E-02,-1.233342E+01,-7.751156E-01,1.835961E+02,1.4911E+04,9.036664E+05
1.6E-02,-1.241199E+01,-1.819204E+00,1.883384E+02,1.401066E+04,-2.874121E+06
1.633333E-02,-1.237675E+01,-2.842967E+00,1.929366E+02,1.312638E+04,-7.674919E+06
1.666667E-02,-1.200845E+01,-3.691827E+00,1.970893E+02,9.19953E+03,-7.642578E+06
1.7E-02,-1.160214E+01,-4.010704E+00,1.990696E+02,7.038879E+03,-1.471514E+06
1.733333E-02,-1.16021E+01,-4.636254E+00,2.017819E+02,8.890154E+03,5.436774E+06
1.766667E-02,-1.136603E+01,-5.299187E+00,2.049964E+02,1.058696E+04,5.242739E+05
1.8E-02,-1.076607E+01,-5.928453E+00,2.088399E+02,9.667754E+03,-2.824445E+06
1.833333E-02,-1.056518E+01,-6.459529E+00,2.114415E+02,8.007991E+03,3.067737E+06
1.866667E-02,-1.05672E+01,-7.175672E+00,2.141785E+02,1.155876E+04,5.362252E+06
